,AML-GZMB CD8 T ,AML-GZMK CD8 T ,AML-MAIT,AML-NK,AML-Naïve CD4 T ,AML-Naïve CD8 T ,AML-T reg,Effector memory CD8 T,GZMB CD8 T ,GZMB DN T,GZMB NK,GZMK CD8 T ,GZMK NK,MAIT,Naïve CD4 T,Naïve CD8 T ,T reg
56,HLA-DRB5,XCL2,PSME2,SH2D1B,FLT3LG,NOSIP,IL10RA,ANXA6,MYL12B,SRGN,MYBL1,OAZ1,MCTP2,IFNGR1,JUNB,CD55,TPT1
57,MYO1G,IER2,KLRD1,S100A4,GIMAP1,TUBA1A,OPTN,CLIC1,CD3G,MYL12A,TLN1,CD63,IFITM1,TRBV6-4,SRSF5,LDLRAP1,INPP4B
58,LSP1,WIPF1,HCST,APOBEC3G,EIF3L,TGFBR2,PKM,ANTKMT,PAXX,LITAF,ARL4C,CXCR4,ACTN4,NFKBIA,CHRM3-AS2,SELENOH,ITM2B
59,SAMD3,IFNG,PPIB,PTGDR,RAPGEF6,RBL2,MYADM,VAV3,CD3D,RHOC,AOAH,CXCR3,PLCG2,AC253572.2,BCL11B,UXT,IL10RA
60,SPON2,DNAJB1,PPP1R15A,CHST12,MYC,RHOH,CTSB,LSR,ANXA2,CD52,CXXC5,CD160,DUSP2,PRDM1,ABLIM1,NOP53,PLSCR3
61,TPST2,HLA-DRA,TC2N,PRSS23,PNISR,TMSB10,RNASET2,YPEL5,CX3CR1,CX3CR1,CTSC,IL10RA,CHD9,GYG1,OXNAD1,ABLIM1,SPOCK2
62,CYBA,H3F3B,KLF6,IQGAP1,HNRNPA1,MYC,SAT1,CLK1,S100A10,PSME1,RAP1B,DNAJB1,CD81,TRBV25-1,BACH2,ATP5MG,KLF2
63,PPP1R18,CSRNP1,ZFP36,ABI3,CYTIP,COX7C,NFKBIA,JUND,CRIP1,ZNF683,TTC38,PLAAT4,IER2,LSP1,ACTN1,TGFBR2,PRDX1
64,PPP1CA,YPEL5,HLA-C,CTSC,CD55,C12orf57,CDC25B,MCL1,ITGB1,AHNAK,KIR3DL1,STK17A,LAT2,GABARAP,CD6,ALKBH7,ARPC1B
65,TNFRSF1B,IFRD1,KLRC1,TRDC,FOXO1,PCED1B-AS1,TIMP1,MAP3K1,KLRK1,CTSC,HLA-B,FTL,DUSP1,CALM1,EIF3L,FBL,PKM
66,FCRL6,ID2,CD96,ARPC5L,NOP53,AIF1,SBDS,NUCB2,SSBP4,FTL,FCRL6,SH2D1A,ITGAM,VIM,LAT,EIF3K,CD44
67,HLA-B,AHNAK,UBC,LY6E,ITK,PCED1B,B2M,RASSF1,TBX21,LYAR,CLIC1,KLRK1,SPTSSB,EOMES,CD4,LTB,PPDPF
68,PSMB9,PPP2R5C,CRIP1,GNPTAB,CHRM3-AS2,CD7,CD5,PRKCH,FCRL6,CAPNS1,ITGAM,KLRC4,PIK3R1,TGFBR3,GPSM3,NME2,GPX4
69,S100A11,IL10RA,B2M,MCTP2,COX7C,LTB,CD28,EML4,IL2RG,UBB,CD300A,TMSB4X,RASSF1,LGALS3,ITM2B,EIF3F,MDFIC
70,ITGB2,HSPA5,GUK1,RUNX3,TOMM7,MGAT4A,JUNB,PIK3R1,GAPDH,TRBC1,IGF2R,LYAR,AOAH,TC2N,BTG1,SF1,CD4
71,BHLHE40,TRAC,S100A11,ACTN4,RNASET2,ITK,TNFRSF25,DYNC1H1,S1PR5,CEBPD,AHNAK,PSMB9,LYST,TRGV4,EIF4B,AIF1,RACK1
72,RNF213,ARAP2,ID2,KLRC2,RHOH,EIF4A2,DUSP1,CTSA,LCP1,OAZ1,PRSS23,CFL1,CD160,MYO1F,SLC25A6,ATP5PO,CNBP
73,ITGA4,PECAM1,PMAIP1,BHLHE40,CD5,EIF3H,NSD3,TUBA4A,MYO1F,MYL12B,METRNL,PPDPF,HCST,H3F3B,HNRNPA1,CNN2,HLA-B
74,APMAP,UBE2S,TRAC,PYHIN1,SOCS3,ZFAS1,CMTM7,CASK,PRSS23,CD74,TPST2,UBC,H3F3B,YBX1,PRKCQ-AS1,TUBA1A,TTC39C
75,SLC9A3R1,SH3KBP1,IRF1,PLAAT4,LDLRAP1,EIF4B,TENT5C,FCRL6,CTSC,ARPC2,MYO1F,TOX,STK17A,MIF,LDLRAP1,TCF7,ANXA5
76,SH2D2A,TENT5C,SRSF7,CMC1,GIMAP5,UXT,GAPDH,ELF1,SPON2,SAMD3,CD160,ANTKMT,TNFRSF18,ANXA2,HINT1,ST13,TMSB4X
77,CD74,CXCR3,PDIA6,LCP1,CYLD,RIPOR2,SPOCK2,DGKD,ARL6IP5,RAP1B,LITAF,CALM1,MMP25-AS1,PSME2,EPHX2,PCED1B-AS1,PEBP1
78,MATK,LCP1,ARL4C,CRIP1,MTRNR2L12,YBX3,TRAC,RIPOR2,ACTB,HLA-DPB1,CD7,CD3E,GPR65,SEC61B,H1FX,SPINT2,IFITM1
79,PAXX,CYCS,S1PR5,TPST2,DDX5,EIF2S3,ARID5B,GADD45B,CLIC3,SPON2,SLC9A3R1,S100A4,TPI1,TGFB1,ANP32B,RCAN3,CRIP2
80,EMP3,PPP1R15A,IFNGR1,MBP,BACH2,NAP1L4,ITM2A,CD27,BHLHE40,HCST,LCP1,HLA-DQA1,MAFF,PPP1R14B,EIF1,PECAM1,LDHA
81,GAPDH,SASH3,PTMS,SEPTIN7,EIF4B,FLT3LG,PAG1,RNF213,TPST2,EMP3,IQGAP1,MYL6,IL18R1,SLAMF1,SERP1,BACH2,SSR4
82,PRSS23,FYN,CKLF,FAM49B,FCMR,FAU,YPEL5,IKZF2,PSMB9,HLA-DPA1,CD99,JUND,ADGRE5,B2M,SNHG7,ZFAS1,OAZ1
