,AML-GZMB CD8 T ,AML-GZMK CD8 T ,AML-MAIT,AML-NK,AML-Naïve CD4 T ,AML-Naïve CD8 T ,AML-T reg,Effector memory CD8 T,GZMB CD8 T ,GZMB DN T,GZMB NK,GZMK CD8 T ,GZMK NK,MAIT,Naïve CD4 T,Naïve CD8 T ,T reg
14088,UGT2B28,MOS,AC090206.1,LINC01287,SLC35G3,EPHA8,ANK2,KCNK15-AS1,CA9,AC090946.1,AL513190.1,STAR,LINC00283,AL031673.1,AUNIP,TBC1D26,AC000072.1
14089,UGT2A3,LINC00494,AC022613.1,AC073236.1,AC060766.4,FAM183A,C5orf67,AL008725.1,AC234644.2,SRPX,AL445363.1,IGLON5,CHODL-AS1,LINC01515,AC006042.2,AL117327.1,FSD2
14090,AC091938.1,AC008700.1,AC007996.1,AC005998.1,AC132153.1,AL033519.4,SFTPC,AL035458.2,AP006545.3,POLN,MRAP,AL512308.1,AC008731.1,EDN1,AL360020.1,AC130456.5,AP000593.3
14091,AC007656.2,SDR16C5,MEP1B,DAAM2,CCDC85A,WWC3-AS1,MCHR1,PI3,AC099795.1,AC134312.1,AL022724.3,AC021321.2,AL121759.2,AL513327.1,CILP,AC099518.1,AL445250.1
14092,AC087721.1,AC137770.1,AC025887.2,AC011899.1,AC015911.2,AC102945.1,AC105206.1,C1orf229,BMP6,AC097381.1,AP000266.1,AC004706.3,AC099794.1,AC005833.2,AC005332.3,AC055811.1,CCL22
14093,ACRV1,AC012349.1,AC105206.1,AC078942.1,AC005304.3,FOXD4L3,LINC01526,RBPJL,AL121990.1,LINC01694,AC084855.2,RTL8B,AL137246.2,VGF,AC090912.1,WTIP,GDAP1L1
14094,TM4SF18,AC013644.1,DCANP1,CYP4A22,AC005304.1,TULP1,NAA11,AL627095.2,LINC02641,FOXN3-AS2,AC025300.1,AC025917.1,SLC10A2,OLFML3,AC010834.2,AC099518.2,CDH5
14095,AC131025.3,AL109615.3,TM4SF20,AC016027.3,NOTO,FAM9B,AL078599.2,AL021578.1,AC091769.2,TAB3-AS2,IGSF11-AS1,AC011978.2,LINC01309,EXOC3L1,CLEC4G,FAM106C,AC079684.1
14096,AC087501.1,AL121888.1,AC025857.2,AC245187.2,IGKV2-26,AC006525.1,AC008937.1,WFDC2,AL670729.3,AJ239328.1,AL022316.1,HDAC2-AS2,LINC2194,AC006064.5,PTPRB,LINC02090,AL512329.2
14097,FOXE3,LINC01606,AC023043.4,AC245187.1,AC135782.2,AC008591.1,LINC02469,SLC12A5-AS1,AC069281.1,AP001469.2,AC092068.1,AC027373.1,ERN2,AC092723.5,AC010761.4,MPRIP-AS1,AL445253.1
14098,ABLIM3,AC068075.2,USP17L7,PNPLA1,LINC02138,ADAMTS19,AL122017.1,SMYD3-IT1,AL353593.2,AC069307.1,AL662884.5,AC027601.6,AC008870.3,AC006547.1,C8orf37-AS1,AC138811.1,ADAMTS8
14099,AC005695.3,AC104051.2,AL133240.1,LINC02808,CDH15,ADAMTS19-AS1,CLDN22,AC104462.1,AC006207.1,PDPN,FRG2C,AC132872.2,AC117481.1,CCDC73,LAPTM4A-DT,FAM71D,HSD11B2
14100,AP000345.1,LINC01602,AC093516.1,AC115485.1,AC009113.2,TSSK2,AC005529.1,AL031666.1,FAM209B,LINC02340,LINC01108,ZNF334,AC008870.1,GJA1,FAR1-IT1,UPK1A-AS1,AL023803.2
14101,AC116312.1,AC012103.1,AC087203.3,CSMD1,IGKV1D-22,AL135784.1,AC018638.6,LINC01754,TFAP2A-AS1,AC137590.1,SPERT,LIN7A,ZIC2,AC127024.6,WFIKKN1,AL110115.2,SLFNL1-AS1
14102,AC005695.1,AL139351.3,SPOCK1,AC027251.1,IGKV2D-23,AC096741.1,AL445465.1,AL354813.1,WNT3A,LIPN,AL009177.1,AL590226.2,VGLL3,PLA2G4E-AS1,SPRY3,AC009021.1,AC007663.4
14103,AC069155.1,CYP7A1,MOCOS,LINC01634,IGKV2D-26,AC073127.1,AC104561.1,AL139351.2,TEAD4,LPAR4,AC005674.1,AC145343.1,CLYBL-AS2,AC099050.1,SPDYE1,AC087392.1,AC027808.2
14104,ABCG4,AL139351.2,AC109439.2,AC016027.2,IGKV1D-27,AC110995.1,AC096747.1,AL139351.3,AL049569.1,AC004067.1,OR2AG1,AL731559.1,OR5H14,LINC02609,CETP,TRARG1,CFAP161
14105,MFSD6L,AL354813.1,LINC00929,AC018398.1,IGKV2D-28,AC010280.2,RIMS1,AL035665.2,AC004672.2,AC091564.4,AC108868.2,AL592301.1,AL162456.1,AC130650.2,LTF,FAM155B,SNCAIP
14106,HTR4,XKR4,SMIM32,NUTM1,IGKV2D-30,AL589645.1,AC110795.1,AL035665.1,AC005914.1,TRPM1,OR6A2,LINC00629,GPC5-AS2,PLAT,C20orf144,AL021707.9,AC061961.1
14107,AC114939.1,AC027250.2,ALX3,AF287957.1,IGKV1D-37,AC009563.1,FO393419.2,OR14A2,AL139123.1,PRSS8,AC004832.5,NOTUM,AL354811.1,AC130324.2,LINC02586,SULT1A4,LINC02551
14108,SPINK9,SNTG1,AC106845.1,AC016026.2,IGKV1-37,LINC02556,STMN4,AL118523.1,AC092120.1,AC131009.3,LINC02666,FBN1,AC002551.1,LRRC36,HCRT,AP006216.1,LPIN3
14109,AP003396.1,TRERNA1,SLC25A48,AC007666.1,IGKV2-29,TLR8-AS1,LINC00472,AL672291.1,AL645939.4,AC004069.1,E2F3-IT1,CPT1C,AC021660.4,GPR161,AL035420.3,AC090617.4,AC073225.1
14110,SPINK13,AC011370.1,SGCZ,DMRTA2,IGKV2-28,LINC01179,CHRNA2,ITCH-IT1,AC079601.1,POF1B,OR2D3,AC010624.1,SOX21-AS1,AC016821.1,ASGR2,AC009093.5,AL031289.2
14111,MFRP,STK32A,MSR1,AF233439.1,IGKV2-23,AC091182.1,SCARA3,OR2T11,UNC5B-AS1,AC096577.1,LINC01551,SLC44A3,SOX21,AC112220.2,NANOS1,IGHV4-55,CES3
14112,SPINK5,STK32A-AS1,AC011586.2,CLPSL2,AC092384.2,GLRA2,KHDC1L,AL109824.1,AL162274.1,AC091057.3,AC055714.1,AC013460.1,AP000223.1,AL035634.1,AC011773.1,AP001626.1,BEAN1-AS1
14113,USP2-AS1,LINC01270,AC011586.1,DEFA5,GAS8-AS1,AC124290.1,AC013643.2,OR2G6,AL512622.1,DES,ENOX1,AC008655.2,DZIP1,AADAT,ELFN1-AS1,AC145285.3,LINC01641
14114,C5orf46,AC064807.2,AL596087.2,AC084121.9,PRDM7,DUSP26,NDST4,AC138089.1,AL357078.2,ADH4,AL157813.2,PRKCG,ITGB6,SLC24A5,AL136309.2,NPIPB9,AC074099.1
14115,AP003392.1,AC064807.3,AL021920.3,AL033519.4,AC133919.1,SOWAHA,GLRA2,OR2T2,AL645929.2,SLC4A3,FUT6,AC012379.2,OR5K2,TLE6,AL391650.1,IGHV3-65,AC044802.2
14116,AC093001.1,AC103831.1,AC015961.1,ACOX2,IGKV1-22,CFAP57,AL583856.2,GDF5,EDN3,HTR7,LINC01775,AC008443.8,OR5H1,AC098934.4,PRKG1,NPIPB7,GALNT5
14117,IL17B,ALKAL1,AL355596.2,AC116036.2,AC240565.1,EPHA10,CXCL9,OR2T4,AC127496.1,AC034154.1,AC068620.2,GFPT2,LINC01683,AC092652.1,SERINC2,IGHV3-73,AC018557.2
14118,LINC00607,AC113139.1,PRSS51,TSSK2,IGKV2-18,SMIM9,AL365226.2,C20orf173,AC124283.3,LINC01257,IGFBP7-AS1,AC009554.1,AC026100.1,LSMEM1,CCL25,AC087392.5,AC103858.2
14119,CYP4A22,NPBWR1,AL359313.1,AF067845.2,LINC02091,DGCR10,LINC02057,OR2T12,TRPM1,AC098820.2,OLFML1,AP003117.1,AC092153.1,TCERG1L,STPG2,AC087392.3,LINC02450
14120,AC005291.1,OPRK1,GFRA3,FOXE3,AC129507.2,Z95114.2,AC011726.2,OR2M4,MAPK8IP2,SMIM11B,FBXO17,AP001318.1,AC093516.1,TP63,AC138466.1,NNMT,AC109809.1
14121,AC012668.3,AL136131.3,SOX7,AC004461.2,AC129507.3,AC003035.2,KREMEN1,OR2M3,AC018553.2,PHACTR3,AC012360.2,AC135050.5,FARP1-AS1,AC125603.1,C2orf50,AC016590.3,AC112719.2
14122,NDST1-AS1,AC022034.3,AC105001.1,FAM87A,AC015853.1,SMIM31,AC034234.1,OR2L13,AC090517.2,FN1,AC027243.3,DBH,AC110491.3,NUP210L,AC092159.2,AC116348.1,NTM
14123,AC084781.1,POU4F3,NMBR,AC079203.2,IGKV1-13,AL139390.1,C22orf31,OR2L3,AL137025.1,PAX9,LYPD1,LINC00298,ANGPTL3,AC027682.6,RHOXF1,AC092384.1,AC016042.1
14124,AP001267.4,AC022034.4,AC009899.1,DGCR10,IGKV1-12,ACTL6B,AC023202.1,OR2L8,AL732292.2,AC067750.1,AL513327.2,CDH4,STX19,AP001437.2,HCAR2,AC079035.1,AC010542.2
14125,ARSI,AL359762.2,AL355596.1,AC007326.2,IGKV1-8,TNFRSF11B,ZNRF3-AS1,GHRH,AC005355.1,AL121917.2,PCDH7,LINC00707,AP000146.1,FMR1-IT1,LINC01993,AC026116.1,TMEM51-AS1
14126,AC093001.2,RGS20,LINC01783,Z85996.3,IGKV3-7,AC021733.4,ZNRF3-IT1,AL034422.1,KCNB1,FAM133A,NCKAP5,NEBL,AC009313.1,AL021707.8,AC011455.1,RXYLT1-AS1,AC026956.2
14127,SLC6A7,AL161937.1,LINC01625,Z85996.2,IGKV1D-17,TH2LCRR,COL12A1,OR2AJ1,AC015727.1,PCDH10,G2E3-AS1,NRIR,AC108749.1,CFAP61,ZFHX2,DPEP1,AHNAK2
14128,GLP2R,AL512303.1,NME5,AC110288.1,IGKV1D-16,C4A,AL356277.3,OR2T8,EFR3B,EDN3,CAP2,AC034114.2,LINC01039,AC068989.1,AC090559.2,C12orf56,AC022558.3
14129,CARMN,AC100821.2,AF131215.7,AF067845.5,AC144836.1,EPO,SHROOM3,AL031651.1,LINC01381,AC009137.2,AC007687.1,AL133523.1,PDZRN3,AC091180.5,SULT1A2,AC015853.3,RAP1GAP
14130,AP000941.1,LINC01275,WNT8A,AC023490.2,AC126696.2,AL035587.3,AC022445.1,KIAA1755,AL158216.1,MIR1-1HG-AS1,AP006259.1,AC097713.1,FAP,ECSCR,OSGIN1,AC106782.5,RLBP1
14131,TREH,AC087623.1,SYP-AS1,AF067845.4,AC092723.3,C4B,CCDC158,AL359555.4,AL360294.1,AC093916.1,NT5C1A,COL5A1,AC091212.1,THBD,AC002383.1,IGHV7-34-1,AL354950.1
14132,AC093382.1,AC087623.3,AC113382.2,DLGAP2-AS1,AC135012.1,AC004461.2,PART1,LBP,PTGIS,MARCH4,AC126175.2,LINC01503,AL161431.1,TNFRSF8,RASL10A,AC012645.4,LINC02666
14133,PDE6A,CTCFL,AF131216.3,AC007326.5,LINC01082,CELA3A,AL157700.1,OR11L1,AL035661.1,AC093591.2,AC055807.1,ASPDH,GRB14,KCNIP2-AS1,AXDND1,AL035448.1,NT5C1A
14134,AC118755.2,PPP1R2B,FILNC1,TRABD2B,LINC01081,LINC01203,AC034139.1,AL391095.3,GOLGA8J,AC079341.1,ILDR1,AL732437.3,AL136221.1,AMH,LINC00334,AC092143.2,AL022328.1
14135,AC022100.1,FRMD7,CHGA,SLC5A9,FENDRR,FAM9C,TENM3,ARHGAP40,AL512656.1,AC093752.2,AC002059.1,OSR2,AF127577.5,AL118508.1,AC005726.2,AL049539.1,PLIN1
14136,CFAP52,WLS,NEUROG1,AL109659.2,AC009154.1,MAST4-IT1,AC007036.3,OR14A16,AC006197.2,PABPC5,AL020995.1,AL122020.2,AC020655.1,AL035252.5,SHANK1,AC138904.3,MRGPRF
14137,AC087501.2,AC011726.2,AC008759.3,GGTLC3,AC009154.2,P4HA2-AS1,HR,OR14K1,AC023813.3,AC093752.3,AC106028.2,GAS2L3,AC009034.1,AC090617.10,AL365226.1,AC076968.2,AL031666.3
14138,FOXR1,FO393415.3,TRIM40,PANDAR,AC136285.3,CCL21,AL034347.1,IL34,FSCN2,UNC5C,AC091544.5,ABRA,AC009019.2,AC012615.5,TMEM232,AC090282.1,AL021368.5
14139,SCGB3A2,AL121829.2,AC090220.1,AC023490.4,AC010531.7,PRKX-AS1,LINC00222,GLP2R,IGHV3-22,AC127070.2,ELFN2,FGFR3,ATP4B,FNDC9,AC025034.1,AC002398.1,AL031666.2
14140,AP003393.1,SRMS,ERAS,AL358473.1,AC010531.5,CCL19,LINC02857,LINC00971,KCNK1,AC111197.1,LINC00427,PLN,GRK1,AC009090.1,RNASE1,OVOL3,AC048344.4
14141,NECTIN1-AS1,AL138789.1,AC090541.1,AC010255.1,NEURL3,AL391845.2,AC074194.1,GLRA3,EFCAB3,AL136181.1,AC010998.2,AC139887.1,MAGI1-IT1,AL390066.1,MTTP,AL008638.3,C6orf141
14142,ARHGAP26-IT1,STMN4,AC105940.2,SHANK2,AC010536.2,AC012629.2,AC008966.2,AL139082.1,AC110285.1,AF129075.3,CU633906.2,GLYCTK-AS1,AC121493.1,AC012443.2,ARPIN,CST6,INSYN2A
14143,AC137770.1,AL033530.1,LINC02528,ABCG4,TRIM43,SLC26A3,AC011586.1,LINC02333,AC007493.2,PPEF2,AL162718.2,HSPB6,GAS6-DT,SPIN2A,SEZ6,P2RY4,AC009102.1
14144,AP002765.1,CHRNA2,SLC18A1,AC104785.1,AC009237.15,AC116362.1,AC004832.4,LINC00345,AC091057.3,PARM1,AC128707.1,NRN1,SLC38A11,RBP5,AL132800.1,GOLGA8S,AP000439.2
14145,OR8D4,COL20A1,AL591468.1,AC005277.1,CA5A,AC010273.3,HOTTIP,CNMD,AL118511.1,OR56B1,AC130307.1,DIRAS1,LINC02040,AC012459.1,ZDHHC11B,AP001619.1,MEIKIN
14146,INSYN1,NKAIN4,AC015468.1,AC005410.2,PABPN1L,AL356218.2,POPDC3,PCDH8,TACC2,BACH1-IT2,PPARGC1A,AC000065.1,ADAMTS9-AS1,AC007098.1,AC002553.1,AC002398.2,AC007383.3
14147,OR8G5,SCARA3,AC245052.7,DNAH9,AC134312.4,AC093849.3,BVES-AS1,OLFM4,SALL4,AC097713.3,ANO5,FLG-AS1,AF127577.2,AL450311.1,OSCP1,AL359317.2,AC007496.1
14148,PANX3,AC013643.2,GLOD5,AC015908.2,AC134312.3,LINC00895,BVES,GPM6A,AC090630.1,AL359538.4,AL139286.2,BBOX1-AS1,PRICKLE2-AS3,LINC00574,CAMK2N2,AC090983.1,MESP2
14149,ODF4,AL096828.3,SYT17,AP003396.1,TRIM43B,AC026979.1,LIN28B,DIAPH3-AS1,NODAL,CXCL1,AC012615.3,CDO1,AF127577.1,CFAP53,BMP8A,AD000671.3,IGHGP
14150,HMHB1,LINC01707,AL589739.1,PIRT,AC134312.2,ANKRD33B-AS1,LIN28B-AS1,LINC00434,AC073842.2,CXCL11,DNAJB8,TMEM59L,NKX2-4,AC091488.1,AC034102.5,TSGA10IP,IL3
14151,AL109659.2,AL359894.1,LINC01843,MFRP,AC134312.5,SHOX,AL357315.1,PCDH20,C1S,AC092120.1,AL391422.4,LDHAL6A,POTEM,AC026904.1,RAD21L1,AL050349.1,GPR1
14152,ARHGAP26-AS1,AC021678.2,AC109454.3,AL139327.2,LINC02182,AC093849.1,LINC02105,LINC00376,AL031590.1,AC010148.1,AC239803.1,AC084117.1,AL589743.4,AL358115.1,CD1C,AC124312.5,ACTA1
14153,AC008700.1,LINC01470,CHIT1,USP2-AS1,AC134312.6,LINC02240,AC025175.1,LINC00355,AC134312.1,AP000265.1,C21orf62,AC005632.6,AL512310.9,AL731563.3,SRRM5,CU633906.2,ADGRF1
14154,LINC02808,LINC01933,AC068506.1,TMEM238L,AC138512.1,AC113398.2,AC108477.1,AC095050.1,AC126696.1,MIS18A-AS1,AL162632.1,AC124798.1,AC092040.1,AC012254.3,AC092287.1,VMO1,AC090510.4
14155,CGNL1,CLMAT3,LINC02539,AP003393.1,KCNIP3,Z80897.2,SLC7A2,AC022325.2,RD3,AC009570.1,AC131235.2,TMEM225B,AL158013.1,LRRD1,ARHGEF38,AC007785.3,LINC01165
14156,LINC01844,KIF4B,HR,AC015908.4,AC116552.1,HAND2-AS1,AL591518.1,AL020997.3,FBXO39,UGT2B11,PF4,AL606834.1,AL355075.1,LINC02851,POTEE,TBC1D8B,NKX6-2
14157,HEPN1,AL133320.2,AC012123.1,NECTIN1-AS1,TEKT4,LINC02268,AC011586.2,CCDC70,KCNQ1-AS1,ADGRL3,AL031963.1,LINC02147,AC009495.2,ADAMTSL3,NDNF,LINC01193,CFAP46
14158,IGLC6,PCK1,SFTPC,AP003390.1,AC138028.5,AC112196.1,MSR1,LINC02268,PLCB1-IT1,ASB12,LINC00683,TSSK6,KCNH7,AL034397.2,AC004839.2,AP001107.5,PF4
14159,PKNOX2,ZBTB46-AS1,AC100849.2,LINC02744,AC138028.1,LINC02213,AC004832.1,HAND2-AS1,NPC1L1,AL157834.1,AC124248.2,IGLV5-52,AL137002.1,SSBP3-AS1,SCN3A,AC092296.1,AC091167.5
14160,AC135178.2,AL139294.1,AC009884.1,AP001360.2,IGKV1D-42,LINC01170,AC114781.2,AL139230.1,ACR,AC073052.2,AL031963.2,AC015967.1,HS3ST2,C15orf62,TGM2,TMEM151A,LINC01182
14161,LINC01413,AC105206.1,AC100800.1,TRIM29,IGKV2-4,DOCK4-AS1,SEC14L6,AC093849.1,JPH3,CAVIN3,LINC01585,AC007192.2,LINC00870,AL672310.1,SAG,IGHV3OR15-7,AL031123.2
14162,ARHGEF15,LINC01845,AP006248.4,AP000679.1,FOXI3,AC002056.2,Z98200.1,AC093849.3,LAMB3,GOLGA8J,AC103739.3,TOM1L1,LINC00370,EDA2R,JAZF1-AS1,AC026495.2,OCSTAMP
14163,AC007563.4,CU639417.4,AL161797.1,POU2F3,AC005277.1,LINC02212,AL121957.1,LMO7DN,AC106793.1,NYAP2,AC103739.2,AP002755.1,LINC01067,KCNC1,AC073389.2,AP001107.1,AC092140.1
14164,AC007563.2,FO393415.1,AC008759.2,AC084212.1,AC073046.3,HAS2-AS1,AC087203.3,AL136441.1,AC106818.2,HPX,ARGFX,AL158832.2,LINC00399,CFAP69,AC118344.1,SCN4B,SLC6A13
14165,AP003390.1,AC079801.1,AC008752.1,LINC00421,AC003688.2,AL138902.1,AC022441.1,GALNTL6,TECTA,AL450998.3,AC103974.1,AL445471.1,LINC00676,GPX2,ZNF114,ZMYND15,AL513190.1
14166,IGFBP5,IL12B,AC018731.1,LINC01964,AC026954.3,AC073346.1,SEC14L3,AC074254.1,FAM81B,AJ009632.2,AC089998.1,SLC25A21,FOXD3-AS1,AL139022.1,SAMD11,AP000542.3,HTRA1
14167,LINC02744,AL513493.1,AC012060.1,SPAG16-DT,SPEM1,Z80897.1,PAGE2,AL159158.1,AC138305.1,PRAP1,AC009480.1,AC008764.2,AL162497.1,AC011815.2,NKX2-3,IGBP1-AS1,AC022558.1
14168,AP001360.2,NPBWR2,HCG9,AC005304.1,AC007387.2,TMEM215,AC004080.2,AC074254.2,AL031770.1,CYP26A1,AC015574.1,LINC01579,AL355810.1,SEMA3B,AC015795.1,AC087292.1,AL391422.4
14169,TRIM29,AL139147.1,AC010494.1,AP000941.1,AC007387.3,GALNTL6,PAGE2B,LINC01612,AC021220.2,LINC02327,AC092296.1,AC091965.4,AL390755.1,RASIP1,ABCB11,GOLGA6L22,AC009090.3
14170,AP000679.1,AC105046.2,SLC7A2,TREH,DQX1,TRBV20OR9-2,LINC00575,AC084866.1,ART5,CYP2C8,SEMA6B,TRIM36,AL390755.3,AC127164.1,DEPP1,AP001107.4,AL021368.3
14171,AC098820.3,AC091979.2,AC008406.3,ATOH1,AC005041.3,AC084724.1,TMEM150C,AC084724.1,HEYL,NCAM2,AL162311.1,AL513008.1,COL4A1,RYR2,AC090229.1,SNAP25,AC024270.5
14172,POU2F3,AC091979.1,NAT2,AC073091.4,EFNB3,AC006387.1,AC106845.1,SPATA4,AC139099.2,GABRB3,AL132857.1,AL359076.1,AC112219.1,AL138762.1,RNF222,AC009432.2,AC004471.2
14173,FAM230I,LINC02227,FGL1,AC068616.3,GUCY2D,DNAH5,SGCZ,VEGFC,KCNMB2-AS1,LINC00158,UGT2A1,AC020550.2,AC105265.4,WDR64,CLEC12B,RNF212B,AC007684.2
14174,AC011370.1,AC025437.1,SMIM10L2B-AS1,SNCA-AS1,AC129492.2,LINC01546,LINC01033,IL31,SMIM11B,AL590096.1,LINC00853,AC087521.2,F10,AL357033.1,TULP2,AC044802.2,MIOX
14175,TRABD2B,AL592161.1,AC007998.3,AC097478.2,ARHGEF15,CCL27,AP006248.4,AL512288.1,THY1,AL512652.1,AC010336.3,INSYN2B,SCNN1B,SOWAHC,SPRED1,LINC01204,MB
14176,STK32A,AC025437.5,LINC01857,AC015922.3,AC135178.2,ARSE,TRIL,AL589745.1,SCN4A,AL121992.3,LINC00923,MIR924HG,LINC00346,AC021701.1,AC011446.1,AC090772.3,TMCO2
14177,LINC00970,AL355803.1,TRIM31-AS1,AC097478.1,ODF4,CCDC192,AC002378.1,AL138960.1,PIGR,CYYR1,LINC00398,AC110792.3,FOXD3,ZNF311,UGGT2,AC048344.4,AC011416.4
14178,STK32A-AS1,C1orf141,AC124242.3,FOXR1,MFSD6L,ARSD-AS1,AC090541.1,LINC01093,AC114316.1,ADGRG2,SLC25A21-AS1,AC009511.2,AC096970.1,AC090739.1,LINC00266-1,AC105114.2,AL136309.3
14179,LINC02556,AC104561.1,CT55,LINC00350,AC005695.1,FO680682.1,NR0B2,AL356515.1,NLRC4,FAM72D,AL139095.4,C5orf58,LINC00354,AC097359.3,FAM198B-AS1,AQP4-AS1,AC011330.2
14180,POU4F3,AC023202.1,AL391497.1,REG1B,TACR1,CTXN3,CFAP206,LINC00330,IGF2,RNF150,FOXA1,MEFV,SOX1,TMEM119,HNMT,PCYT1B,AL445490.1
14181,AP001977.1,AL158840.1,ADAMTS19-AS1,AP003392.1,AC005695.3,XG,SLC18A1,KCTD4,PHACTR3,AL139339.2,LINC01412,C7orf61,ATP11A-AS1,TTLL9,PLB1,AC137894.3,AC104841.1
14182,SLC5A9,INTS9-AS1,AL591503.1,CTNNA2,AC087501.1,AC084866.1,IL31RA,LINC01055,AC104695.3,PPIAL4A,MAATS1,DISC1-IT1,AC097634.2,WNK3,TMEM220,ZNF560,SPATA25
14183,BLID,OGFR-AS1,AL592114.3,AC093866.1,AC087501.2,TMEM269,AC107214.2,LINC02365,SETSIP,AK7,HTRA1,AC121334.3,AC104633.2,AC009802.1,AC104530.1,AC012588.1,AC109361.1
14184,AP000755.1,LINC02541,AC011442.1,AL356259.1,CFAP52,LINC00102,HORMAD2,CPB2,AC009464.1,AL136961.1,CSN1S1,FZD7,SAMMSON,GJC3,EPHB4,LINC02405,AL162718.2
14185,AC091887.1,AL160412.1,AC064807.2,TEKT3,AC118755.2,LINC01612,AC100849.2,ENPP6,PRAP1,IL17RD,SSTR1,CFB,AP001172.1,SMIM10L2B,MYH10,CDH2,AC084824.3
14186,PLAC8L1,AL583808.1,AL512283.1,CDRT8,NAT8,AC093523.1,AC015468.1,AC074194.1,AC138393.3,AC112484.3,LINC01580,AC016134.1,LINC00379,AC092849.1,MUC20,AC008567.3,KRTAP5-7
14187,AC084781.2,AC093158.1,AC064807.3,AC022816.1,GLP2R,CTNND2,AC004593.1,AL138686.1,AL359979.2,KBTBD12,CYP4A22-AS1,LINC01140,LINC00397,AC008937.3,AL590064.1,CLEC12A-AS1,BOK-AS1
14188,AC092844.1,DUSP26,AC092473.2,AC005224.1,AC005291.1,CFAP74,TENT5B,AC108477.1,AC016245.1,AC090589.3,OVOL3,SLC2A7,STOML3,LINC01284,PALM,AC004466.2,DGCR9
14189,CYP4Z1,AC124290.1,AC006557.1,AC005304.3,AC015908.4,AC074254.2,SPIN4-AS1,HTR2A,AC104695.2,AC007493.2,AC091214.1,AC068580.1,AC012066.2,AC093330.1,USP13,AC079949.5,AC026369.2
14190,COLCA2,AC091182.1,AC103831.1,AC005291.1,TMEM238L,AC004884.2,AL450338.2,AL138962.1,FAM177B,AC023593.1,HLA-DQB1-AS1,CEBPA-DT,LINC01055,ZNF687-AS1,AC006942.1,AC021683.2,AC026461.3
14191,LINC02715,LINC01605,ALKAL1,GLP2R,PIRT,AC098484.1,ARHGEF9-IT1,AC097518.2,AC096586.2,KLF15,UBE2L5,AC109322.2,BACH1-AS1,N4BP2L2-IT2,SLC9A5,AC111170.1,AP002336.2
14192,GCNT3,AL136528.1,GCSIR,AC118755.2,AC015908.2,AC004917.1,DDX4,AL157369.1,AC004522.4,SLC12A8,AL031123.2,DDN,CFAP44-AS1,E2F2,VWA7,AC111182.2,CELA2A
14193,AC092756.1,AC138356.3,AC113139.1,PDIA2,DNAH9,AL683807.2,AL139042.1,AC107214.2,AL359643.2,SMTNL1,AC130371.1,AP3B2,CPB2,AF165147.1,CEMP1,AC005261.2,CDH22
14194,SELE,AC092813.1,NPBWR1,IGFBP5,AC005410.2,AC005050.1,NEUROG2,AL392048.1,AC008667.1,ADCY5,IL1RL2,AC013402.1,LINC01748,F2RL1,LINC00598,MGAT5B,MMP21
14195,LDHAL6B,LINC02527,IGKV2OR2-1,AC098820.3,LINC01293,LINC02577,AL138731.1,CLDN22,PSD2-AS1,AC096861.2,AC130371.2,ASB15,AC026329.1,TRAIP,AC004877.1,AC005837.4,SLC6A12
14196,C2orf80,ADRB3,Z69666.1,AC069155.1,AC005034.3,AC074254.1,AC005162.3,LINC00462,H19,ADAMTS18,CELA2A,PRODH,AC078785.2,LINC00528,DIRC3,AC012170.2,IGHV3-69-1
14197,ARHGAP20,AL035409.1,OPRK1,PRR35,AC099684.3,AL356489.3,FGL1,AC019193.2,CEND1,AL158063.1,AC007546.1,LINC01675,AL138686.1,KCTD21-AS1,AC138627.1,GAREM1,AC106881.1
14198,AP003973.2,ARSI,PDE4C,WDFY3-AS2,GGT6,AL356489.2,AC023886.1,MLNR,CYP3A7,FBXO40,ST6GAL2,AC010967.1,NFIA-AS2,PINLYP,AC021097.1,AC129102.1,PLEKHG6
14199,AP000356.1,SLC6A7,AC022034.3,HEPN1,AC090617.2,TRBV26OR9-2,AL033379.1,AC079766.1,AL138831.1,STK24-AS1,RAB6D,CDK15,HTR2A,KDM4A-AS1,ITGA10,PFKFB1,AC244131.2
14200,Z99758.1,AL132655.3,AC093206.1,AC093382.1,AC006435.3,LINC01605,FUT9,AC114798.1,AL162741.1,AL357140.2,AL023881.1,CHSY3,AF124730.1,AC005674.2,AC068888.2,AC007529.2,BRWD1-IT1
14201,AP003027.1,AC095030.1,AC022034.4,WDFY3-AS1,OR1G1,FAM230I,EPHA7,TENM3,CARD14,AC021573.1,AC007823.1,AC096751.2,AL138962.1,AC005837.1,FAM81A,DNAH17-AS1,LINC00514
14202,AP002008.3,APCDD1L,AC239727.1,PKNOX2,OR1A1,AC007326.2,AC124242.3,AL158195.1,AC135782.1,CABP7,AC112484.1,KCNIP4,CD200R1L,SLC14A1,AC087284.1,AC069234.4,TAS2R42
14203,AC019185.2,GPC4,AC091806.1,AC129492.2,OR3A3,LINC01608,AC004593.3,AC096747.1,PROX1,BTBD18,AP001341.1,AC021851.1,AL157369.1,RCAN1,KLB,WASF3,LINC02449
14204,AC015922.3,ANKRD60,ANKRD30B,NKX6-1,SPATA22,LINC01189,GPX8,AC108169.1,LINC01936,AC109992.2,AC107398.2,AC126696.3,LINC02042,CPT1B,IGHV1-3,SEMA6B,AL513327.2
