,AML-GZMB CD8 T ,AML-GZMK CD8 T ,AML-MAIT,AML-NK,AML-Naïve CD4 T ,AML-Naïve CD8 T ,AML-T reg,Effector memory CD8 T,GZMB CD8 T ,GZMB DN T,GZMB NK,GZMK CD8 T ,GZMK NK,MAIT,Naïve CD4 T,Naïve CD8 T ,T reg
60,1.7264383,0.98451185,1.2182626,2.1358752,1.5749727,1.152226,1.6685574,1.8286768,1.6022366,0.8057086,3.1926515,1.5292819,1.4409614,1.416584,0.76252115,0.6134293,0.955783
61,1.5978662,1.8149779,1.3791943,3.0149539,0.9708675,0.5427067,0.98684305,1.0102433,1.8851585,1.8733737,1.6131638,0.65075105,2.1047409,1.5307053,0.8069214,1.0253943,0.7206869
62,0.9802804,0.6270329,1.1994443,1.5676175,0.75047517,1.5516038,1.0724424,1.0179354,0.911972,0.7494442,1.2516834,0.432597,1.2648512,3.8224564,1.1193384,0.6001789,0.39495826
63,1.3877641,1.4010689,1.2170341,2.2080815,1.0382943,1.0155011,0.93780035,0.68907684,1.051828,2.9741366,3.0871708,0.4023504,1.1902859,0.20588572,1.0221527,0.90311944,0.9992951
64,1.2340839,1.1773225,0.42117295,1.6043776,1.1702191,0.96210223,1.1068444,0.8370133,1.6188102,0.9979639,4.585505,0.58407897,2.9231782,0.23977089,0.60112333,0.9414227,0.5764358
65,1.8293668,1.4241229,2.7591863,2.5024686,1.4375659,0.928595,1.3912505,1.5165943,1.1728735,1.1499184,0.34301025,0.102864794,1.0768466,0.09053624,0.35177556,0.9178807,0.69168794
66,2.220379,1.067857,1.3070524,1.6313528,0.8202203,1.7410753,1.0998126,0.8822449,1.23528,0.49774706,2.8265533,1.2918551,2.4087782,0.16334623,0.3707013,0.52753454,0.6657292
67,0.40630272,0.98325044,0.7851411,1.2801433,1.1836044,1.6703947,0.2359471,1.0333412,1.7045435,1.5090446,1.1757987,0.5759903,7.4336443,1.2202731,1.4542207,0.91604733,0.47072685
68,1.1787171,1.1212615,1.1859008,2.0250444,1.8632197,0.88467306,1.0456051,0.8588358,2.1079066,1.1493639,3.0942304,1.5013419,1.3729446,1.0924983,0.2148394,0.6235112,0.6399278
69,1.5454159,1.0209461,0.26243788,2.4155905,0.9376507,1.180927,1.5738658,0.8885837,0.7220405,0.68465656,2.7262537,0.12201993,1.4821861,2.0612636,0.10368955,0.53392756,1.2459507
70,1.1152527,0.9356812,1.1317997,1.8489281,0.8900631,1.1407853,0.80421656,0.90578586,0.58904684,1.0696862,2.0046864,0.86138386,1.8367863,0.6843681,0.16205032,0.58073777,1.4339486
71,1.9531472,1.1119958,1.4000024,1.9411502,0.995094,1.1465611,1.4062705,0.95818245,1.7496277,1.791841,1.3393091,0.33464205,1.8250842,2.2688148,0.34281436,1.5873109,0.3287492
72,1.2848644,1.4131634,1.2558709,3.2696848,1.0313935,0.9240767,0.83900326,1.2814448,0.8179685,0.5105981,3.512904,0.13818555,2.668982,0.89174837,0.17147803,0.66906357,0.51587176
73,1.279926,1.4057966,2.2316208,2.0016727,1.1245291,0.93247247,0.9760914,0.88768315,1.503834,0.71596825,3.1823287,0.11553141,1.0529724,0.066824436,0.113341615,0.6423537,0.19301316
74,1.5737902,1.2845076,1.3298937,2.147496,1.6177651,0.9896593,1.2371849,1.5871209,2.3414872,0.6725378,1.6802535,0.07289353,0.6459209,0.13523406,0.73913014,0.7375661,1.0786657
75,1.2041343,1.064154,1.1984632,1.2865001,1.1996711,0.95084405,1.5981013,1.5411218,1.0983979,0.59066486,2.0159774,1.6409106,1.221209,0.11286383,0.78250664,0.72109383,1.426571
76,1.7777383,1.7343162,1.0181838,2.0470965,1.1263521,0.96698433,0.5767193,0.8804898,1.3321928,1.4354855,3.0640965,0.96399355,3.3195806,0.7205037,0.16497777,0.7689547,0.18394831
77,1.0252974,1.8175191,1.395579,1.25548,1.1425925,0.9133056,0.9047796,1.4073808,0.792841,0.7930872,1.1772003,-0.016105602,2.125868,0.29742053,1.572053,0.5871892,0.68022245
78,1.4807435,0.8475319,1.0821011,1.3771389,0.52761203,1.7664891,1.0462137,0.75470775,0.3272903,1.3063654,0.84952384,0.14792345,1.9012297,0.48828915,0.42003727,1.4375621,0.3811767
79,1.2179039,1.1342212,1.7041969,1.5928161,0.5450156,1.0639235,1.2699418,0.8334364,1.5306859,1.2206515,1.1409311,0.32751563,1.1078014,0.21584024,0.33156997,0.9682436,2.490139
80,1.0079904,0.906114,1.8374788,1.5085739,1.3757609,1.1344985,0.99999076,0.7917466,1.6123022,0.67062414,1.0620722,2.4405632,3.1599271,0.79560477,0.08020076,1.2595782,0.6044877
81,0.8429352,1.0545198,2.8661296,1.3138725,0.85754734,0.986065,1.1764603,0.7705172,1.1616995,0.6118253,1.4158636,0.048392516,3.3853948,1.6930106,0.26078776,1.1794302,0.5089878
82,2.6445487,0.90312606,1.4642535,1.558281,0.9149047,0.4653859,1.0334802,1.7513696,0.78761387,1.3039318,1.0225828,0.2311262,1.2525824,-0.04128901,0.616933,0.67612237,0.4329464
83,0.92669916,1.5041407,1.1434195,2.2496657,1.0303028,2.2608814,2.1515553,1.1636597,1.1877416,0.6761456,2.0585544,0.33285585,1.1792318,0.5705824,0.08788869,0.7770602,1.0999104
84,0.8809835,1.2053505,1.2157398,1.5531032,1.3111995,0.8617077,0.8441048,3.3451388,2.0473106,1.4966044,1.4188908,0.26177612,1.1753626,0.7169258,0.057157233,0.5650301,1.1569242
85,1.4505072,0.81469846,1.2013983,1.3125861,0.58739483,0.9247421,1.0034112,0.90004486,0.69585395,0.6804485,1.3037126,0.9187647,1.6619357,1.2528334,0.2735603,0.6087824,0.20649853
86,0.8019274,0.6193615,2.1043003,2.2562344,0.87829643,1.3553116,1.027297,1.0046743,0.8300668,1.1080352,1.6173357,1.4535203,1.5921664,1.2192739,0.94306785,2.5635297,0.6206065
87,0.7699361,2.0524266,1.9964147,1.2124206,0.93508124,1.0319879,0.851797,0.7849007,1.4188626,0.56120723,3.5786302,1.5873247,2.5753562,0.56839013,0.0412571,0.631821,1.1450409
88,1.2830365,0.8369007,1.0748023,1.4485065,0.68800616,0.93469346,1.1652274,0.92400163,0.5350345,0.7926239,2.476299,1.6604426,1.7511883,0.68965214,0.108184844,0.457332,0.41769242
89,1.3535051,1.4818472,1.1226324,1.9795744,0.68193656,1.0707405,0.8024987,0.9068363,0.6112443,1.334595,1.4088192,0.4007449,1.22348,0.07720986,0.26870307,0.5550523,1.3892171
90,1.619263,0.9049975,1.1382955,1.2566642,1.4996902,1.3824013,0.7784158,1.753575,1.0693955,0.68877584,2.4856827,0.89036095,1.4963889,0.86182976,1.0370809,0.71447575,0.5601144
91,1.1578254,1.1312288,2.278527,1.2022693,1.923991,0.88770604,1.7874677,1.196428,0.7275819,1.2944196,0.76544285,1.0713885,1.4849899,1.0357993,0.51129794,0.55839574,0.3664072
92,0.7116485,1.9940543,0.9614879,1.571155,1.3142782,1.0017117,0.8857114,0.72282517,2.3230536,1.0441505,2.2010963,0.90475243,1.5135521,0.19316885,0.2579275,0.64259017,0.6802113
93,1.0716776,1.0187078,2.0288367,0.45091283,0.95521283,0.83501333,1.4646311,1.1831512,2.3103762,1.3794446,2.1911266,0.69957376,1.7848425,1.3233529,0.6374627,0.5373504,0.7542014
94,3.1481564,2.2752202,1.1866019,1.5998878,1.0949813,2.6412096,0.84257615,0.9242981,0.8748301,0.6946255,1.0039455,1.2494862,2.0792618,0.9737298,0.6048911,0.37073645,0.7684863
95,1.6928718,1.1869363,1.1096991,2.1915748,1.2219421,0.8825995,1.4392956,0.777828,0.5804435,1.2827426,1.4038024,2.0379658,0.9595084,2.3400776,0.061964247,0.58628905,0.4923136
96,1.077784,0.9033783,1.5405816,1.8317074,0.6159272,1.0127362,1.1924045,0.83966935,1.3691077,0.44680837,1.3303977,0.101590574,1.0257554,1.5934874,0.29897526,0.8489448,0.95744276
