,AML-GZMB CD8 T ,AML-GZMK CD8 T ,AML-MAIT,AML-NK,AML-Naïve CD4 T ,AML-Naïve CD8 T ,AML-T reg,Effector memory CD8 T,GZMB CD8 T ,GZMB DN T,GZMB NK,GZMK CD8 T ,GZMK NK,MAIT,Naïve CD4 T,Naïve CD8 T ,T reg
1412,1.0,1.0,0.5138644183740017,0.5270248001934948,0.8974635063838318,0.5326776362823672,0.20729802713677115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1413,1.0,1.0,0.5146642879250226,0.5272397408544232,0.9005468863464372,0.5350751190404293,0.20747143536134316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1414,1.0,1.0,0.5160251553912678,0.5272397408544232,0.9011717157214019,0.5359784935951245,0.20751855627496557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1415,1.0,1.0,0.5162231724985804,0.5296899531447863,0.9025176587065367,0.5379283342591941,0.2076559048644255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1416,1.0,1.0,0.5167607056911474,0.5302354761707722,0.9030083527355675,0.5379283342591941,0.2076559048644255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1417,1.0,1.0,0.5169880736040535,0.53300255995025,0.906745874644364,0.5379283342591941,0.2076559048644255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1418,1.0,1.0,0.5169880736040535,0.53300255995025,0.9072928765861061,0.5387660741904604,0.20889231655940604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1419,1.0,1.0,0.5169880736040535,0.5341523333663691,0.913316065486491,0.5412962488094545,0.20889231655940604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1420,1.0,1.0,0.5169880736040535,0.5341523333663691,0.9145569937141778,0.5413062032994829,0.20889922036380174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1421,1.0,1.0,0.5169880736040535,0.5345721268658933,0.9145569937141778,0.5419980677995667,0.21087111485943816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1422,1.0,1.0,0.5189611749722056,0.5348882638983721,0.9145569937141778,0.5432532913228406,0.21243040105531702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1423,1.0,1.0,0.520717902595992,0.5374722267252873,0.9154918559656033,0.5439372813069979,0.21267247977079723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1424,1.0,1.0,0.521557440120428,0.5386612734294322,0.9174016636645409,0.5454080002491372,0.21360365153776295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1425,1.0,1.0,0.5241050312153063,0.5386612734294322,0.9184625796674728,0.5454790155490591,0.21362463754548353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1426,1.0,1.0,0.5241050312153063,0.5386612734294322,0.9239192945303455,0.5462268245171685,0.21417005232229389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1427,1.0,1.0,0.5255921553949792,0.5424693580299492,0.9244335965567793,0.5462268245171685,0.21417005232229389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1428,1.0,1.0,0.527067844163306,0.5436106898486063,0.9265241728466087,0.5463791088399027,0.21417005232229389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1429,1.0,1.0,0.5288175717145216,0.5436106898486063,0.9272612309941498,0.5474217498404744,0.21450238355087006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1430,1.0,1.0,0.5300146450735199,0.5436154408917904,0.9283035864790151,0.5474217498404744,0.21482125207979608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1431,1.0,1.0,0.530038174754038,0.543976159151563,0.9288889066903673,0.5478780788333995,0.2157700242654487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1432,1.0,1.0,0.5303752442992449,0.5440181694076092,0.9288889066903673,0.5486587985159397,0.21592236444686994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1433,1.0,1.0,0.5303752442992449,0.5440181694076092,0.93328476268997,0.5497954398032369,0.21700981179408244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1434,1.0,1.0,0.5303752442992449,0.5440181694076092,0.93328476268997,0.551259298752762,0.21700981179408244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1435,1.0,1.0,0.5303752442992449,0.5468612101036979,0.9347646107646747,0.5515354846087016,0.21700981179408244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1436,1.0,1.0,0.5312128498295405,0.5468612101036979,0.9353684535690929,0.5520866407757179,0.21700981179408244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1437,1.0,1.0,0.5312128498295405,0.5477195313210277,0.9358387861062523,0.5538228639138448,0.21700981179408244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1438,1.0,1.0,0.5312128498295405,0.5477195313210277,0.9367202723939962,0.5538658170026007,0.21765517722679037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1439,1.0,1.0,0.5322038188135636,0.5477195313210277,0.9367202723939962,0.5540007664534974,0.21765517722679037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1440,1.0,1.0,0.5344832563667218,0.5498887958637761,0.9367202723939962,0.5545952854050503,0.21774327200613625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1441,1.0,1.0,0.5345693628142688,0.5514387412181723,0.9389308955574875,0.5547465434535563,0.2179444046640288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1442,1.0,1.0,0.5364142761233579,0.5553735590627361,0.9419421096074552,0.5547465434535563,0.2189336305361673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1443,1.0,1.0,0.5364142761233579,0.5557686362769578,0.9419421096074552,0.5547465434535563,0.2195522746194959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1444,1.0,1.0,0.5364142761233579,0.5586238736357355,0.9419421096074552,0.555213053807074,0.2202199451916736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1445,1.0,1.0,0.5364142761233579,0.5590274527817948,0.9437839020342543,0.555213053807074,0.2202274440756337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1446,1.0,1.0,0.5364142761233579,0.5590274527817948,0.943860748727233,0.555213053807074,0.2202274440756337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
