"","normalized_mcc","f1","thresholds","Factor"
"267",NA,0.241578861167222,0,"GPR25"
"268",NA,NA,Inf,"SHISA4"
"269",0.486243169442006,0.00737956001113896,1,"SHISA4"
"270",NA,0.241578861167222,0,"SHISA4"
"271",NA,NA,Inf,"NUAK2"
"272",0.487142889952006,0.0142953472690492,1,"NUAK2"
"273",NA,0.241578861167222,0,"NUAK2"
"274",NA,NA,Inf,"CTSE"
"275",0.485355757699221,0.00270597450687175,1,"CTSE"
"276",NA,0.241578861167222,0,"CTSE"
"277",NA,NA,Inf,"CR2"
"278",0.514612374680221,0.0231888232752413,1,"CR2"
"279",NA,0.241578861167222,0,"CR2"
"280",NA,NA,Inf,"CR1L"
"281",0.477508998660695,0.000823497117760088,1,"CR1L"
"282",NA,0.241578861167222,0,"CR1L"
"283",NA,NA,Inf,"G0S2"
"284",0.485805308545073,0.02866360590644,1,"G0S2"
"285",NA,0.241578861167222,0,"G0S2"
"286",NA,NA,Inf,"PTPN14"
"287",0.507663015707853,0.0711336557744485,1,"PTPN14"
"288",NA,0.241578861167222,0,"PTPN14"
"289",NA,NA,Inf,"MARC2"
"290",0.519432019323494,0.0622643962043416,1,"MARC2"
"291",NA,0.241578861167222,0,"MARC2"
"292",NA,NA,Inf,"SIPA1L2"
"293",0.532165949591556,0.110780365376758,1,"SIPA1L2"
"294",NA,0.241578861167222,0,"SIPA1L2"
"295",NA,NA,Inf,"SLC35F3"
"296",0.493968807313751,0.00192378838327784,1,"SLC35F3"
"297",NA,0.241578861167222,0,"SLC35F3"
"298",NA,NA,Inf,"AL391832.2"
"299",0.517014765224504,0.0931241084165478,1,"AL391832.2"
"300",NA,0.241578861167222,0,"AL391832.2"
"301",NA,NA,Inf,"NID1"
"302",0.530054781286683,0.103045052531608,1,"NID1"
"303",NA,0.241578861167222,0,"NID1"
"304",NA,NA,Inf,"KIF26B"
"305",0.524782321045156,0.0834985133795838,1,"KIF26B"
"306",NA,0.241578861167222,0,"KIF26B"
"307",NA,NA,Inf,"MYT1L"
"308",0.495161812513966,0.00737953986398495,1,"MYT1L"
"309",NA,0.241578861167222,0,"MYT1L"
"310",NA,NA,Inf,"AC093390.2"
"311",0.496336667565687,0.0137112163403774,1,"AC093390.2"
"312",NA,0.241578861167222,0,"AC093390.2"
"313",NA,NA,Inf,"LINC00299"
"314",0.51796323570056,0.0353858035526223,1,"LINC00299"
"315",NA,0.241578861167222,0,"LINC00299"
"316",NA,NA,Inf,"LINC00570"
"317",0.484963242481783,0.000144560896277557,1,"LINC00570"
"318",NA,0.241578861167222,0,"LINC00570"
"319",NA,NA,Inf,"SDC1"
"320",0.493429924526656,0.00103950103950104,1,"SDC1"
"321",NA,0.241578861167222,0,"SDC1"
"322",NA,NA,Inf,"MFSD2B"
"323",0.511948562598974,0.109216754033284,1,"MFSD2B"
"324",NA,0.241578861167222,0,"MFSD2B"
"325",NA,NA,Inf,"AC104699.1"
"326",0.49470091522048,0.000149734221756382,1,"AC104699.1"
"327",NA,0.241578861167222,0,"AC104699.1"
"328",NA,NA,Inf,"LTBP1"
"329",0.478379973020735,0.0344105495500594,1,"LTBP1"
"330",NA,0.241578861167222,0,"LTBP1"
"331",NA,NA,Inf,"LINC00211"
"332",0.498001875070081,0.021361631753032,1,"LINC00211"
"333",NA,0.241578861167222,0,"LINC00211"
"334",NA,NA,Inf,"CYP1B1"
"335",0.502625756980372,0.0177683013503909,1,"CYP1B1"
"336",NA,0.241578861167222,0,"CYP1B1"
"337",NA,NA,Inf,"AC007381.1"
"338",0.49012361941943,0.00247741183328476,1,"AC007381.1"
"339",NA,0.241578861167222,0,"AC007381.1"
"340",NA,NA,Inf,"ADD2"
"341",0.529224209588684,0.122767735241112,1,"ADD2"
"342",NA,0.241578861167222,0,"ADD2"
"343",NA,NA,Inf,"DYSF"
"344",0.506280438929423,0.0786218582321378,1,"DYSF"
"345",NA,0.241578861167222,0,"DYSF"
"346",NA,NA,Inf,"TRABD2A"
"347",0.472730700955589,0.0114652037231092,1,"TRABD2A"
"348",NA,0.241578861167222,0,"TRABD2A"
"349",NA,NA,Inf,"CD8A"
"350",0.46532013020112,0.00492137798583603,1,"CD8A"
"351",NA,0.241578861167222,0,"CD8A"
"352",NA,NA,Inf,"CD8B"
"353",0.468096878369498,0.00681804346502709,1,"CD8B"
"354",NA,0.241578861167222,0,"CD8B"
"355",NA,NA,Inf,"IGKV2.24"
"356",0.498266726725236,0.0380536093077071,1,"IGKV2.24"
"357",NA,0.241578861167222,0,"IGKV2.24"
"358",NA,NA,Inf,"FAM178B"
"359",0.512382088831199,0.0596863292907486,1,"FAM178B"
"360",NA,0.241578861167222,0,"FAM178B"
"361",NA,NA,Inf,"IL1RL1"
"362",0.528754768450522,0.0560683760683761,1,"IL1RL1"
"363",NA,0.241578861167222,0,"IL1RL1"
"364",NA,NA,Inf,"IL18RAP"
"365",0.486248303322995,0.00186969653387027,1,"IL18RAP"
"366",NA,0.241578861167222,0,"IL18RAP"
"367",NA,NA,Inf,"AC013402.1"
"368",0.484889834334369,0.015342900601812,1,"AC013402.1"
"369",NA,0.241578861167222,0,"AC013402.1"
"370",NA,NA,Inf,"LINC01114"
"371",0.510946788243207,0.0557865779540656,1,"LINC01114"
"372",NA,0.241578861167222,0,"LINC01114"
"373",NA,NA,Inf,"MARCO"
"374",0.494915810680535,0.0154811715481172,1,"MARCO"
"375",NA,0.241578861167222,0,"MARCO"
"376",NA,NA,Inf,"PROC"
"377",0.490032562127241,0.00446621524276041,1,"PROC"
"378",NA,0.241578861167222,0,"PROC"
"379",NA,NA,Inf,"MYO7B"
"380",0.47960147724734,0.0262369713669582,1,"MYO7B"
