"","normalized_mcc","f1","thresholds","Factor"
"306",NA,0.0079576963912053,0,"KIF26B"
"307",NA,NA,Inf,"MYT1L"
"308",0.497610754596477,0,1,"MYT1L"
"309",NA,0.0079576963912053,0,"MYT1L"
"310",NA,NA,Inf,"AC093390.2"
"311",0.496974737146981,0,1,"AC093390.2"
"312",NA,0.0079576963912053,0,"AC093390.2"
"313",NA,NA,Inf,"LINC00299"
"314",0.49763838888437,0.00147710487444609,1,"LINC00299"
"315",NA,0.0079576963912053,0,"LINC00299"
"316",NA,NA,Inf,"LINC00570"
"317",0.49758236634678,0,1,"LINC00570"
"318",NA,0.0079576963912053,0,"LINC00570"
"319",NA,NA,Inf,"SDC1"
"320",0.498583400262253,0,1,"SDC1"
"321",NA,0.0079576963912053,0,"SDC1"
"322",NA,NA,Inf,"MFSD2B"
"323",0.491584909335979,0,1,"MFSD2B"
"324",NA,0.0079576963912053,0,"MFSD2B"
"325",NA,NA,Inf,"AC104699.1"
"326",0.499077161667117,0,1,"AC104699.1"
"327",NA,0.0079576963912053,0,"AC104699.1"
"328",NA,NA,Inf,"LTBP1"
"329",0.493482280533701,0.000418410041841004,1,"LTBP1"
"330",NA,0.0079576963912053,0,"LTBP1"
"331",NA,NA,Inf,"LINC00211"
"332",0.496394072267634,0,1,"LINC00211"
"333",NA,0.0079576963912053,0,"LINC00211"
"334",NA,NA,Inf,"CYP1B1"
"335",0.498024036157956,0.00169348010160881,1,"CYP1B1"
"336",NA,0.0079576963912053,0,"CYP1B1"
"337",NA,NA,Inf,"AC007381.1"
"338",0.608810524670985,0.220359281437126,1,"AC007381.1"
"339",NA,0.0079576963912053,0,"AC007381.1"
"340",NA,NA,Inf,"ADD2"
"341",0.492574938527237,0,1,"ADD2"
"342",NA,0.0079576963912053,0,"ADD2"
"343",NA,NA,Inf,"DYSF"
"344",0.493843368470372,0.000830564784053156,1,"DYSF"
"345",NA,0.0079576963912053,0,"DYSF"
"346",NA,NA,Inf,"TRABD2A"
"347",0.498198643914278,0.00479904019196161,1,"TRABD2A"
"348",NA,0.0079576963912053,0,"TRABD2A"
"349",NA,NA,Inf,"CD8A"
