"","normalized_mcc","f1","thresholds","Factor"
"325",NA,NA,Inf,"TRAPPC3"
"326",0.523866428233463,0.342416213811909,1,"TRAPPC3"
"327",NA,0.462060070020269,0,"TRAPPC3"
"328",NA,NA,Inf,"MAP7D1"
"329",0.522008292905238,0.333728652751423,1,"MAP7D1"
"330",NA,0.462060070020269,0,"MAP7D1"
"331",NA,NA,Inf,"THRAP3"
"332",0.528258809750966,0.393448414291449,1,"THRAP3"
"333",NA,0.462060070020269,0,"THRAP3"
"334",NA,NA,Inf,"EVA1B"
"335",0.458430339004724,0.236366589515572,1,"EVA1B"
"336",NA,0.462060070020269,0,"EVA1B"
"337",NA,NA,Inf,"LSM10"
"338",0.519669066511382,0.312941719271019,1,"LSM10"
"339",NA,0.462060070020269,0,"LSM10"
"340",NA,NA,Inf,"MRPS15"
"341",0.521003207959548,0.363242900876174,1,"MRPS15"
"342",NA,0.462060070020269,0,"MRPS15"
"343",NA,NA,Inf,"CSF3R"
"344",0.492035872753818,0.336788874841972,1,"CSF3R"
"345",NA,0.462060070020269,0,"CSF3R"
"346",NA,NA,Inf,"MEAF6"
"347",0.523925294155726,0.350852192826205,1,"MEAF6"
"348",NA,0.462060070020269,0,"MEAF6"
"349",NA,NA,Inf,"GNL2"
"350",0.508998008377631,0.256845499158389,1,"GNL2"
"351",NA,0.462060070020269,0,"GNL2"
"352",NA,NA,Inf,"YRDC"
"353",0.511369360560569,0.279309803217627,1,"YRDC"
"354",NA,0.462060070020269,0,"YRDC"
"355",NA,NA,Inf,"C1orf122"
"356",0.509675867165141,0.284291355857832,1,"C1orf122"
"357",NA,0.462060070020269,0,"C1orf122"
"358",NA,NA,Inf,"SF3A3"
"359",0.510427128760979,0.318385208255307,1,"SF3A3"
"360",NA,0.462060070020269,0,"SF3A3"
"361",NA,NA,Inf,"FHL3"
"362",0.524225323802556,0.319626089872569,1,"FHL3"
"363",NA,0.462060070020269,0,"FHL3"
"364",NA,NA,Inf,"AKIRIN1"
"365",0.524953801395155,0.331799095607235,1,"AKIRIN1"
"366",NA,0.462060070020269,0,"AKIRIN1"
"367",NA,NA,Inf,"NDUFS5"
"368",0.501218961715873,0.384317241778266,1,"NDUFS5"
"369",NA,0.462060070020269,0,"NDUFS5"
"370",NA,NA,Inf,"MACF1"
"371",0.519492665742069,0.39352424589538,1,"MACF1"
"372",NA,0.462060070020269,0,"MACF1"
"373",NA,NA,Inf,"PABPC4"
"374",0.508394085866017,0.348138037239255,1,"PABPC4"
"375",NA,0.462060070020269,0,"PABPC4"
"376",NA,NA,Inf,"PPIE"
"377",0.506453725053388,0.267213114754098,1,"PPIE"
"378",NA,0.462060070020269,0,"PPIE"
"379",NA,NA,Inf,"CAP1"
"380",0.532834749310463,0.413018105641179,1,"CAP1"
"381",NA,0.462060070020269,0,"CAP1"
"382",NA,NA,Inf,"PPT1"
"383",0.526911928263645,0.366061171740379,1,"PPT1"
"384",NA,0.462060070020269,0,"PPT1"
"385",NA,NA,Inf,"SMAP2"
"386",0.4903319416739,0.334093404273288,1,"SMAP2"
"387",NA,0.462060070020269,0,"SMAP2"
"388",NA,NA,Inf,"NFYC"
"389",0.513134512292873,0.28416713091922,1,"NFYC"
"390",NA,0.462060070020269,0,"NFYC"
"391",NA,NA,Inf,"CITED4"
"392",0.492535955878364,0.296599754199099,1,"CITED4"
"393",NA,0.462060070020269,0,"CITED4"
"394",NA,NA,Inf,"SCMH1"
"395",0.50663137451137,0.236904761904762,1,"SCMH1"
"396",NA,0.462060070020269,0,"SCMH1"
"397",NA,NA,Inf,"PPCS"
"398",0.520074662540661,0.351076335317023,1,"PPCS"
"399",NA,0.462060070020269,0,"PPCS"
"400",NA,NA,Inf,"PPIH"
"401",0.510795395673456,0.31028393984291,1,"PPIH"
"402",NA,0.462060070020269,0,"PPIH"
"403",NA,NA,Inf,"YBX1"
"404",0.49498454309295,0.403478260869565,1,"YBX1"
"405",NA,0.462060070020269,0,"YBX1"
"406",NA,NA,Inf,"P3H1"
"407",0.517028637847361,0.283305687473017,1,"P3H1"
"408",NA,0.462060070020269,0,"P3H1"
"409",NA,NA,Inf,"SVBP"
"410",0.50835399173022,0.280282623095606,1,"SVBP"
"411",NA,0.462060070020269,0,"SVBP"
"412",NA,NA,Inf,"EBNA1BP2"
"413",0.504325061635673,0.299436642717178,1,"EBNA1BP2"
"414",NA,0.462060070020269,0,"EBNA1BP2"
"415",NA,NA,Inf,"ELOVL1"
"416",0.510205411554019,0.328235562656928,1,"ELOVL1"
"417",NA,0.462060070020269,0,"ELOVL1"
"418",NA,NA,Inf,"HYI"
"419",0.499373929441794,0.22967659490809,1,"HYI"
"420",NA,0.462060070020269,0,"HYI"
"421",NA,NA,Inf,"ATP6V0B"
"422",0.499881897696294,0.392721047108853,1,"ATP6V0B"
"423",NA,0.462060070020269,0,"ATP6V0B"
"424",NA,NA,Inf,"DMAP1"
"425",0.510915611497221,0.262664253308573,1,"DMAP1"
"426",NA,0.462060070020269,0,"DMAP1"
"427",NA,NA,Inf,"ERI3"
