normalized_mcc,f1,thresholds,Factor
0.5050198530402522,0.0315024939474375,1,SH3BGRL2
0.5006439020798259,0.07620368143295746,1,PGM3
0.5325386275043257,0.04767085926506216,1,ME1
0.5278669830107511,0.12445966661602839,1,NT5E
0.5041711042695496,0.07992767237847688,1,RTN4IP1
0.5274274086798219,0.04205872514943064,1,SOBP
0.5353099351222975,0.1391790737846508,1,AK9
0.5598232195737428,0.13181994782705223,1,LINC01268
0.5406250164844196,0.07400944070948362,1,PKIB
0.5087353705050995,0.004806408544726301,1,SMPDL3A
0.5489966297662312,0.092679193946093,1,VNN1
0.5501843546544418,0.1212686827039601,1,AL121933.2
0.5175328727707706,0.020853861199758815,1,AL035446.1
0.5014631218929088,0.0872569951679964,1,FBXO30
0.50066795482821,0.08151469012575424,1,ZBTB2
0.5212828907192125,0.026512985203759918,1,AL356417.3
0.542456389920422,0.09468224919802722,1,AC093627.4
0.5317639778681899,0.056421356421356414,1,FAM20C
0.5447601888027506,0.07470162282835799,1,UNCX
0.50433617414839,0.07952859383611005,1,IQCE
0.5149099478297966,0.0789283436104614,1,FBXL18
0.5019419984686847,0.06551488197057817,1,CYTH3
0.5751179023830597,0.19296245120266153,1,THSD7A
0.5356499480024806,0.04789272030651341,1,AGR2
0.5263073816098466,0.0835400337335053,1,AC073332.1
0.5254126572426273,0.09866112779633424,1,SNHG26
0.5568656367917807,0.14015585132059857,1,IGF2BP3
0.5173322344852527,0.013470002658553156,1,KIAA0087
0.54992163467684,0.228461698152377,1,HOTAIRM1
0.5218048092586978,0.04467977079857838,1,HOXA6
0.5405397159542558,0.06867654866621706,1,HOXA11
0.5385642911980884,0.06298124667175199,1,HOXA11.AS
0.5384954678745922,0.06511427339370418,1,CREB5
0.5045243177102351,0.028779290597791152,1,CHN2
0.5195949845501449,0.07299561228560032,1,FKBP14
0.5198553098180771,0.10658674287307449,1,PLEKHA8
0.554414521918358,0.18458654168061597,1,TRGC2
0.5679327954303209,0.23314226159458049,1,TRGC1
0.5232071669855425,0.1309899766579706,1,TRGV9
0.5666435535051664,0.2996347735347462,1,TRG.AS1
0.5368835143474481,0.05001812250815513,1,INHBA
0.5196767529723617,0.11921317095423066,1,LINC00174
0.517331936437217,0.14131159587931902,1,RABGEF1
0.5454715405041453,0.15482430463846647,1,FGL2
0.510518269007752,0.007760778447548098,1,PDK4
0.5139935999335646,0.08256867762869544,1,ZSCAN21
0.503480823442612,0.0651556861458586,1,CASTOR3
0.5479651454395584,0.11211446651826341,1,PILRA
0.5416939656794344,0.07405287856243563,1,SERPINE1
0.5022064011032117,5.352523119926255e-4,1,COL26A1
0.5272918970913751,0.0890879294755877,1,SH2B2
0.5430155497288923,0.1543151076395504,1,UPK3BL1
0.5236318670229643,0.048330582341528386,1,AC007032.1
0.5076908350282358,0.07506808896958692,1,AC002467.1
0.5269275846247999,0.03593216381096938,1,DOCK4
0.5616021756291469,0.13615784008307372,1,CAV1
0.5217577989519415,0.020485651214128035,1,FLNC
0.5311033264081593,0.06689605734767025,1,AUXG01000058.1
0.5190597953714338,0.11074511112037692,1,AC083880.1
0.5161994549742088,0.025398501312451426,1,MGAM
0.5370842893493668,0.073818883568008,1,CLEC5A
0.5411929621802882,0.17782359556579017,1,TRBV20.1
0.5405488845767585,0.1155508462761063,1,TRBV28
0.5284806680640298,0.1171931382890135,1,TPK1
0.5179037357332157,0.10360857122914775,1,ZNF212
0.5067253337747093,0.05830142957514231,1,ZNF777
0.527938413024118,0.08106227366328198,1,KRBA1
0.5339072000401841,0.04897923674747709,1,RARRES2
0.5290692995838517,0.04127432288862046,1,LINC00996
0.5701792711066118,0.1870050952502588,1,TMEM176B
0.5433576109507583,0.08488916063531787,1,TMEM176A
0.5320101959442146,0.09489987175693006,1,LINC01006
0.5319000316558629,0.053177953848823095,1,MNX1
0.5018365040428523,0.11361002262818037,1,FBXO25
0.51532928199711725,0.056104613525527605,1,AC246817.2
0.5508436678415651,0.10812101463524255,1,ANGPT2
0.530285268795992,0.13517778967159347,1,PRAG1
0.5596702346881153,0.27026753526026187,1,DLC1
0.5360515079525777,0.0726258581235698,1,PSD3
0.5306667156758035,0.16335106741194694,1,CSGALNACT1
0.533806825251308,0.06070466947920117,1,EGR3
0.527787283189389,0.04095354523227384,1,TNFRSF10C
0.5161702387680156,0.1233510506458098,1,AC026979.2
0.5731546021567636,0.19110383335122946,1,STAR
0.5254673918814905,0.07847374257200534,1,ADAM9
0.5052335508748041,0.07396898806906041,1,POMK
0.5321690313130962,0.3596359356244683,1,ST18
0.5112833315294008,0.1593959956550309,1,CHD7
0.5346288991383886,0.05300695861001403,1,AC104232.1
0.5584291628145186,0.13084812568525944,1,SLCO5A1
0.5228396334938653,0.060824594167504666,1,LY96
0.5204710026172812,0.0623431022363759,1,IL7
0.5294103587855066,0.03262046165998654,1,SDC2
0.5063715402490696,0.09535401015654511,1,POP1
0.5410428157748878,0.06666762453483527,1,BAALC.AS2
0.5424341242701101,0.10162241265284871,1,LRP12
0.501611559785509,0.0013374546751471201,1,AC023590.1
0.5152660379891603,0.022907825371885054,1,ENPP2
0.5402771027982288,0.18858699262605463,1,TMEM71
0.5393759695172328,0.1498152868846872,1,PTP4A3
0.5387943321559514,0.06356651607147995,1,ADGRB1
0.503736936019144,0.0015751073599120317,1,LYPD2
0.5183515865506858,0.13301389554384282,1,MINCR
0.505096090007967,0.0719896589440191,1,ZNF696
0.5593907539920265,0.16014283377855312,1,MROH6
0.5193435678993064,0.2444056298096395,1,PLEC
0.5073922113759419,0.0979800519654681,1,ADCK5
0.5180736014146473,0.10196494954859266,1,KIFC2
0.5272749005582307,0.02910188590771215,1,FOXD4
0.5409201036826897,0.15441516412390197,1,CBWD1
0.5163300515985862,0.24403256801861029,1,CDKN2A
0.5412979075018679,0.1294816862474084,1,MOB3B
0.5082983800066709,0.008702344304996447,1,ENHO
0.5001874154267416,0.13405117328765262,1,FAM214B
0.561989698933505,0.16721209076219057,1,AL512625.3
0.5711709108178052,0.17014219298007122,1,MAMDC2
0.5229898942748742,0.048803079862216686,1,LINC01504
0.5059775120564091,0.07241168700197434,1,IPPK
0.5146633890979246,0.08072828179861818,1,FBP1
0.5435622601300569,0.15473582518062945,1,TDRD7
0.529340526930264,0.13848238853372394,1,TSTD2
0.5339717337891285,0.10446652558406795,1,ABCA1
0.5324696302464882,0.046144910701321325,1,LPAR1
0.5138830428146055,0.06829435351531843,1,PTGR1
0.5300016303305262,0.11084155931069098,1,SNX30
0.5152669284535499,0.008647880232781981,1,ORM1
0.537728471277019,0.06982243432649728,1,TLR4
0.5406973514830486,0.11363001842648947,1,ZBTB34
