,0
639,AL031123.5
640,BMP6
641,GCNT2
642,SYCP2L
643,ERVFRD-1
644,NEDD9
645,NHLRC1
646,HIST1H4A
647,HIST1H4B
648,HIST1H2AB
649,HIST1H2BB
650,HIST1H2BD
651,HIST1H2BE
652,HIST1H2AD
653,HIST1H4F
654,HIST1H3F
655,HIST1H2BH
656,HIST1H3G
657,HIST1H4H
658,HIST1H2BL
659,HIST1H2AI
660,HIST1H2AK
661,HIST1H3I
662,HIST1H3J
663,HIST1H2AM
664,ZSCAN16
665,ZKSCAN4
666,ZKSCAN3
667,ZSCAN12
668,GABBR1
669,HLA-F-AS1
670,TRIM10
671,TRIM15
672,IER3
673,MICB
674,LTA
675,TNF
676,NCR3
677,SAPCD1
678,TNXB
679,FKBPL
680,EGFL8
681,NOTCH4
682,HLA-DQB2
683,HLA-DOB
684,B3GALT4
685,ZBTB9
686,ITPR3
687,AL354740.1
688,PACSIN1
689,AL451165.2
690,MAPK13
691,CPNE5
692,FGD2
693,TMEM217
694,BTBD9
695,KCNK5
696,TSPO2
697,TREM1
698,MDFI
699,TFEB
700,USP49
701,PTCRA
702,KLC4
703,CRIP3
704,GTPBP2
705,VEGFA
706,TMEM63B
707,CAPN11
708,AL096865.1
709,PLA2G7
710,CENPQ
711,RHAG
712,ICK
713,AL021368.2
714,COL19A1
715,SDHAF4
716,LINC00472
717,LCA5
718,SH3BGRL2
719,TTK
720,UBE3D
721,PGM3
722,ME1
723,NT5E
724,SRSF12
725,AL121787.1
726,COQ3
727,USP45
728,PRDM1
729,RTN4IP1
730,CD24
731,SOBP
732,SCML4
733,AK9
734,LINC01268
735,ZUP1
736,TBC1D32
737,PKIB
738,SMPDL3A
739,THEMIS
740,PTPRK
741,SAMD3
742,ARG1
743,LINC01013
744,VNN1
745,VNN2
746,SLC18B1
747,MTFR2
748,AL121933.2
749,PERP
750,AL035446.1
751,HYMAI
752,AL356599.1
753,FBXO30
754,LRP11
755,PLEKHG1
756,AKAP12
757,IPCEF1
758,SYTL3
759,C6orf99
760,AL356417.3
761,IGF2R
762,CAHM
763,AL022069.3
764,CCR6
765,AC093627.4
766,FAM20C
767,UNCX
768,MICALL2
769,LFNG
770,IQCE
771,FBXL18
772,CCZ1
773,CYTH3
774,THSD7A
775,AGR2
776,AC073332.1
777,TWIST1
778,RAPGEF5
779,SNHG26
780,IGF2BP3
781,NPY
782,KIAA0087
783,HOTAIRM1
784,HOXA6
785,HOXA11
786,HOXA11-AS
787,JAZF1
788,CREB5
789,CHN2
790,WIPF3
791,FKBP14
792,PLEKHA8
793,MINDY4
794,AQP1
795,AC018647.2
796,TRGC2
797,TRGC1
798,TRGV10
799,TRGV9
800,TRGV7
801,TRG-AS1
802,TRGV4
803,TRGV3
804,TRGV2
805,INHBA
806,IGFBP3
807,UPP1
808,AC073349.1
809,AC073210.3
810,LINC00174
811,RABGEF1
812,AC027644.3
813,TYW1B
814,CCDC146
815,FGL2
816,CD36
817,STEAP4
818,AC000065.2
819,HEPACAM2
820,PDK4
821,BHLHA15
822,ZNF789
823,FAM200A
824,ZSCAN21
825,CASTOR3
826,PILRA
827,AGFG2
828,TFR2
829,ACHE
830,SERPINE1
831,COL26A1
832,SH2B2
833,UPK3BL1
834,FBXL13
835,AC007032.1
836,AC002467.1
837,LRRN3
838,CAV1
839,PRRT4
840,AC090114.2
841,FLNC
842,STRIP2
843,AC078846.1
844,AC084864.2
845,AUXG01000058.1
846,PLXNA4
847,AC083880.1
848,KLRG2
849,CLEC2L
850,KDM7A
851,MGAM
852,CLEC5A
853,TRBV20-1
854,TRBV28
855,TRBC1
856,KEL
857,TPK1
858,CNTNAP2
859,ZNF786
860,ZNF212
861,ZNF777
862,KRBA1
863,LRRC61
864,RARRES2
865,LINC00996
866,GIMAP8
867,GIMAP4
868,GIMAP6
869,GIMAP5
870,TMEM176B
871,TMEM176A
872,KCNH2
873,AC144652.1
874,LINC01006
875,MNX1
876,PTPRN2
877,VIPR2
878,FBXO25
879,DLGAP2
880,MYOM2
881,AC246817.2
882,AC246817.1
883,ANGPT2
884,PRAG1
885,BLK
886,DLC1
887,PSD3
888,CSGALNACT1
889,DOK2
890,DMTN
891,EGR3
892,TNFRSF10C
893,TNFRSF10D
894,AC100861.1
895,AC104561.3
896,EPHX2
897,ESCO2
898,PBK
899,NUGGC
900,PNOC
901,AC026979.2
902,UBXN8
903,DUSP26
904,ZNF703
905,ADGRA2
906,STAR
907,ADAM9
908,ANK1
909,AC103724.3
910,POMK
911,ST18
912,CHD7
913,CYP7B1
914,MTFR1
915,MYBL1
916,SLCO5A1
917,AC079089.1
918,LY96
919,IL7
920,AC009812.1
921,ZNF704
922,CA1
923,CA3-AS1
924,AC100801.1
925,NECAB1
926,RUNX1T1
927,RAD54B
928,SDC2
929,POP1
930,FBXO43
931,NCALD
932,BAALC-AS2
933,LRP12
934,PKHD1L1
935,AC023590.1
936,ENPP2
937,LINC01151
938,ZHX2
939,FAM83A
940,FBXO32
941,MTSS1
942,LINC00861
943,CCDC26
944,TMEM71
945,AC040970.1
