subset,gene,logFC,pct_AML,pct_HBM
GZMB NK,CDC42,0.11285961,0.573394495412844,0.5135453474676089
GZMB NK,ZBTB40,-0.0059405863,0.052752293577981654,0.053003533568904596
GZMB NK,KDM1A,-0.019981503,0.07568807339449542,0.08244994110718493
GZMB NK,LUZP1,0.031731486,0.07110091743119266,0.0447585394581861
GZMB NK,HNRNPR,0.04764265,0.3073394495412844,0.2626619552414605
GZMB NK,TCEA3,-0.002505802,0.0022935779816513763,0.0035335689045936395
GZMB NK,ID3,-0.0016873707,0.0022935779816513763,0.002355712603062426
GZMB NK,ELOA,0.04128719,0.07568807339449542,0.050647820965842166
GZMB NK,PITHD1,-0.03477508,0.16055045871559634,0.16489988221436985
GZMB NK,LYPLA2,0.025325418,0.16055045871559634,0.1248527679623086
GZMB NK,HMGCL,-0.010222577,0.04357798165137615,0.043580683156654886
GZMB NK,PNRC2,-0.010384828,0.16055045871559634,0.15312131919905772
GZMB NK,SRSF10,0.12940586,0.231651376146789,0.160188457008245
GZMB NK,NIPAL3,0.015350588,0.06422018348623854,0.05771495877502945
GZMB NK,RCAN3,0.024438158,0.013761467889908258,0.004711425206124852
GZMB NK,SRRM1,0.20919895,0.3944954128440367,0.2767962308598351
GZMB NK,RUNX3,0.029906034,0.42660550458715596,0.38515901060070673
GZMB NK,SYF2,0.065822214,0.24311926605504589,0.20141342756183744
GZMB NK,RSRP1,0.3084525,0.6284403669724771,0.48645465253239106
GZMB NK,TMEM50A,0.015598953,0.3830275229357798,0.3462897526501767
GZMB NK,MACO1,0.027776256,0.0871559633027523,0.0636042402826855
GZMB NK,LDLRAP1,0.018377319,0.052752293577981654,0.045936395759717315
GZMB NK,SELENON,0.02746544,0.027522935779816515,0.012956419316843345
GZMB NK,MTFR1L,0.016149439,0.05504587155963303,0.04004711425206125
GZMB NK,STMN1,0.02686368,0.10321100917431193,0.08833922261484099
GZMB NK,PAFAH2,-0.046852037,0.0779816513761468,0.09187279151943463
GZMB NK,ZNF593,0.050103202,0.0779816513761468,0.04711425206124853
GZMB NK,SH3BGRL3,-0.05973792,0.8302752293577982,0.8527679623085983
GZMB NK,UBXN11,0.058513388,0.06880733944954129,0.03297997644287397
GZMB NK,CD52,0.3946756,0.44036697247706424,0.3003533568904594
GZMB NK,ZNF683,0.1254583,0.09174311926605505,0.03297997644287397
GZMB NK,HMGN2,0.10966146,0.47477064220183485,0.40636042402826855
GZMB NK,ARID1A,0.026167214,0.21559633027522937,0.18610129564193167
GZMB NK,ZDHHC18,0.0012289882,0.09403669724770643,0.08833922261484099
GZMB NK,GPN2,-0.008203689,0.027522935779816515,0.02944640753828033
GZMB NK,GPATCH3,0.0036417097,0.05504587155963303,0.053003533568904596
GZMB NK,NUDC,0.075825036,0.21559633027522937,0.1625441696113074
GZMB NK,SLC9A1,0.0778529,0.07568807339449542,0.03415783274440518
