SampleID,subset,n,frac,group
AML4116,Memory CD4 T,34,0.06746031746031746,AML
AML4116,Memory CD8 T,44,0.0873015873015873,AML
AML4116,Naïve CD4 T,117,0.23214285714285715,AML
AML4116,Naïve CD8 T,146,0.2896825396825397,AML
AML4116,Proliferating T,1,0.001984126984126984,AML
AML4116,Treg,10,0.01984126984126984,AML
AML4127,GZMB CD8 T,20,0.0449438202247191,AML
AML4127,GZMB DNT,2,0.0044943820224719105,AML
AML4127,GZMB NK,13,0.029213483146067417,AML
AML4127,GZMK CD8 T,82,0.1842696629213483,AML
AML4127,GZMK NK,5,0.011235955056179775,AML
AML4127,MAIT,13,0.029213483146067417,AML
AML4127,Memory CD4 T,63,0.14157303370786517,AML
AML4127,Memory CD8 T,13,0.029213483146067417,AML
AML4127,Naïve CD4 T,112,0.251685393258427,AML
AML4127,Naïve CD8 T,107,0.24044943820224718,AML
AML4127,Proliferating T,4,0.008988764044943821,AML
AML4127,Treg,11,0.024719101123595506,AML
AML4192,GZMB CD8 T,1,0.005405405405405406,AML
AML4192,GZMB DNT,3,0.016216216216216217,AML
AML4192,GZMB NK,2,0.010810810810810811,AML
AML4192,GZMK CD8 T,5,0.02702702702702703,AML
AML4192,MAIT,9,0.04864864864864865,AML
AML4192,Memory CD4 T,17,0.0918918918918919,AML
AML4192,Memory CD8 T,5,0.02702702702702703,AML
AML4192,Naïve CD4 T,95,0.5135135135135135,AML
AML4192,Naïve CD8 T,24,0.12972972972972974,AML
AML4192,Proliferating T,14,0.07567567567567568,AML
AML4192,Treg,10,0.05405405405405406,AML
AML4226,GZMB CD8 T,2,0.022222222222222223,AML
AML4226,GZMB DNT,7,0.07777777777777778,AML
AML4226,GZMB NK,14,0.15555555555555556,AML
AML4226,GZMK CD8 T,11,0.12222222222222222,AML
AML4226,MAIT,4,0.044444444444444446,AML
AML4226,Memory CD4 T,12,0.13333333333333333,AML
AML4226,Naïve CD4 T,15,0.16666666666666666,AML
AML4226,Naïve CD8 T,16,0.17777777777777778,AML
AML4226,Proliferating T,3,0.03333333333333333,AML
AML4226,Treg,6,0.06666666666666667,AML
AML4232,GZMB CD8 T,3,0.003260869565217391,AML
AML4232,GZMB DNT,5,0.005434782608695652,AML
AML4232,GZMB NK,20,0.021739130434782608,AML
AML4232,GZMK CD8 T,19,0.020652173913043477,AML
AML4232,GZMK NK,14,0.015217391304347827,AML
AML4232,MAIT,3,0.003260869565217391,AML
AML4232,Memory CD4 T,62,0.06739130434782609,AML
AML4232,Memory CD8 T,34,0.03695652173913044,AML
AML4232,Naïve CD4 T,337,0.36630434782608695,AML
AML4232,Naïve CD8 T,402,0.4369565217391304,AML
AML4232,Proliferating T,2,0.002173913043478261,AML
AML4232,Treg,19,0.020652173913043477,AML
AML4239,GZMB CD8 T,3,0.02459016393442623,AML
AML4239,GZMB DNT,2,0.01639344262295082,AML
AML4239,GZMB NK,8,0.06557377049180328,AML
AML4239,GZMK CD8 T,9,0.07377049180327869,AML
AML4239,GZMK NK,5,0.040983606557377046,AML
AML4239,MAIT,2,0.01639344262295082,AML
AML4239,Memory CD4 T,22,0.18032786885245902,AML
AML4239,Memory CD8 T,4,0.03278688524590164,AML
AML4239,Naïve CD4 T,37,0.30327868852459017,AML
AML4239,Naïve CD8 T,21,0.1721311475409836,AML
AML4239,Proliferating T,1,0.00819672131147541,AML
AML4239,Treg,8,0.06557377049180328,AML
AML4264,GZMB CD8 T,8,0.034482758620689655,AML
AML4264,GZMB DNT,23,0.09913793103448276,AML
AML4264,GZMB NK,22,0.09482758620689655,AML
AML4264,GZMK CD8 T,18,0.07758620689655173,AML
AML4264,GZMK NK,3,0.01293103448275862,AML
AML4264,MAIT,7,0.03017241379310345,AML
AML4264,Memory CD4 T,19,0.08189655172413793,AML
AML4264,Memory CD8 T,22,0.09482758620689655,AML
AML4264,Naïve CD4 T,62,0.2672413793103448,AML
AML4264,Naïve CD8 T,43,0.1853448275862069,AML
AML4264,Treg,5,0.021551724137931036,AML
AML4271,GZMB CD8 T,11,0.03323262839879154,AML
AML4271,GZMB DNT,15,0.045317220543806644,AML
AML4271,GZMB NK,23,0.06948640483383686,AML
AML4271,GZMK CD8 T,36,0.10876132930513595,AML
AML4271,GZMK NK,3,0.00906344410876133,AML
AML4271,MAIT,4,0.012084592145015106,AML
AML4271,Memory CD4 T,69,0.2084592145015106,AML
AML4271,Memory CD8 T,11,0.03323262839879154,AML
AML4271,Naïve CD4 T,86,0.2598187311178248,AML
AML4271,Naïve CD8 T,58,0.17522658610271905,AML
AML4271,Proliferating T,1,0.0030211480362537764,AML
AML4271,Treg,14,0.04229607250755287,AML
AML4304,GZMB CD8 T,11,0.13924050632911392,AML
AML4304,GZMB NK,26,0.3291139240506329,AML
AML4304,GZMK CD8 T,12,0.1518987341772152,AML
AML4304,GZMK NK,4,0.05063291139240506,AML
AML4304,MAIT,1,0.012658227848101266,AML
AML4304,Memory CD4 T,14,0.17721518987341772,AML
AML4304,Memory CD8 T,3,0.0379746835443038,AML
AML4304,Naïve CD4 T,6,0.0759493670886076,AML
AML4304,Proliferating T,1,0.012658227848101266,AML
AML4304,Treg,1,0.012658227848101266,AML
AML4363,GZMB CD8 T,1,0.027777777777777776,AML
AML4363,GZMB DNT,4,0.1111111111111111,AML
AML4363,GZMB NK,11,0.3055555555555556,AML
AML4363,GZMK CD8 T,5,0.1388888888888889,AML
AML4363,MAIT,2,0.05555555555555555,AML
AML4363,Memory CD4 T,3,0.08333333333333333,AML
AML4363,Memory CD8 T,1,0.027777777777777776,AML
AML4363,Naïve CD4 T,6,0.16666666666666666,AML
AML4363,Naïve CD8 T,2,0.05555555555555555,AML
AML4363,Proliferating T,1,0.027777777777777776,AML
AML647,GZMB CD8 T,21,0.375,AML
AML647,GZMB NK,12,0.21428571428571427,AML
AML647,GZMK CD8 T,20,0.35714285714285715,AML
AML647,Memory CD4 T,1,0.017857142857142856,AML
AML647,Memory CD8 T,2,0.03571428571428571,AML
AML882,GZMB CD8 T,1,0.02631578947368421,AML
AML882,GZMB DNT,1,0.02631578947368421,AML
AML882,GZMB NK,2,0.05263157894736842,AML
AML882,GZMK NK,3,0.07894736842105263,AML
AML882,MAIT,2,0.05263157894736842,AML
AML882,Memory CD4 T,12,0.3157894736842105,AML
AML882,Memory CD8 T,3,0.07894736842105263,AML
AML882,Naïve CD4 T,12,0.3157894736842105,AML
AML882,Naïve CD8 T,2,0.05263157894736842,AML
AML948,GZMB CD8 T,4,0.0851063829787234,AML
AML948,GZMB DNT,1,0.02127659574468085,AML
AML948,GZMB NK,4,0.0851063829787234,AML
AML948,GZMK CD8 T,3,0.06382978723404255,AML
AML948,MAIT,1,0.02127659574468085,AML
AML948,Memory CD4 T,5,0.10638297872340426,AML
AML948,Memory CD8 T,5,0.10638297872340426,AML
AML948,Naïve CD4 T,17,0.3617021276595745,AML
AML948,Naïve CD8 T,6,0.1276595744680851,AML
AML948,Treg,1,0.02127659574468085,AML
