subset,gene,mean,pct
GZMK NK,CD3D,0.22226667,0.11004784688995216
GZMK NK,CD4,0.0,0.0
GZMK NK,CD8A,0.24542068,0.13875598086124402
GZMK NK,CD8B,0.036738817,0.019138755980861243
GZMK NK,CCR7,0.26008022,0.14354066985645933
GZMK NK,SELL,1.5623943,0.5980861244019139
GZMK NK,TCF7,1.061011,0.48325358851674644
GZMK NK,IL7R,0.8491492,0.3684210526315789
GZMK NK,FOXP3,0.0,0.0
GZMK NK,CTLA4,0.0,0.0
GZMK NK,GZMK,1.6895291,0.6746411483253588
GZMK NK,GZMB,0.7964289,0.3253588516746411
GZMK NK,GNLY,3.5769675,0.7368421052631579
GZMK NK,PRF1,2.018049,0.7942583732057417
GZMK NK,NKG7,3.942994,0.9856459330143541
GZMK NK,NCAM1,0.7048294,0.3684210526315789
GZMK NK,FCGR3A,0.42800394,0.22488038277511962
GZMK NK,KLRD1,2.2916594,0.8708133971291866
GZMK NK,SLC4A10,0.072958894,0.0430622009569378
GZMK NK,KLRB1,1.6086688,0.6555023923444976
GZMK NK,MKI67,0.02547748,0.014354066985645933
GZMB NK,CD3D,0.20039797,0.08482490272373541
GZMB NK,CD4,0.021672785,0.010116731517509728
GZMB NK,CD8A,0.37000984,0.16731517509727625
GZMB NK,CD8B,0.080796555,0.034241245136186774
GZMB NK,CCR7,0.005744839,0.0023346303501945525
GZMB NK,SELL,0.4842763,0.2140077821011673
GZMB NK,TCF7,0.18310829,0.08482490272373541
GZMB NK,IL7R,0.12699035,0.04669260700389105
GZMB NK,FOXP3,0.0015942134,0.0007782101167315176
GZMB NK,CTLA4,0.0060532168,0.0031128404669260703
GZMB NK,GZMK,0.09455536,0.03735408560311284
GZMB NK,GZMB,2.7633722,0.8568093385214007
GZMB NK,GNLY,4.4749484,0.9260700389105059
GZMB NK,PRF1,3.2137349,0.9182879377431906
GZMB NK,NKG7,4.288837,0.9603112840466926
GZMB NK,NCAM1,0.36953434,0.1859922178988327
GZMB NK,FCGR3A,1.9968377,0.7642023346303501
GZMB NK,KLRD1,1.9682477,0.754863813229572
GZMB NK,SLC4A10,0.008567011,0.004669260700389105
GZMB NK,KLRB1,1.6906389,0.6560311284046693
GZMB NK,MKI67,0.029888874,0.01556420233463035
Proliferating T,CD3D,1.3437874,0.5925925925925926
Proliferating T,CD4,0.15440756,0.08641975308641975
Proliferating T,CD8A,0.8217252,0.345679012345679
Proliferating T,CD8B,0.6187453,0.2839506172839506
Proliferating T,CCR7,0.1097051,0.06172839506172839
Proliferating T,SELL,0.8489534,0.4567901234567901
Proliferating T,TCF7,0.58247876,0.30864197530864196
Proliferating T,IL7R,0.43078095,0.25925925925925924
Proliferating T,FOXP3,0.022323417,0.012345679012345678
Proliferating T,CTLA4,0.19417325,0.1728395061728395
Proliferating T,GZMK,0.9676149,0.4074074074074074
Proliferating T,GZMB,1.1563053,0.43209876543209874
Proliferating T,GNLY,1.7726896,0.43209876543209874
Proliferating T,PRF1,1.6425155,0.6790123456790124
Proliferating T,NKG7,2.9797568,0.8888888888888888
Proliferating T,NCAM1,0.08355452,0.06172839506172839
Proliferating T,FCGR3A,0.49978882,0.2716049382716049
Proliferating T,KLRD1,0.79668343,0.4444444444444444
Proliferating T,SLC4A10,0.13540553,0.08641975308641975
Proliferating T,KLRB1,0.9193364,0.43209876543209874
Proliferating T,MKI67,1.3565346,0.6172839506172839
