Mixture,Naïve CD4 T,Memory CD4 T,Treg,Naïve CD8 T,Memory CD8 T,GZMK CD8 T,GZMB CD8 T,GZMB DNT,MAIT,GZMK NK,GZMB NK,Proliferating T,P-value,Correlation,RMSE
TARGET.20.PAWYJH.09A,0.0710367802389261,0.140034950380347,0.09671420034158,0.15731347721125,0.0558623398357798,0.0025458173750809,0.0316577845306939,0.0672095207311431,0.10874517456842,0.0521889885896254,0.127562191465664,0.08912877473149,0,0.513807148743275,0.868857555590024
TARGET.20.PAPZZE.09A,0.104372633791401,0.1050185328006,0.0516564436638181,0.110034732240779,0.0190273703237047,0.11666536836964,0.0790746198374635,0.138038995692706,0,0.0868662114384371,0.0736277139052937,0.115617377936158,0,0.613973220747271,0.806175906002111
TARGET.20.PAWWID.09A,0.0852031616470215,0.0250957608261928,0.201799053258657,0.10371348550208,0.108523503685789,0,0.0643067491915371,0.0578419235980712,0.10484831512384,0.0483694627484899,0.127091921491866,0.0732066629264554,0,0.642053798722269,0.811987779742106
TARGET.20.PAUYEV.09A,0.101331774661507,0,0.171437794978594,0.137361733460684,0.0511141283115777,0.146155082405132,0,0.103379737340379,0.0507747170987581,0.0508418729149059,0.105729561831602,0.0818735969968604,0,0.712060558203011,0.748652689019964
TARGET.20.PASWAJ.09A,0.0932997753868213,0.0767973630463038,0.00570013629241277,0.178255338063323,0.0381372722418392,0.148787805927832,0,0.125505074253059,0.0381732333795575,0.0782813618504274,0.0757830166781199,0.141279622880304,0,0.690844560084884,0.758640945665682
TARGET.20.PAVUVD.09A,0.0659372137250132,0.146297622098302,0.0938345328937181,0.0258569329508032,0.0827098262479202,0.141322214165613,0.0119993959178953,0.0816122453723554,0.143481446005494,0.0871540674611231,0.0709705792475489,0.048823923914214,0,0.657139452269653,0.787649977327413
TARGET.20.PAWEBC.09A,0.0887326084563871,0.0347846513374259,0.112177921389946,0.106045171031349,0.0829177158340027,0.172359924573078,0.0137504403847174,0.079795222648473,0.0862798891403791,0.0460063477655333,0.0862227409979036,0.0909273664408052,0,0.7669475186163,0.712238728574084
TARGET.20.PAWUUE.09A,0.0147175499159535,0.0705624953520614,0.21467687712282,0.141695322567569,0.117269522644102,0.00986753662863221,0.0218380845471194,0,0.170262387226076,0.0625735916020884,0.113489251629686,0.0630473807638926,0,0.589850960808703,0.840380164503207
TARGET.20.PAPZIZ.09A,0.0932708118476092,0.209448967881946,0.00576109746915588,0.0362746283525597,0.171371507633842,0.114134924005443,0.00932421922908056,0.0949041788679291,0.0571954797211524,0.1315026662329,0.0299603943886773,0.0468511243697038,0,0.657048723474835,0.788348521479188
TARGET.20.PAWLYM.09A,0.0786984229016796,0,0.118451441453399,0.144709441331115,0.0933033118347598,0.193608468968419,0.0277594322769183,0,0.150096066289607,0.0492043207730613,0.100615758393405,0.0435533357776368,0,0.706913229141483,0.745257601123593
TARGET.20.PAWHFW.09A,0.10349803371833,0.00736963724215219,0.133374258378164,0.104147108377785,0.0532783381916997,0.164276551685932,0.017662878495259,0.0787310710141955,0.104144578699517,0.0584030039823505,0.107725674687231,0.0673888655273838,0,0.740528305684504,0.728524797818405
TARGET.20.PANHWD.09A,0.0631873226023073,0.0605551801729953,0.152267523757553,0.106540393745828,0.0757496855752388,0.053238649252857,0.0276276536190735,0.0360217847023084,0.198930021579574,0.0633020442720938,0.099582180873984,0.0629975598461863,0,0.637642152585186,0.815816249850701
TARGET.20.PAYHFV.Sorted.leukemic.09A,0.0480619964773433,0.0840891439272503,0.115765781962268,0.0990530248964786,0.0872453328628675,0.180467726501814,0,0.0806720414624124,0.136721382358791,0.0488993840861301,0.0635382873780806,0.0554858980865637,0,0.837070642197544,0.668266843960171
