"subset","term","NES","padj","size"
"Naïve CD4 T","autophagy of peroxisome",1.02271424375481,0.802393360982367,13
"Naïve CD4 T","axis specification",-1.09307363300394,0.714135509105438,20
"Naïve CD4 T","axonal transport",0.742641776507709,0.958938245898163,44
"Naïve CD4 T","axon development",1.13599108631667,0.649785680588148,149
"Naïve CD4 T","axon extension",1.29064773357569,0.509245544865402,38
"Naïve CD4 T","axo dendritic transport",-0.895325831832399,0.862316583211548,55
"Naïve CD4 T","barbed end actin filament capping",0.970386832800285,0.819449220738132,18
"Naïve CD4 T","base excision repair",0.536339194223379,1,35
"Naïve CD4 T","base excision repair gap filling",0.7969684052993,0.91168792001511,12
"Naïve CD4 T","behavior",1.01234540911631,0.803603159040687,211
"Naïve CD4 T","bile acid biosynthetic process",0.701923081843285,0.949528974247318,12
"Naïve CD4 T","bile acid metabolic process",0.664178451003843,0.965357192786244,17
"Naïve CD4 T","binding of sperm to zona pellucida",1.33349505645337,0.502984094925524,11
"Naïve CD4 T","biological process involved in interaction with host",1.3095168717485,0.405665763675458,88
"Naïve CD4 T","biological process involved in interaction with symbiont",-1.17889133199451,0.650847991598845,10
"Naïve CD4 T","biological process involved in intraspecies interaction between organisms",1.18868980290007,0.656081805023841,13
"Naïve CD4 T","biological process involved in symbiotic interaction",1.11751100514257,0.666485507246377,101
"Naïve CD4 T","biomineral tissue development",1.05628309132772,0.765601283310694,48
"Naïve CD4 T","blastocyst development",-1.22026994163803,0.544509333547118,69
"Naïve CD4 T","blastocyst formation",-1.75790209227999,0.165161110124452,29
"Naïve CD4 T","blastocyst growth",1.25305004380163,0.599470432480141,14
"Naïve CD4 T","blood vessel endothelial cell migration",0.714243893558467,0.970264824977978,55
"Naïve CD4 T","blood vessel morphogenesis",-1.18817386785002,0.449093236606862,212
"Naïve CD4 T","blood vessel remodeling",0.78829772046253,0.912689309851512,11
"Naïve CD4 T","body fluid secretion",0.598073314766519,0.991325448033108,31
"Naïve CD4 T","body morphogenesis",1.35533803092852,0.443228013066827,20
"Naïve CD4 T","bone development",1.06529903640939,0.770626168477525,69
"Naïve CD4 T","bone mineralization",1.22693910506961,0.590054820335872,37
"Naïve CD4 T","bone morphogenesis",-0.897365310786099,0.860571822439064,27
"Naïve CD4 T","bone remodeling",-0.931031389645538,0.842470850905482,33
"Naïve CD4 T","bone resorption",-1.10540705240722,0.681226790450928,29
"Naïve CD4 T","brain morphogenesis",1.57848555720742,0.210731895610599,13
"Naïve CD4 T","branched chain amino acid metabolic process",-0.56175649088729,0.996643220955615,20
"Naïve CD4 T","branching involved in blood vessel morphogenesis",1.2562391150802,0.574488138232885,12
"Naïve CD4 T","branching morphogenesis of an epithelial tube",0.800245842945505,0.9191663048198,34
"Naïve CD4 T","brown fat cell differentiation",1.15973736037532,0.670736408220904,20
"Naïve CD4 T","b cell activation",1.17687335762398,0.544509333547118,167
"Naïve CD4 T","b cell activation involved in immune response",1.44426205085959,0.327741709071767,56
"Naïve CD4 T","b cell apoptotic process",1.61053766159887,0.16727848143743,20
"Naïve CD4 T","b cell differentiation",1.44353459926688,0.213403796220752,93
"Naïve CD4 T","b cell homeostasis",0.929005891158571,0.842649657691908,28
"Naïve CD4 T","b cell mediated immunity",0.950723458420387,0.842470850905482,62
"Naïve CD4 T","b cell proliferation",1.52850904517511,0.205529915035922,47
"Naïve CD4 T","b cell receptor signaling pathway",1.66948495398542,0.145137061800324,42
"Naïve CD4 T","c21 steroid hormone metabolic process",0.823002719946419,0.898608090474119,10
"Naïve CD4 T","c4 dicarboxylate transport",-1.01225993596446,0.793457943925234,10
"Naïve CD4 T","calcineurin mediated signaling",-1.15636375068401,0.63610712577714,29
"Naïve CD4 T","calcium import into the mitochondrion",0.813433456841028,0.901200438802696,14
"Naïve CD4 T","calcium ion homeostasis",0.912886879673694,0.883849455265764,120
"Naïve CD4 T","calcium ion import",-0.959436998981143,0.811139220066206,21
"Naïve CD4 T","calcium ion regulated exocytosis",-1.06688396788861,0.726914295378631,18
"Naïve CD4 T","calcium ion transmembrane import into cytosol",-1.12497054177801,0.64611079060747,67
"Naïve CD4 T","calcium ion transmembrane transport",-0.957587539650001,0.845906487985377,123
"Naïve CD4 T","calcium ion transport",-1.22745791923437,0.381424173224131,151
"Naïve CD4 T","calcium mediated signaling",-1.1322127046867,0.649785680588148,81
"Naïve CD4 T","camera type eye morphogenesis",0.736539608205928,0.952457539407748,30
"Naïve CD4 T","camp mediated signaling",-0.701323528749927,0.936521206317863,10
"Naïve CD4 T","camp pka signal transduction",1.1646321447019,0.673364177131527,12
"Naïve CD4 T","canonical nf kappab signal transduction",0.982753879871769,0.838168054449613,214
"Naïve CD4 T","canonical wnt signaling pathway",1.31707035163932,0.336832789086581,121
"Naïve CD4 T","carbohydrate biosynthetic process",0.717701582004053,0.972158866885041,85
"Naïve CD4 T","carbohydrate catabolic process",0.747432972038378,0.970264824977978,93
"Naïve CD4 T","carbohydrate derivative biosynthetic process",0.819767516531653,0.966664850730006,316
"Naïve CD4 T","carbohydrate derivative catabolic process",0.823750412075765,0.936828364626809,140
"Naïve CD4 T","carbohydrate derivative metabolic process",0.723132552833658,1,498
"Naïve CD4 T","carbohydrate derivative transport",-0.642172301285088,0.996085482037452,43
"Naïve CD4 T","carbohydrate homeostasis",0.915550117172876,0.879988099449861,114
"Naïve CD4 T","carbohydrate metabolic process",0.809650414454449,0.966664850730006,272
"Naïve CD4 T","carbohydrate transport",0.664429760323666,0.984727517320446,48
"Naïve CD4 T","cardiac atrium development",0.92257721231061,0.849045626283655,13
"Naïve CD4 T","cardiac atrium morphogenesis",0.739112082638535,0.934631973382139,10
"Naïve CD4 T","cardiac cell development",1.05117989858601,0.778401099125325,25
"Naïve CD4 T","cardiac chamber development",-1.15746520394956,0.619095147595674,54
"Naïve CD4 T","cardiac chamber morphogenesis",-1.10251643164951,0.673772389087903,34
"Naïve CD4 T","cardiac conduction",-1.00810343613773,0.786737755416778,23
"Naïve CD4 T","cardiac epithelial to mesenchymal transition",0.645156719786372,0.969518091085402,12
"Naïve CD4 T","cardiac muscle cell action potential",-0.861609764874877,0.863065011325877,16
"Naïve CD4 T","cardiac muscle cell contraction",0.787844726730544,0.914635750389898,17
"Naïve CD4 T","cardiac muscle cell differentiation",0.956993155862487,0.841248562601311,38
"Naïve CD4 T","cardiac muscle cell proliferation",1.17530921871873,0.679247360366411,17
"Naïve CD4 T","cardiac muscle contraction",-1.10250375820243,0.649785680588148,40
"Naïve CD4 T","cardiac muscle tissue development",1.05187458943374,0.778401099125325,76
"Naïve CD4 T","cardiac muscle tissue morphogenesis",0.562512008995181,0.993919588316219,19
"Naïve CD4 T","cardiac septum development",-0.95955220849813,0.812860593885158,42
"Naïve CD4 T","cardiac septum morphogenesis",-1.25562760501105,0.582759738402578,23
"Naïve CD4 T","cardiac ventricle development",-1.20507104457549,0.597630127879238,42
"Naïve CD4 T","cardiac ventricle morphogenesis",0.919716607400684,0.845906487985377,20
"Naïve CD4 T","cardiocyte differentiation",0.953204881060962,0.841248562601311,50
"Naïve CD4 T","cardiolipin metabolic process",0.836322089166793,0.88956053920087,11
"Naïve CD4 T","cartilage development",1.03740266590919,0.771644908260938,52
"Naïve CD4 T","catecholamine transport",-1.68875818396662,0.283672408672409,12
"Naïve CD4 T","catechol containing compound metabolic process",0.794228340060903,0.911610053070948,11
"Naïve CD4 T","cd40 signaling pathway",-1.96489512327339,0.118700600904051,12
"Naïve CD4 T","cd4 positive alpha beta t cell activation",1.24607863622382,0.493468302564339,85
"Naïve CD4 T","cd4 positive alpha beta t cell differentiation",1.35326368605475,0.375610533021873,68
"Naïve CD4 T","cd4 positive alpha beta t cell proliferation",-1.29147399270375,0.567311525786603,14
"Naïve CD4 T","cd4 positive or cd8 positive alpha beta t cell lineage commitment",1.77152944276217,0.0500294485951391,26
"Naïve CD4 T","cd8 positive alpha beta t cell activation",0.913324511385883,0.846015617701527,17
"Naïve CD4 T","cd8 positive alpha beta t cell differentiation",1.41347865906155,0.405956225979322,12
"Naïve CD4 T","cellular component assembly involved in morphogenesis",1.13549573306464,0.680456226880395,34
"Naïve CD4 T","cellular component disassembly",1.16320407494167,0.529349290639613,266
"Naïve CD4 T","cellular component disassembly involved in execution phase of apoptosis",-0.970253915884046,0.802527438504262,14
"Naïve CD4 T","cellular component maintenance",-1.20659626079233,0.620903602657026,25
"Naïve CD4 T","cellular defense response",-0.854788213129928,0.873371584650994,25
"Naïve CD4 T","cellular extravasation",1.52775695751328,0.226959983522998,33
"Naïve CD4 T","cellular homeostasis",-1.12301297904639,0.356191985073103,374
"Naïve CD4 T","cellular hyperosmotic response",-1.01279311912713,0.778690951634685,15
"Naïve CD4 T","cellular oxidant detoxification",-1.84720291396382,0.090922567200294,38
"Naïve CD4 T","cellular pigmentation",0.870260763595663,0.883849455265764,40
"Naïve CD4 T","cellular process involved in reproduction in multicellular organism",1.23025341481838,0.507860875080736,118
"Naïve CD4 T","cellular respiration",0.956603066193869,0.845764437593049,168
"Naïve CD4 T","cellular response to abiotic stimulus",1.22286349817048,0.459969389551814,180
"Naïve CD4 T","cellular response to acid chemical",-1.61851604963454,0.17330865666838,49
"Naïve CD4 T","cellular response to alcohol",-1.55488977010967,0.322910723816184,43
"Naïve CD4 T","cellular response to alkaloid",0.694860331152251,0.951710040443116,13
"Naïve CD4 T","cellular response to amyloid beta",1.06715411310604,0.775131507346272,16
"Naïve CD4 T","cellular response to angiotensin",0.985925188440861,0.811139220066206,17
"Naïve CD4 T","cellular response to arsenic containing substance",1.15286848125863,0.709193084348364,15
"Naïve CD4 T","cellular response to biotic stimulus",1.03391136196238,0.778690951634685,119
"Naïve CD4 T","cellular response to calcium ion",1.062589308321,0.757326050423819,34
"Naïve CD4 T","cellular response to camp",0.693492664291573,0.965171410499684,22
"Naïve CD4 T","cellular response to carbohydrate stimulus",0.946055374614813,0.845764437593049,71
"Naïve CD4 T","cellular response to chemical stress",-1.36740627881912,0.17552738588029,184
"Naïve CD4 T","cellular response to copper ion",-0.699506820617141,0.936521206317863,10
"Naïve CD4 T","cellular response to corticosteroid stimulus",-1.45331584992862,0.397192014808014,30
"Naïve CD4 T","cellular response to dexamethasone stimulus",0.764877157256854,0.922123141026103,14
"Naïve CD4 T","cellular response to dsrna",0.915310883316901,0.846807719693569,16
"Naïve CD4 T","cellular response to estradiol stimulus",0.99800064489544,0.816738816738817,13
"Naïve CD4 T","cellular response to estrogen stimulus",1.20090439324913,0.652296125838115,11
"Naïve CD4 T","cellular response to exogenous dsrna",0.690827671029838,0.954732225386478,12
"Naïve CD4 T","cellular response to external stimulus",1.56470906738647,0.213403796220752,42
"Naïve CD4 T","cellular response to fatty acid",0.714070282576823,0.936828364626809,15
"Naïve CD4 T","cellular response to fluid shear stress",-1.57698354282906,0.338625025643507,21
"Naïve CD4 T","cellular response to gamma radiation",1.28979985024421,0.53353083759763,18
"Naïve CD4 T","cellular response to glucocorticoid stimulus",-1.54603578004074,0.356191985073103,26
"Naïve CD4 T","cellular response to glucose starvation",1.53372669395238,0.211352093805261,38
"Naïve CD4 T","cellular response to growth hormone stimulus",1.5750552939274,0.207725111343087,17
"Naïve CD4 T","cellular response to heat",1.26638042256111,0.528171500630517,43
"Naïve CD4 T","cellular response to hormone stimulus",0.951866717584536,0.868637563107766,322
"Naïve CD4 T","cellular response to hydrogen peroxide",-2.09395483066433,0.0329306017777155,41
"Naïve CD4 T","cellular response to increased oxygen levels",-0.711133809418272,0.934631973382139,10
"Naïve CD4 T","cellular response to insulin stimulus",1.00389206644472,0.806982932267878,119
"Naïve CD4 T","cellular response to interferon beta",1.55824381349089,0.216207746417684,17
"Naïve CD4 T","cellular response to interleukin 1",0.948963277271986,0.842649657691908,43
"Naïve CD4 T","cellular response to ionizing radiation",1.05543011620144,0.767110910323018,44
"Naïve CD4 T","cellular response to ketone",-1.57732782499865,0.228003823012798,56
