names,scores,logfoldchanges,pvals,pvals_adj,pct_LS10,pct_other,spec
GYPC,11.754813,0.6884753,6.67078412262992e-32,1.2443333057123997e-30,69.29879974731521,45.7125,23.586299747315216
ATRAID,13.4205,0.68460345,4.586086794019064e-41,1.1217453440898508e-39,76.8161718256475,48.05,28.766171825647504
CLSTN1,11.13158,0.67516965,8.805994630601701e-29,1.43766405473692e-27,42.57738471257107,21.212500000000002,21.364884712571065
SELL,11.62816,0.66832733,2.9641665882961114e-31,5.375205538696649e-30,69.74099810486419,45.0375,24.703498104864188
SV2A,4.813033,0.66387486,1.4865661145919384e-06,6.887773122607785e-06,15.413771320277952,7.225,8.188771320277953
SPPL2B,12.981234,0.6628094,1.5634207106750443e-38,3.568723101345556e-37,55.14845230574858,28.875,26.273452305748577
CNNM3,6.5842433,0.66235846,4.572083259330644e-11,2.976153030460743e-10,21.667719519898927,10.237499999999999,11.430219519898928
SLC3A2,13.097844,0.6595334,3.387441932973204e-39,7.937702407805075e-38,68.41440303221731,40.6625,27.751903032217307
PKD1,11.518048,0.65928257,1.0700772078312907e-30,1.9026223228448942e-29,42.45104232469994,20.5125,21.93854232469994
NRXN2,8.1421385,0.654972,3.8835519180182856e-16,3.435768707542156e-15,29.69046114971573,14.9875,14.70296114971573
PAM,6.1153703,0.6547294,9.63328851415134e-10,5.699522018779372e-09,19.01452937460518,8.525,10.489529374605178
MFSD11,10.570314,0.651846,4.0911995249037874e-26,6.005257230704185e-25,42.13518635502211,21.987499999999997,20.14768635502211
TNFSF4,2.994105,0.6487757,0.002752510899425465,0.009642603517254518,9.222994314592546,4.2875000000000005,4.935494314592545
SLC23A2,6.460717,0.64554954,1.0420790484289514e-10,6.624057103286403e-10,19.96209728363866,8.737499999999999,11.22459728363866
RNF167,12.605714,0.6389338,1.9638640729404682e-36,4.2153710312896427e-35,62.28679722046747,35.5875,26.69929722046747
LRP5,5.500734,0.6380505,3.782142573413935e-08,1.9805911683756694e-07,17.751105495893874,8.325000000000001,9.426105495893873
CD96,11.877032,0.6375449,1.55801650933375e-32,2.9794069555413096e-31,52.3689197725837,28.275,24.093919772583703
PANX1,4.1916895,0.6361014,2.7688477208791143e-05,0.00011533421138638273,12.950094756790904,5.9125,7.037594756790904
ANO6,10.451104,0.6341896,1.4482935233675164e-25,2.076824052963194e-24,38.21857233101706,18.637500000000003,19.581072331017054
SLC12A2,7.432588,0.630609,1.0649318255312689e-13,8.180231938476989e-13,25.015792798483893,11.7875,13.228292798483894
MICA,4.308275,0.6265639,1.645327183076165e-05,6.993024113832889e-05,12.31838281743525,5.0874999999999995,7.23088281743525
