names,logfoldchanges,pvals_adj
CCNE1,0.7261727,8.309714030619116e-09
MYO5C,0.72592145,2.1368452816441654e-05
CDK2,0.7251142,1.299907309331427e-19
DDB2,0.7244196,1.2879848012550878e-26
EGR1,0.724223,3.6170728389221404e-19
WDR34,0.72411054,1.5026711297110258e-35
FIGNL1,0.7192459,6.68958021525895e-09
CENPL,0.7164989,1.5789762636025105e-07
RBBP8,0.7135791,5.219393976107598e-25
BRCA1,0.712429,1.5295071150573388e-31
TUBG1,0.7122374,2.8000847158413195e-17
ALDH7A1,0.71205986,7.293036457793954e-06
SAC3D1,0.71156263,8.767857619898724e-29
DSN1,0.7102419,9.558198212798066e-20
TM4SF1,0.7081709,0.000482616473420174
RBL1,0.7080803,1.3826644148669652e-18
PIGU,0.70615417,4.575058376548656e-06
YEATS4,0.7040091,3.8806687786013606e-25
LRRC26,0.7015284,0.013161050067347763
KIT,0.6990726,6.276050009456108e-23
BLM,0.6979602,1.7198466571959675e-17
TPX2,0.6972698,3.523421307002377e-35
NTAN1,0.6958783,1.1509086993853132e-12
UHRF1,0.69507104,1.2040916484330106e-35
CHAF1A,0.694404,2.4606256972509804e-29
ZNF83,0.69375414,3.982714200600171e-11
PCNT,0.6934793,5.104502456840115e-21
POGLUT3,0.69340694,1.5178117501654335e-12
KCNK17,0.69218266,0.002733875311077102
APP,0.6921139,5.379081547916654e-07
COCH,0.6911564,0.0017821746499851524
LDLRAD4,0.6907308,1.0964891356108463e-05
DCLRE1B,0.68963575,0.000457058245022297
PRC1,0.6893009,8.051655242308721e-30
UBR7,0.68911904,1.985906113245297e-15
AMOTL1,0.688585,0.00489299882950969
GALNT14,0.68786544,0.0007600527112223944
CTCF,0.6877697,1.3876397697924962e-27
CCDC15,0.6861306,0.0004459370094820213
DTL,0.68598264,1.7586833464437933e-23
GUCY1B1,0.68569386,1.1864082807771069e-09
RAD54B,0.68551576,0.00022665408961344507
SHMT1,0.6837084,4.122757306010602e-13
TSPAN5,0.6830938,0.047472501753690166
RBM15,0.67887324,9.344159494262705e-10
RBBP5,0.678175,1.5125909901113873e-07
DNMT1,0.67753106,7.3411196687445e-47
ARHGAP19,0.6766838,1.3023365949882984e-10
MPHOSPH9,0.6753103,2.665937292165206e-19
CTNNAL1,0.6750182,1.8352916021409555e-15
SLF2,0.67413646,1.6377838330662371e-09
PRKD3,0.67340696,3.485003331582856e-06
RBPMS,0.6726676,0.0032182918699761244
SLC25A25,0.6722242,0.00015203151393625036
RFC4,0.6690359,1.9704750990362242e-23
SYNE1,0.668945,0.00011314736130238347
HMGXB4,0.6663425,9.01109068536927e-17
POLE2,0.6656439,4.4421523615269e-08
WT1,0.66516155,9.206644886169877e-05
ZNF718,0.66419405,4.618806507192944e-05
INPP4B,0.66416633,0.03315248388434896
NUP155,0.6635909,3.320798427539251e-11
SP2,0.663273,1.3157395746631093e-05
KATNAL1,0.6632096,9.41125484516195e-05
AC097376.3,0.6630308,0.03229619142823207
IER2,0.6603933,1.992614283472974e-30
TCEAL9,0.6603519,0.010801796166605367
MDK,0.6592518,3.993559015103796e-11
HAUS5,0.65863174,1.7178315560133905e-13
SP1,0.65828574,1.3097982669329057e-15
C2CD3,0.6578653,2.4547651542484607e-05
LMF2,0.65775734,1.8166445087243274e-20
SAE1,0.65515447,1.4104790343211616e-28
NRF1,0.6539868,5.4429053463267434e-05
SKP2,0.6534788,7.683453990662241e-14
SUZ12,0.6522504,3.8761594180796537e-36
SLC1A4,0.6515491,1.7436355924640896e-11
PLCB1,0.65096307,6.326821471570668e-16
RIBC2,0.65083706,0.03746416522879447
PRIM1,0.6507611,2.474309939867937e-21
TNF,0.6497391,0.032508092716571894
KIAA1841,0.6495164,1.87180651144357e-05
INTS7,0.64914834,2.4453702825513992e-05
SELL,0.6491315,8.970499734749624e-21
MSH2,0.64884263,6.787797720078584e-21
CHAF1B,0.6483816,1.805528579653247e-10
IDH2,0.6479315,8.340483349564327e-61
AKT3,0.6476972,0.03161681716820336
DNAJC9,0.64728963,2.9351023762479365e-33
CASP8AP2,0.64708877,1.4061683636887e-20
MAST4,0.64626396,8.706596581592483e-10
TUBB4B,0.643157,9.227073181225172e-35
ALMS1,0.6423187,3.0347604075122383e-07
FAM76B,0.64129484,1.719222987359872e-11
GGH,0.64101905,5.620039859012033e-23
LRR1,0.6408028,3.0915315941100834e-12
HMGN2,0.6401101,1.954457443363414e-97
KLF2,0.63980895,4.625029446335952e-09
ARL6IP6,0.6394075,2.2456875972352184e-24
NR2C2,0.6392724,4.185080307724442e-09
ZBTB8A,0.6391071,0.00042555669158326353
CRIM1,0.6374507,0.01893626884295329
SECISBP2,0.6373753,6.970056811797421e-16
S100PBP,0.63719845,5.393500579304588e-14
LRRC57,0.637042,2.879899176630006e-05
USP1,0.63688415,3.440152820317017e-30
STK32B,0.63676393,0.008949185771443071
ABHD3,0.6360172,1.865298535942777e-12
CEP78,0.6353092,4.1591475845921186e-14
CHEK2,0.6352744,1.2605396618526456e-11
HAT1,0.6347917,3.4936982895949856e-24
WT1-AS,0.6342805,0.02225012554996206
CENPH,0.6340854,3.0118246135770035e-23
ANP32E,0.6333281,1.7073494538679915e-31
CD109,0.63260597,0.0037277670480518263
HAUS2,0.632526,5.052569276508108e-11
EIF4A3,0.6323924,2.284850370646529e-27
RASSF5,0.6310028,1.2021825772374602e-05
SCMH1,0.6291004,2.353159497568512e-16
MMRN1,0.6288481,2.3831041952279178e-05
GGA3,0.62878525,2.1674888539171607e-08
CD96,0.6279965,5.854582097778041e-17
PKNOX1,0.6279906,9.627410441930852e-06
TMPO-AS1,0.62716395,6.913162536333418e-17
ZDHHC13,0.62624824,0.001672152743387311
