names,scores,logfoldchanges,pvals,pvals_adj
NRM,12.3641815,0.7289798,4.0834987656768105e-35,1.0339570115388708e-32
MND1,12.359386,0.92043567,4.3345003524667294e-35,1.0874426297115153e-32
CKAP2L,12.347344,0.97146153,5.034594235926222e-35,1.2516001270512588e-32
CENPF,12.312652,0.6194997,7.743696904697859e-35,1.9077399599627714e-32
RAD54L,12.184609,1.0804319,3.7544646692761067e-34,9.166927754109323e-32
BRCA1,12.142075,0.712429,6.320277334947681e-34,1.5295071150573388e-31
ANP32E,12.132351,0.6333281,7.117598103596542e-34,1.7073494538679915e-31
FANCG,12.130873,0.9074164,7.247304124538717e-34,1.7233459007794414e-31
TIMELESS,12.114024,0.7759794,8.90169728349449e-34,2.098498395814141e-31
GMNN,12.074671,0.74908346,1.4373797272894239e-33,3.3595372668766314e-31
E2F2,12.051617,1.7848691,1.901824234065994e-33,4.407397076675311e-31
HIST1H3H,12.0464525,1.6344883,2.0247786831451447e-33,4.652907383973708e-31
NDC80,12.041031,0.9793508,2.162368817629782e-33,4.927678140575335e-31
KNL1,11.954908,0.8541637,6.120134398923719e-33,1.3831503741567606e-30
IER2,11.923856,0.6603933,8.889744115545337e-33,1.992614283472974e-30
FBXO5,11.914053,1.3655638,9.999533783536569e-33,2.2231483808503335e-30
USP1,11.876929,0.63688415,1.5599317988711697e-32,3.440152820317017e-30
CDKN2D,11.805336,0.9509713,3.6632565714216456e-32,8.014033136167706e-30
PRC1,11.804272,0.6893009,3.709897464093099e-32,8.051655242308721e-30
PPP1R15A,11.783615,0.60445046,4.7415204268386364e-32,1.020957618837239e-29
KIF22,11.738212,0.60703653,8.118463552342283e-32,1.7344336273621256e-29
CHAF1A,11.707932,0.694404,1.160757386620992e-31,2.4606256972509804e-29
CDK1,11.687701,0.72792476,1.4732030741558704e-31,3.098939328143572e-29
HIST1H2AB,11.6384115,2.0229752,2.628662165511561e-31,5.487282105196882e-29
LMNB1,11.624621,0.58139455,3.0896000993054234e-31,6.400621539061069e-29
HIST1H3G,11.6191435,1.5926768,3.2942208422846654e-31,6.773215274670411e-29
SUMO2,11.596179,0.3842757,4.308908863407536e-31,8.767857619898724e-29
SAC3D1,11.5956745,0.71156263,4.334356114633856e-31,8.767857619898724e-29
AC011603.2,11.59516,0.8249608,4.360523061165166e-31,8.767857619898724e-29
SAE1,11.553756,0.65515447,7.066321498646937e-31,1.4104790343211616e-28
HIST2H2AB,11.5530615,2.0794437,7.123673821689999e-31,1.4116230748401065e-28
HIRIP3,11.486834,0.72694856,1.5364003066041968e-30,3.0226189053524003e-28
NCAPD3,11.377097,0.7848804,5.437992522661827e-30,1.0546620108135482e-27
CTCF,11.352519,0.6877697,7.205618639308655e-30,1.3876397697924962e-27
