SampleID,lineage,frac
AML4363,T,0.0021651716671821837
AML4363,AML-B,0.0018558614290133002
AML4363,Erythrocytes,0.0018558614290133002
AML4363,B,0.001546551190844417
AML4363,AML-Ery,0.0009279307145066501
AML4363,PlasmaB,0.0009279307145066501
AML647,AML,0.6740425531914893
AML647,AML-Mono,0.14170212765957446
AML647,AML-Ery,0.12468085106382978
AML647,AML-T,0.023404255319148935
AML647,Myeloid_Pro,0.013191489361702127
AML647,Monocyte,0.011063829787234043
AML647,Erythrocytes,0.005531914893617021
AML647,AML-B,0.003404255319148936
AML647,B,0.001276595744680851
AML647,AML-NK,0.000851063829787234
AML647,PlasmaB,0.000425531914893617
AML647,T,0.000425531914893617
AML882,AML,0.9404052443384983
AML882,T,0.016388557806912993
AML882,Monocyte,0.014302741358760428
AML882,AML-T,0.009237187127532777
AML882,AML-Mono,0.004469606674612634
AML882,B,0.003575685339690107
AML882,Myeloid_Pro,0.003575685339690107
AML882,AML-B,0.0029797377830750892
AML882,AML-NK,0.0026817640047675805
AML882,AML-Ery,0.0014898688915375446
AML882,PlasmaB,0.0008939213349225268
AML948,AML,0.9552433845148645
AML948,AML-T,0.013394315583142764
AML948,AML-Ery,0.008820646847435479
AML948,AML-B,0.006207121855602744
AML948,Monocyte,0.005880431231623653
AML948,AML-Mono,0.005227049983665469
AML948,AML-NK,0.0019601437438745506
AML948,Erythrocytes,0.0009800718719372753
AML948,PlasmaB,0.0009800718719372753
AML948,T,0.0009800718719372753
AML948,Myeloid_Pro,0.0003266906239790918
