"subtype","n","LS","mean_pct","pval","fdr","neglog10fdr"
"NPM1-mut",113,"LS_9",0.867393589269875,0.20545669877009,0.534604133207533,0.271967687887216
"NPM1-mut",113,"LS_10",0.414231617903279,6.92138029318066e-08,1.69573817182926e-06,5.77064120355806
"NPM1-mut",113,"LS_11",3.0621001215936,1.02905023514648e-06,2.01693846088711e-05,4.69530735240938
"NPM1-mut",113,"LS_12",0.238329860957343,0.975949008434255,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_13",1.5383720570656,0.0710664367260219,0.25812273523787,0.588173741471237
"NPM1-mut",113,"LS_14",3.36768280520546,1.00541080411721e-07,2.18956130674414e-06,5.659642890249
"NPM1-mut",113,"LS_15",0.510667897258719,0.999999771488595,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_16",0.0817672290940536,0.999774530040142,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_17",0.452878331632018,0.999999967035852,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_18",1.07798125031201,0.830275690342729,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_19",1.90320295930864,0.00778479439351964,0.0476818656603078,1.32164676018633
"NPM1-mut",113,"LS_20",2.11441420389904,0.0139521865995077,0.0719639098290399,1.14288524928633
"NPM1-mut",113,"LS_21",6.79124674297169,0.824977405401291,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_22",2.91446094365963,0.0270095614227453,0.120315319064956,0.919679072894428
"NPM1-mut",113,"LS_23",0.220672107159471,0.999981605725259,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_24",3.78559641016388,2.44792493142582e-05,0.000342709490399614,3.46507386880878
"NPM1-mut",113,"LS_25",0.14852315030278,0.996233282685386,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_26",1.97060119685748,0.667061571725243,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_27",0.4555693508321,0.942920630675681,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_28",1.60365490275878,0.623313057907746,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_29",2.47160861013673,0.261975634302319,0.649964864851324,0.187110119378085
"NPM1-mut",113,"LS_30",3.4158933329959,0.110625116074045,0.323619742544968,0.489964991952224
"NPM1-mut",113,"LS_31",0.643834954896104,0.991709446727394,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_32",1.25876074774111,4.3980462200157e-05,0.000470690029439443,3.32726500119477
"NPM1-mut",113,"LS_33",1.96786006956529,0.524430254493334,0.997944950297996,0.000893415066548759
"NPM1-mut",113,"LS_34",0.920033070292873,0.210858047612772,0.536729575741601,0.27024447285629
"NPM1-mut",113,"LS_35",0.987172834673473,0.992224732570593,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_36",3.1562399548735,0.000503910443683688,0.00448938395281831,2.34781325014311
"NPM1-mut",113,"LS_37",1.08622126371758,0.973923118736694,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_38",0.820269549395645,0.0343653733179164,0.140325274381492,0.85286409992068
"NPM1-mut",113,"LS_39",0.98225048975609,0.99999996435706,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_40",1.81480965492078,0.999997423401578,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_41",1.68145015629327,1.64864855171112e-05,0.000248565473950292,3.60455919554231
"NPM1-mut",113,"LS_42",1.21107063744561,0.997640088781031,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_43",4.62552324129359,4.17588342102729e-15,2.04618287630337e-13,12.689055554094
"NPM1-mut",113,"LS_44",0.373807626717447,0.06110344585275,0.234828929159588,0.629248402311722
"NPM1-mut",113,"LS_45",2.13680827219797,0.989939386567811,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_46",0.973457625639202,0.0722119978056369,0.25812273523787,0.588173741471237
"NPM1-mut",113,"LS_47",0.967263876325311,0.781823836537441,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_48",1.08287807494536,0.905835971061905,0.999999989059467,4.75141310398859e-09
"NPM1-mut",113,"LS_49",2.65607300579834,0.171696573439228,0.467396227695677,0.330314797073366
"CEBPA-mut",80,"LS_1",3.6941119969756,0.934210951798462,0.999999989059467,4.75141310398859e-09
"CEBPA-mut",80,"LS_2",1.6174029189144,0.177277543020587,0.475717848926001,0.322650553552462
