sample,HSC_program,CellCycle_program
TARGET.20.PATESX.09A,0.3573243407953769,1.612556464235342
TARGET.20.PAYHTI.Sorted.non.leukemic.09A,-0.7376920351100982,0.6342516213032692
TARGET.20.PARUWX.09A,0.41413669201448505,-1.2257416426768235
TARGET.21.PAMYMA.09A,0.3061120727493279,0.4712836294107901
TARGET.20.PAWMIX.09A,0.9327040180720394,0.7836426706417184
TARGET.20.PARXBT.09A,0.23752513303527686,0.25095188761082743
TARGET.20.PAYETG.09A,0.005395647717950314,-0.2541506398664313
TARGET.20.PATGHV.09A,0.7545593674735043,0.12751752752275833
TARGET.20.PAXDNI.09A,0.8847699536122379,0.14728728787922934
TARGET.20.PAWFBA.09A,-0.46972043862620066,0.27836581306086733
TARGET.20.PAETAY.09A,1.7154607036767326,-1.382984170321711
TARGET.20.PARDDA.09A,-0.5141515924312181,-0.28947557681791003
TARGET.20.PABLDZ.09A,-0.05318516484367839,0.4372632915997495
TARGET.20.PARENB.09A,0.12467447219228145,-0.6471978988636078
TARGET.20.PARXZP.09A,0.2994954852562151,1.0140882192330203
TARGET.20.PAVLZE.09A,0.03926779217633837,0.550979032868175
TARGET.20.PAUSMT.09A,0.2727641854461796,0.714448420655564
TARGET.20.PAXJNP.09A,-0.192765784756829,-0.2958416925584417
TARGET.20.PAULIY.09A,-0.13288178714215335,0.2604460792679412
TARGET.20.PAUVSU.09A,-0.5960189002902652,-0.3131666928456578
TARGET.20.PABYKP.09A,0.22658492056220864,-2.2270725003902623
TARGET.20.PARPVZ.09A,0.28906157329797233,-0.6054017959846674
TARGET.20.PANVBP.09A,0.1511994130508248,-0.4201779950660643
TARGET.20.PAWRNZ.09A,0.3528495817233636,-0.1918093245239285
TARGET.20.PANDIX.09A,-0.22329397999394426,0.6916544642253838
TARGET.20.PATDIC.09A,-0.2066277849746226,-1.050722621422526
TARGET.20.PARBIU.09A,-0.5007201828687988,0.7239586639148927
TARGET.20.PAWEAD.09A,0.557506881148534,-0.22608076015957845
TARGET.20.PAEAFC.09A,0.11655714953194914,0.13275295705357018
TARGET.20.PAWVNC.09A,-0.300406758427087,-0.32673100391488163
TARGET.20.PAUWEW.09A,0.03825549881928479,0.1143034715257758
TARGET.20.PAWYEK.09A,-0.11922683888518751,-0.3149655297121912
TARGET.20.PAWDVC.09A,0.09390265901390552,-1.7854674568795856
TARGET.20.PAXMPW.09A,-0.2764122069566516,0.23469835749116447
TARGET.20.PAUVWF.09A,-0.3596030832386323,-0.28852744754408455
TARGET.20.PAWTRR.09A,-0.365483267671304,-0.6302889594393428
TARGET.20.PANJGR.09A,0.3108055779367066,-1.047002733817473
TARGET.20.PAVMGM.09A,-0.18268652036492086,0.7188936368638148
TARGET.20.PAWHXI.09A,-0.2105234270861939,-1.5043042096455588
TARGET.20.PAXGPE.09A,0.19621259860699722,-0.9935245277293782
TARGET.20.PAWYVR.09A,0.17218009745510385,-0.002872023895080653
TARGET.20.PALBCI.09A,-0.07080812818011757,-0.45136442330812787
TARGET.20.PAXMAD.09A,-0.08481881105938135,-0.031226233018145075
TARGET.20.PAYKSD.Sorted.CD34neg.Lymphoid.09A,-0.5396836513687642,-2.380011445600136
TARGET.20.PARDLW.09A,-0.19149103922702096,-0.14603664483213685
TARGET.20.PANKFG.09A,0.24405399914753562,-0.2320774672182588
TARGET.20.PAEREM.09A,-0.5354062829104734,1.1037707112293258
TARGET.20.PANTNA.09A,0.08866628600731057,0.8431161270376691
TARGET.20.PAWZHY.09A,0.06626821382054582,0.39999707296739023
TARGET.20.PAWDTX.09A,0.4946358755907217,0.6062301610350118
TARGET.20.PAWGAZ.09A,0.25280177061981524,-0.1024509758849016
TARGET.20.PAWZZS.09A,0.9360840493459343,-0.06740775342049665
TARGET.20.PAVNYE.09A,-0.39118549550566034,1.0344189151526497
TARGET.20.PAPUSR.09A,0.0811471352750844,0.25657603947801877
TARGET.20.PAXAKF.09A,0.10643475523531117,0.07883900700100543
TARGET.20.PAVUAP.09A,0.01333290351807973,-0.6690054910840381
TARGET.20.PAXKAL.09A,-0.6836063539890146,1.660750449549533
TARGET.20.PARWDZ.09A,-0.10769938607922369,0.0624721399897923
TARGET.20.PAVGEV.09A,0.2871543830837263,1.7943384618518163
TARGET.20.PAWVNP.09A,-0.3225129571548411,0.553571133581195
TARGET.20.PAWLER.09A,0.3767189983147204,-0.9226525711531826
TARGET.20.PASCFW.09A,0.5846142770241107,0.9637231892767603
TARGET.20.PAVDBD.09A,-0.6760126309930214,-0.7659297580699722
TARGET.20.PALATT.09A,-0.044560610513579145,-1.0550194245297013
TARGET.20.PAXMRA.09A,0.4152615083023001,0.13519920203964594
TARGET.20.PADZCG.09A,0.3960168518858916,0.38312422813013114
TARGET.20.PAWDPD.09A,-0.4507256222798057,1.0336318665879625
TARGET.20.PAXLDX.09A,-0.23142736619967064,0.6870672738831115
TARGET.20.PALRKH.09A,-0.2104288791021433,0.1186422473363184
TARGET.20.PAUSZL.09A,0.04501826698120169,1.4564182526756375
TARGET.20.PAWGEM.09A,0.14894979543926143,0.8927198474115338
TARGET.20.PAVPJM.09A,-0.16185349799806126,-0.42891564543521576
TARGET.20.PASZUT.09A,-0.3501861376739384,-0.31921473806609396
TARGET.20.PADYMH.09A,0.15818235813389353,0.9208091976746127
TARGET.20.PATILU.09A,-0.006008402199400298,-0.0531851282882097
TARGET.20.PAVKEX.09A,0.4051262893805972,-1.5072016801992316
TARGET.20.PAVKZH.09A,-0.028477712035869462,-0.3393191854334495
TARGET.20.PAVLPL.09A,-0.14130951142312265,-0.5161072910766566
TARGET.20.PARYEB.09A,0.14776319871107468,-0.06091833578744407
TARGET.20.PASNDA.09A,-0.00359722513445031,0.31973929716855226
TARGET.20.PAWXSL.09A,-0.029451570636636594,-1.1921170236268608
TARGET.20.PAWVCG.09A,0.10724282037556354,-0.14937490867731984
TARGET.20.PAVTWM.09A,0.16855410598263512,0.07247406333616996
TARGET.20.PAUUZT.09A,0.20391988094367589,-0.19640528408721755
TARGET.20.PARVSF.09A,-0.0363345358598183,0.8861893801406647
TARGET.20.PAVHWT.09A,0.8134314931388984,-1.1374113542223023
TARGET.20.PARUUB.09A,-0.33118008838533897,0.6636301704949658
TARGET.20.PAWKLE.09A,-0.2217891171309625,2.1675385344210762
TARGET.20.PAURPD.09A,-0.6087222229901925,-0.20089798527500458
TARGET.20.PAUUCG.09A,0.16433452158613035,0.28394081486998035
TARGET.20.PARUNX.09A,0.6613217805805133,-0.027987016622018118
TARGET.20.PARZVA.09A,0.0891874753702616,-1.1842657477789815
TARGET.20.PASMTB.09A,0.028890682504671795,-1.3109250534860872
TARGET.20.PASDGX.09A,0.26091662720175507,0.34538692663134296
TARGET.20.PAVDZK.09A,-0.1562553079619074,0.8498832092085082
TARGET.20.PATKPC.09A,-0.3010923402496322,0.960317498175691
TARGET.20.PASPTW.09A,-0.1559779736109585,-0.8669738822139309
TARGET.20.PATMIK.09A,-0.006296668261842897,-0.7725962802145467
TARGET.20.PANUTB.09A,0.26942681032530225,-0.5348917369162095
TARGET.20.PAXKWG.09A,-0.2206148202718492,-0.33003927638421326
