"LS","HR","p","det","fdr","dir","lineage_program","stem_z","n_patients","top_cyto"
"LS_17",0.889,0.213563306736247,62,0.436025084586505,"favorable","unresolved",0.2648616,4,"RUNX1/RUNX1T1(49%)"
"LS_26",1.11,0.227802235313205,88.5,0.446492381213882,"poor","GMP",-0.70042497,6,"MLLr(38%)"
"LS_29",0.9,0.241109191529675,86.9,0.454398091729003,"favorable","Monocyte",-0.76430887,6,"NUP98/NSD1(29%)"
"LS_46",0.906,0.281005504755604,67.4,0.5000928492748,"favorable","GMP",0.42196244,1,"NUP98/NSD1(83%)"
"LS_12",1.079,0.285767342442743,22.4,0.5000928492748,"poor","GMP",-0.39984334,5,"PML/RARA(50%)"
"LS_23",1.071,0.388374924720859,55,0.656219700390417,"poor","T/NK",-0.20325062,1,"t(7;14)(q21;q32)(93%)"
"LS_48",1.067,0.422899183455518,47.9,0.690735332977346,"poor","unresolved",-0.11404655,1,"MLLr(85%)"
"LS_6",0.934,0.462079921866676,77.6,0.730384392627972,"favorable","unresolved",0.75843126,4,"CN(70%)"
"LS_5",1.06,0.500156682938705,83.7,0.765864920749892,"poor","HSC/MPP",0.7344972,5,"MLLr(38%)"
"LS_35",1.049,0.581988642143676,91.1,0.810789079333514,"poor","Neutrophil",-1.6492895,1,"t(7;14)(q21;q32)(83%)"
"LS_31",1.044,0.587342045371825,33.2,0.810789079333514,"poor","unresolved",0.07416936,4,"CBFB/MYH11(75%)"
"LS_28",0.955,0.591641135201948,85.6,0.810789079333514,"favorable","unresolved",0.08084918,2,"RUNX1/RUNX1T1(81%)"
"LS_4",1.043,0.595681772571561,40.3,0.810789079333514,"poor","GMP",0.12439535,9,"PML/RARA(31%)"
"LS_32",1.04,0.621777934665218,33.5,0.823435643205289,"poor","GMP",-0.005877316,4,"Tri(8)/MLLr(47%)"
"LS_11",0.961,0.662044444434584,91.7,0.853688888876174,"favorable","Macrophage",0.62838227,6,"CN(21%)"
"LS_1",1.036,0.684419495969635,90.1,0.859911674423388,"poor","Erythroid",0.9609364,7,"BCR/ABL(16%)"
"LS_14",0.968,0.707322861899666,93.9,0.86647050582709,"favorable","Megakaryocyte",0.67502606,6,"CN(30%)"
"LS_21",0.971,0.740163060611247,85,0.88458512121832,"favorable","Macrophage",-0.013441756,5,"MLLr(52%)"
"LS_13",1.019,0.82063460920388,88.2,0.946769450264964,"poor","Erythroid",-0.30712563,1,"MYB/GATA1(94%)"
"LS_18",0.982,0.839088614428553,50.5,0.946769450264964,"favorable","cDC",-0.91608655,6,"CBFB/MYH11(44%)"
"LS_40",1.012,0.892865721181555,91.7,0.946769450264964,"poor","B/plasma",-0.22650203,6,"CBFB/MYH11(55%)"
"LS_19",0.99,0.904232779490987,63.3,0.946769450264964,"favorable","pDC",0.19634369,3,"CN(80%)"
"LS_37",0.989,0.904794689840376,83.7,0.946769450264964,"favorable","B/plasma",0.37133163,2,"del7q(74%)"
"LS_8",0.991,0.919961870541489,78.6,0.946769450264964,"favorable","B/plasma",0.2539215,4,"RUNX1/RUNX1T1(56%)"
"LS_41",1.008,0.927447624749353,65.5,0.946769450264964,"poor","unresolved",-0.07061274,1,"MLLr(77%)"
"LS_42",0.998,0.98032815666369,83.4,0.98032815666369,"favorable","unresolved",0.25700527,5,"MYB/GATA1(44%)"
