sample,LS_1,LS_2,LS_3,LS_4,LS_5,LS_6,LS_7,LS_8,LS_9,LS_10,LS_11,LS_12,LS_13,LS_14,LS_15,LS_16,LS_17,LS_18,LS_19,LS_20,LS_21,LS_22,LS_23,LS_24,LS_25,LS_26,LS_27,LS_28,LS_29,LS_30
TARGET.20.PAVBVA.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49789251520354555,0.0,0.0,0.0,0.0,0.0,0.015575401385369793,0.335061652290452,0.0,0.0,0.0,0.0,0.0,0.0029311383876263887,0.0,0.0,0.0,0.14853929273300626,0.0,0.0,0.0,0.0
TARGET.20.PAYGWX.Sorted.leukemic.09A,0.0,0.013148615085987837,0.0,0.0,0.10529140424751783,0.0,0.0,0.187587069900321,0.19162943054055237,0.0,0.0,0.0,0.0,0.0,0.33302283028425267,0.061519988375741456,0.0,0.0,0.0,0.10780066156562677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARGET.20.PAVPED.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16557290633892668,0.3306144561963757,0.0,0.0,0.0,0.0,0.0,0.39355648986570363,0.110256147598994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARGET.20.PAUKDH.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042823789020258365,0.18543933594461487,0.0,0.0,0.0,0.0,0.0,0.10109871336930575,0.3713983511249385,0.0,0.0,0.0,0.0,0.03931773977249886,0.0003071586326527841,0.0,0.0,0.0,0.2596149121357308,0.0,0.0,0.0,0.0
TARGET.20.PAXLNX.09A,0.0,0.0,0.0,0.0,0.21712981981848603,0.0,0.0,0.09940550700473537,0.16567733053345673,0.0,0.0,0.0,0.0,0.0,0.4165962819957217,0.0,0.0,0.0,0.0,0.09661244347001212,0.0,0.004578617177588018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARGET.20.PAUFUB.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12448733581177071,0.15110002367701908,0.0,0.013620206069533363,0.0,0.0,0.0,0.0,0.4824750778724542,0.0,0.0,0.0041120621950307265,0.019493727142675193,0.0,0.003881742975203327,0.20082982425631332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARGET.20.PAUHDR.09A,0.0,0.0,0.0,0.27657019565188345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5157369137888478,0.0,0.0,0.03501308752528282,0.0,0.0,0.0,0.04296976809095217,0.0,0.12971003494303382,0.0,0.0,0.0,0.0,0.0
TARGET.20.PARZHT.09A,0.0,0.11609901654532014,0.0,0.0,0.0,0.0,0.0,0.008105503665700035,0.11829100314699396,0.0,0.0,0.0,0.2969798476520435,0.0,0.0,0.05542693023362923,0.020397018236496863,0.0,0.020884359566662014,0.0005171367206203249,0.13157913212473765,0.00030870857683023325,0.0,0.14870095796326743,0.0,0.08271038556769851,0.0,0.0,0.0,0.0
TARGET.20.PAUMUZ.09A,0.0,0.0,0.0,0.0,0.03166301052265441,0.0,0.0,0.1314648399327551,0.22957857347838287,0.0,0.0,0.0,0.0,0.0,0.17644785198004975,0.336452872537546,0.0,0.0,0.0,0.0,0.0,0.014692120079112006,0.0,0.0,0.0,0.07970073146949992,0.0,0.0,0.0,0.0
TARGET.20.PAXLXI.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09201967552131968,0.3054359693821117,0.0,0.0,0.0,0.0,0.0,0.0,0.4982779648524891,0.0,0.0,0.0011124059641464121,0.02084905036822946,0.0,0.0146200764043235,0.0,0.0,0.0,0.0676848575073801,0.0,0.0,0.0,0.0
