res,cluster,n_cells,mean_jaccard,sd_jaccard,top_patient_frac,top_patient,n_patients,top_cyto
3.5,13,985,0.5449988314627598,0.12470699470764751,0.3086294416243655,AML4116,24,NUP98/NSD1(31%)
3.5,14,2333,0.42309141498320146,0.07475111098916523,0.22203171881697387,AML1355,27,PML/RARA(32%)
3.5,15,1013,0.36404545157212304,0.13120893951795917,0.21816386969397827,AML3082,23,CBFB/MYH11(40%)
3.5,16,2169,0.7141030036282221,0.06604311400216724,0.1585984324573536,AML1355,30,PML/RARA(21%)
3.5,17,1806,0.6621762320180608,0.10540557329111414,0.4795127353266888,AML3210,28,MLLr(58%)
3.5,18,1443,0.9141686653699816,0.036360139888772625,0.35273735273735274,AML3082,24,CBFB/MYH11(68%)
3.5,19,2342,0.453319383798093,0.11913056472172506,0.230999146029035,AML1355,26,PML/RARA(42%)
3.5,20,1201,0.202602525620096,0.06143647248480326,0.15320566194837634,AML3121,27,CN(25%)
3.5,21,3,0.001678251374140994,0.0012707896697961047,0.6666666666666666,AML948,2,CN(67%)
3.5,22,1488,0.4633591099876842,0.12606159326175254,0.36760752688172044,AML4226,28,CN(69%)
3.5,23,1381,0.3202236596303397,0.09118048732701758,0.3620564808110065,AML4000,26,MLLr(38%)
3.5,24,1997,0.39054326034699677,0.0527164340838658,0.24136204306459688,AML3371,23,Tri(15)(24%)
3.5,25,1651,0.9267959104465631,0.02183943096273669,0.9430648092065415,AML4035,21,MYB/GATA1(94%)
3.5,26,1150,0.9668117411315255,0.006987276163504926,0.9382608695652174,AML4116,9,NUP98/NSD1(94%)
3.5,27,2698,0.7531089341236681,0.0648988413722214,0.35952557449962935,AML4271,22,CBFB/MYH11(94%)
3.5,28,592,0.23391069094671776,0.2162994097011516,0.2972972972972973,AML3082,15,CBFB/MYH11(88%)
3.5,29,1890,0.4750479780864573,0.12589073473633178,0.43862433862433864,AML4102,24,RUNX1/RUNX1T1(46%)
3.5,30,1107,0.7982648053873065,0.0961755048156818,0.44534778681120146,AML4232,28,RUNX1/RUNX1T1(63%)
3.5,31,2327,0.32006340565078106,0.04847087150800127,0.32015470562956594,AML4264,26,RUNX1/RUNX1T1(43%)
3.5,32,1134,0.5055338914998181,0.12312474320938617,0.607583774250441,AML3371,21,Tri(15)(61%)
3.5,33,2109,0.4306287898612925,0.10697313300461266,0.3352299668089142,AML948,25,CN(69%)
3.5,34,1216,0.29855213323863017,0.19212255243944315,0.2574013157894737,AML4239,23,CBFB/MYH11(62%)
3.5,35,1221,0.6712771557359616,0.13281588165483704,0.23095823095823095,AML4226,30,CN(33%)
3.5,36,605,0.6424842768276741,0.10923635368954138,0.7421487603305785,AML3210,22,MLLr(75%)
3.5,37,1331,0.4753013583653997,0.13838042823103738,0.4507888805409467,AML647,28,del7q(45%)
3.5,38,1125,0.2827162230071286,0.08580989304688874,0.37333333333333335,AML4090,22,CN(40%)
3.5,39,164,0.13338168266629094,0.08830353031059872,0.10365853658536585,AML4363,26,MLLr(20%)
3.5,40,927,0.9053196848716004,0.02686588553188159,0.8716289104638619,AML882,20,t(7;14)(q21;q32)(87%)
3.5,41,1147,0.9289721061014772,0.015009505757070286,0.9250217959895379,AML882,10,t(7;14)(q21;q32)(93%)
3.5,42,12,0.3046229589186156,0.33480907438850194,0.25,AML4192,8,MLLr(42%)
3.5,43,527,0.9805390738988367,0.01144188062295421,0.9753320683111955,AML4127,2,Tri(8)(98%)
3.5,44,180,0.4553262503203467,0.18595950875591136,0.9333333333333333,AML3210,7,MLLr(94%)
3.5,45,3183,0.7260929063652084,0.0479380516443497,0.15394282123782596,AML4363,30,BCR/ABL(15%)
3.5,46,2257,0.2895650671142672,0.09788697441574919,0.22153300841825432,AML4192,28,Tri(8)/MLLr(30%)
3.5,47,1068,0.8321899729584826,0.10564220147353617,0.11235955056179775,AML335,30,CN(25%)
3.5,48,1430,0.7995214011860996,0.05624630552519793,0.2125874125874126,AML4271,28,CBFB/MYH11(44%)
4.0,0,2189,0.4322534724876072,0.09642480236294913,0.2046596619460941,AML4304,29,MLLr(32%)
4.0,1,1963,0.21005059011859664,0.058757471349633654,0.10901681100356597,AML4192,29,MLLr(19%)
4.0,2,2724,0.580309443866332,0.12930128552461556,0.08920704845814978,AML335,30,CN(25%)
4.0,3,2026,0.7181522687431914,0.06281492429792254,0.15893385982230998,AML1355,29,PML/RARA(21%)
4.0,4,1466,0.8251557084224513,0.05385347920873314,0.20668485675306958,AML4239,28,CBFB/MYH11(44%)
4.0,5,2946,0.7399810361621225,0.043721586853767966,0.16055668703326545,AML4363,30,BCR/ABL(16%)
4.0,6,1085,0.8602261085628584,0.07248724209809287,0.11059907834101383,AML335,30,CN(25%)
4.0,7,1820,0.44883670162849515,0.06808084287578563,0.3516483516483517,AML4000,27,MLLr(37%)
4.0,8,1197,0.6631004643407176,0.12624341416360196,0.23642439431913115,AML4226,30,CN(33%)
4.0,9,966,0.22579424769580309,0.05335655698769186,0.3033126293995859,AML4192,23,MLLr(36%)
4.0,10,702,0.7532469459207164,0.17035255167086216,0.9287749287749287,AML4232,12,RUNX1/RUNX1T1(93%)
4.0,11,43,0.3050832099027555,0.3295734662215419,0.7906976744186046,0_HealthyBM1,5,0_HealthyBM1(79%)
4.0,12,885,0.17799699325170862,0.03542247539453128,0.20564971751412428,AML3121,25,CN(21%)
4.0,13,1232,0.2908477768258196,0.06830532916228083,0.26055194805194803,AML3492,22,PML/RARA(39%)
4.0,14,155,0.08932239292176467,0.03432733057759661,0.5161290322580645,AML1355,17,PML/RARA(62%)
4.0,15,510,0.34126336966041737,0.21799634232486062,0.46078431372549017,AML4035,25,MYB/GATA1(46%)
4.0,16,1054,0.8473804749808439,0.03657167023840587,0.7884250474383302,AML4264,18,RUNX1/RUNX1T1(80%)
4.0,17,1137,0.4000196442270788,0.21319540190293143,0.2805628847845207,AML3082,22,CBFB/MYH11(71%)
4.0,18,2367,0.34194142870004807,0.07029117050384102,0.24926066751161807,AML4304,30,MLLr(46%)
4.0,19,1506,0.6911176686767304,0.04840173949349752,0.6394422310756972,AML4363,26,BCR/ABL(64%)
4.0,20,995,0.6631815708865199,0.1165136466429008,0.6542713567839196,AML3210,23,MLLr(68%)
4.0,21,1442,0.592370856793244,0.13154345677484974,0.24549237170596394,AML4000,25,MLLr(25%)
4.0,22,2314,0.5845044075142163,0.10695392139710852,0.35177182368193605,AML948,25,CN(68%)
4.0,23,1958,0.26041299966231757,0.08206164312627705,0.22880490296220635,AML4192,28,Tri(8)/MLLr(30%)
4.0,24,1510,0.29794069534187795,0.10123958456298564,0.3039735099337748,AML4090,24,CN(45%)
4.0,25,832,0.46976209618456954,0.13378056215444575,0.7367788461538461,AML647,22,del7q(74%)
4.0,26,1162,0.59010896988488,0.09292949275089388,0.5938037865748709,AML3371,21,Tri(15)(59%)
4.0,27,324,0.08616776948996681,0.04431122356917338,0.4567901234567901,AML4000,21,MLLr(49%)
4.0,28,1517,0.40960829136858845,0.1065870953890752,0.42649967040210945,AML4102,21,RUNX1/RUNX1T1(45%)
4.0,29,1456,0.7048014868987568,0.0617940307611597,0.12843406593406592,AML4035,30,CBFB/MYH11(17%)
4.0,30,529,0.517629703397952,0.16055761657202822,0.06994328922495274,AML3492,29,CN(21%)
4.0,31,749,0.7448627820848154,0.044955516511155834,0.3604806408544726,AML4271,24,CBFB/MYH11(57%)
4.0,32,322,0.4119552163270287,0.16254629687909036,0.9037267080745341,AML3210,12,MLLr(91%)
4.0,33,2582,0.765314462777185,0.07595824405928636,0.36444616576297445,AML4271,22,CBFB/MYH11(94%)
4.0,34,1825,0.39748080428898835,0.1138064599011188,0.286027397260274,AML1355,24,PML/RARA(50%)
4.0,35,627,0.39993953232835516,0.21183484947042971,0.2822966507177033,AML3082,16,CBFB/MYH11(89%)
4.0,36,1116,0.8185384541229357,0.08076183659518457,0.44175627240143367,AML4232,27,RUNX1/RUNX1T1(63%)
4.0,37,693,0.24830868145871685,0.10317802740621132,0.29004329004329005,AML3121,26,CN(38%)
4.0,38,1046,0.45746571528820645,0.16313799711317944,0.2045889101338432,AML3082,23,CBFB/MYH11(37%)
4.0,39,1723,0.4069066111190992,0.11469690342044753,0.412071967498549,AML4264,23,RUNX1/RUNX1T1(56%)
4.0,40,1448,0.4450953189575005,0.08544991608405228,0.4979281767955801,AML3371,22,Tri(15)(50%)
4.0,41,1153,0.9732729949515511,0.007624950002871237,0.9375542064180399,AML4116,8,NUP98/NSD1(94%)
4.0,42,1665,0.5724777090166425,0.11761248914019391,0.07147147147147147,AML4271,30,CN(22%)
4.0,43,1433,0.8991363948232787,0.045848110465906915,0.3524075366364271,AML3082,24,CBFB/MYH11(68%)
4.0,44,1663,0.914364555565729,0.02330495288208066,0.9386650631389056,AML4035,24,MYB/GATA1(94%)
4.0,45,2041,0.41158708824094264,0.08018972234034148,0.21019108280254778,AML1355,27,CN(30%)
4.0,46,1378,0.44365324587966537,0.12055151721845041,0.37808417997097243,AML4226,29,CN(71%)
4.0,47,606,0.6549551994298188,0.11946952990233421,0.7656765676567657,AML3210,24,MLLr(77%)
4.0,48,923,0.8793474926072078,0.06727518526562679,0.8678223185265439,AML882,19,t(7;14)(q21;q32)(87%)
