subtype,n,PAC,mean_pct,pval,fdr,neglog10fdr
NUP98-r,27,FPAC_1,3.838842740523378,0.9740846329634703,0.9999999999999976,1.060760213208617e-15
NUP98-r,27,FPAC_2,2.888899382432899,0.932914142274328,0.9999999999999976,1.060760213208617e-15
NUP98-r,27,PPAC_1,2.820398429874849,0.18023998329425456,0.5337876428329846,0.27263148433563206
NUP98-r,27,PPAC_2,7.602606416976212,0.09066501944941496,0.3023603031066342,0.5194752279638777
NUP98-r,27,PPAC_3,2.146244683828349,0.7748086796850104,0.9999999999999976,1.060760213208617e-15
NUP98-r,27,PPAC_4,4.153237469867155,0.012086249502565862,0.052117827048543945,1.2830136996459345
NUP98-r,27,PPAC_5,0.7461028671246362,0.9140499916413427,0.9999999999999976,1.060760213208617e-15
CBFA2T3-GLIS2,9,FPAC_1,3.1487614751680133,0.8891208119974343,0.9999999999999976,1.060760213208617e-15
CBFA2T3-GLIS2,9,FPAC_2,0.7674439099447344,0.9935622227942392,0.9999999999999976,1.060760213208617e-15
CBFA2T3-GLIS2,9,PPAC_1,0.3020122694333344,0.9193775567947617,0.9999999999999976,1.060760213208617e-15
CBFA2T3-GLIS2,9,PPAC_2,4.644904693066616,0.6708166582547556,0.9999999999999976,1.060760213208617e-15
CBFA2T3-GLIS2,9,PPAC_3,2.0329309745910122,0.5490448736251102,0.9999999999999976,1.060760213208617e-15
CBFA2T3-GLIS2,9,PPAC_4,5.744248380897235,0.038710569448326224,0.13548699306914178,0.8681023956341328
CBFA2T3-GLIS2,9,PPAC_5,0.5374124299034223,0.896172740116876,0.9999999999999976,1.060760213208617e-15
t(6;9),19,FPAC_1,6.159683855489149,0.6653022147379057,0.9999999999999976,1.060760213208617e-15
t(6;9),19,FPAC_2,2.8858835893268586,0.8417710434734006,0.9999999999999976,1.060760213208617e-15
t(6;9),19,PPAC_1,1.9950362196740203,0.3166721819785346,0.8708485004409701,0.06005739165744198
t(6;9),19,PPAC_2,4.9179463644398025,0.1743704615415858,0.5337876428329846,0.27263148433563206
t(6;9),19,PPAC_3,0.8868484402510541,0.9880315903253627,0.9999999999999976,1.060760213208617e-15
t(6;9),19,PPAC_4,0.9145648548807558,0.9914324544586203,0.9999999999999976,1.060760213208617e-15
t(6;9),19,PPAC_5,3.785993493830111,0.0003628136962836894,0.002539695873985826,2.5952182865917477
mono7/del7q,47,FPAC_1,4.178702433186855,0.9969303054590093,0.9999999999999976,1.060760213208617e-15
mono7/del7q,47,FPAC_2,2.0685530232339064,0.9973949510591101,0.9999999999999976,1.060760213208617e-15
mono7/del7q,47,PPAC_1,3.548577939041669,8.40136898737608e-05,0.0007187837911421757,3.1434017249644013
mono7/del7q,47,PPAC_2,7.129599281904074,0.0008218839119191765,0.004520361515555471,2.344826831132756
mono7/del7q,47,PPAC_3,1.559078430454951,0.9883792909610403,0.9999999999999976,1.060760213208617e-15
mono7/del7q,47,PPAC_4,1.675263490604055,0.9632735827772916,0.9999999999999976,1.060760213208617e-15
mono7/del7q,47,PPAC_5,1.065063900332163,0.960851031763984,0.9999999999999976,1.060760213208617e-15
complex(>=3),78,FPAC_1,3.977019707555842,0.9999792229132649,0.9999999999999976,1.060760213208617e-15
complex(>=3),78,FPAC_2,1.7848477735131096,0.9999998289474773,0.9999999999999976,1.060760213208617e-15
complex(>=3),78,PPAC_1,2.3054315459346078,0.012183388141218065,0.052117827048543945,1.2830136996459345
complex(>=3),78,PPAC_2,5.74939065935895,0.006019087506805952,0.030897982534937217,1.5100698766446865
complex(>=3),78,PPAC_3,2.7677751575347553,0.7886384717036767,0.9999999999999976,1.060760213208617e-15
complex(>=3),78,PPAC_4,4.190130455317944,0.00011945479377670167,0.0009198019120806028,3.0363056919513793
complex(>=3),78,PPAC_5,1.0517300712123554,0.9701282819945194,0.9999999999999976,1.060760213208617e-15
