bin,x,y,n_cells
223,-27.3788,-11.0399,3
224,-27.3788,-10.4398,6
225,-27.3788,-9.8396,12
226,-27.3788,-9.2395,4
227,-27.3788,-8.6394,5
228,-27.3788,-8.0393,24
229,-27.3788,-7.4391,13
230,-27.3788,-6.8390,17
231,-27.3788,-6.2389,4
232,-27.3788,-5.6387,6
233,-27.3788,-5.0386,6
234,-27.3788,-4.4385,14
235,-27.3788,-3.8383,11
236,-27.3788,-3.2382,16
237,-27.3788,-2.6381,39
238,-27.3788,-2.0379,12
239,-27.3788,14.1656,1
240,-27.3788,14.7658,4
241,-27.3788,15.3659,19
242,-27.3788,15.9660,85
243,-27.3788,16.5662,34
244,-26.7948,-18.2415,2
245,-26.7948,-17.6414,4
246,-26.7948,-13.4404,12
247,-26.7948,-12.8403,18
248,-26.7948,-12.2402,10
249,-26.7948,-11.6400,29
250,-26.7948,-11.0399,12
251,-26.7948,-10.4398,5
252,-26.7948,-9.8396,28
253,-26.7948,-9.2395,30
254,-26.7948,-8.6394,6
255,-26.7948,-8.0393,1
256,-26.7948,-7.4391,1
257,-26.7948,-6.8390,1
258,-26.7948,-6.2389,18
259,-26.7948,-5.6387,28
260,-26.7948,-5.0386,15
261,-26.7948,-4.4385,13
262,-26.7948,-3.8383,24
263,-26.7948,-3.2382,39
264,-26.7948,-2.6381,19
265,-26.7948,-2.0379,3
266,-26.7948,13.5655,2
267,-26.7948,14.1656,2
268,-26.7948,14.7658,4
269,-26.7948,15.3659,12
270,-26.7948,15.9660,34
271,-26.7948,16.5662,9
272,-26.2107,-20.6420,1
273,-26.2107,-18.2415,1
274,-26.2107,-17.6414,6
275,-26.2107,-12.2402,1
276,-26.2107,-11.6400,5
277,-26.2107,-11.0399,2
278,-26.2107,-9.2395,4
279,-26.2107,-8.6394,3
280,-26.2107,-7.4391,5
281,-26.2107,-6.8390,24
282,-26.2107,-6.2389,15
283,-26.2107,-5.6387,12
284,-26.2107,-5.0386,19
285,-26.2107,-4.4385,10
286,-26.2107,-3.8383,30
287,-26.2107,-3.2382,36
288,-26.2107,-2.6381,12
289,-26.2107,14.7658,4
290,-26.2107,15.3659,10
291,-26.2107,15.9660,32
292,-26.2107,16.5662,5
293,-25.6267,-20.0419,1
294,-25.6267,-18.2415,1
295,-25.6267,-17.6414,4
296,-25.6267,-17.0412,1
297,-25.6267,-11.6400,1
298,-25.6267,-9.8396,1
299,-25.6267,-9.2395,2
300,-25.6267,-7.4391,18
301,-25.6267,-6.8390,28
302,-25.6267,-6.2389,19
303,-25.6267,-5.6387,23
304,-25.6267,-5.0386,16
305,-25.6267,-4.4385,25
306,-25.6267,-3.8383,40
307,-25.6267,-3.2382,16
308,-25.6267,-2.6381,2
309,-25.6267,14.1656,2
310,-25.6267,14.7658,9
311,-25.6267,15.3659,32
312,-25.6267,15.9660,11
313,-25.6267,16.5662,2
314,-25.0427,-20.6420,1
315,-25.0427,-18.8416,1
316,-25.0427,-17.0412,1
317,-25.0427,-10.4398,1
318,-25.0427,-8.0393,3
319,-25.0427,-7.4391,25
320,-25.0427,-6.8390,41
321,-25.0427,-6.2389,19
322,-25.0427,-5.6387,8
323,-25.0427,-5.0386,7
324,-25.0427,-4.4385,9
325,-25.0427,-3.8383,33
326,-25.0427,-3.2382,6
327,-25.0427,13.5655,2
328,-25.0427,14.1656,7
329,-25.0427,14.7658,12
330,-25.0427,15.3659,8
331,-25.0427,15.9660,2
332,-25.0427,16.5662,1
333,-24.4587,-20.6420,3
334,-24.4587,-19.4418,1
335,-24.4587,-8.0393,15
336,-24.4587,-7.4391,30
337,-24.4587,-6.8390,11
338,-24.4587,-6.2389,14
339,-24.4587,-5.6387,10
340,-24.4587,-5.0386,5
341,-24.4587,-4.4385,2
342,-24.4587,-3.8383,5
343,-24.4587,-3.2382,5
344,-24.4587,12.9654,5
345,-24.4587,13.5655,2
346,-24.4587,14.1656,1
347,-24.4587,14.7658,7
348,-24.4587,15.3659,2
349,-24.4587,15.9660,6
350,-24.4587,16.5662,2
351,-23.8747,-21.8423,1
352,-23.8747,-20.6420,1
353,-23.8747,-20.0419,1
354,-23.8747,-19.4418,1
355,-23.8747,-18.8416,1
356,-23.8747,-8.6394,1
357,-23.8747,-8.0393,17
358,-23.8747,-7.4391,31
359,-23.8747,-6.8390,41
360,-23.8747,-6.2389,12
361,-23.8747,-5.6387,1
362,-23.8747,12.9654,1
363,-23.8747,13.5655,2
364,-23.8747,14.1656,2
365,-23.8747,14.7658,5
366,-23.8747,15.3659,3
367,-23.8747,15.9660,5
368,-23.8747,16.5662,2
369,-23.2906,-23.0426,1
370,-23.2906,-22.4424,1
371,-23.2906,-21.8423,2
372,-23.2906,-21.2422,1
373,-23.2906,-20.6420,4
374,-23.2906,-20.0419,2
375,-23.2906,-19.4418,1
376,-23.2906,-18.8416,1
377,-23.2906,-17.6414,1
378,-23.2906,-8.0393,6
379,-23.2906,-7.4391,19
380,-23.2906,-6.8390,11
381,-23.2906,-6.2389,1
382,-23.2906,5.7638,1
383,-23.2906,10.5648,1
384,-23.2906,11.1650,1
385,-23.2906,12.3652,1
386,-23.2906,12.9654,1
387,-23.2906,13.5655,1
388,-23.2906,14.7658,1
389,-23.2906,15.9660,3
390,-23.2906,16.5662,4
391,-22.7066,-24.8430,1
392,-22.7066,-24.2428,6
393,-22.7066,-23.6427,16
394,-22.7066,-23.0426,13
395,-22.7066,-22.4424,14
396,-22.7066,-21.8423,22
397,-22.7066,-21.2422,20
398,-22.7066,-20.6420,25
399,-22.7066,-20.0419,16
400,-22.7066,-19.4418,15
401,-22.7066,-18.8416,9
402,-22.7066,-18.2415,7
403,-22.7066,-17.6414,9
404,-22.7066,-17.0412,11
405,-22.7066,-8.0393,1
406,-22.7066,-3.8383,1
407,-22.7066,6.9641,3
408,-22.7066,7.5642,2
409,-22.7066,8.1643,3
410,-22.7066,10.5648,1
411,-22.7066,12.9654,1
412,-22.7066,14.7658,1
413,-22.7066,15.3659,1
414,-22.7066,16.5662,5
415,-22.7066,17.1663,4
416,-22.1226,-25.4431,2
417,-22.1226,-24.8430,14
418,-22.1226,-24.2428,30
419,-22.1226,-23.6427,35
420,-22.1226,-23.0426,33
421,-22.1226,-22.4424,42
422,-22.1226,-21.8423,42
423,-22.1226,-21.2422,44
424,-22.1226,-20.6420,35
425,-22.1226,-20.0419,26
426,-22.1226,-19.4418,29
427,-22.1226,-18.8416,26
428,-22.1226,-18.2415,24
429,-22.1226,-17.6414,22
430,-22.1226,-17.0412,32
431,-22.1226,-16.4411,26
432,-22.1226,-15.8410,7
433,-22.1226,6.9641,1
434,-22.1226,7.5642,10
435,-22.1226,8.1643,19
436,-22.1226,8.7645,5
437,-22.1226,10.5648,3
438,-22.1226,11.1650,2
439,-22.1226,13.5655,2
440,-22.1226,14.1656,1
441,-22.1226,16.5662,2
442,-22.1226,17.1663,2
443,-21.5386,-27.2435,1
444,-21.5386,-26.0432,1
445,-21.5386,-25.4431,2
446,-21.5386,-24.8430,39
447,-21.5386,-24.2428,40
448,-21.5386,-23.6427,35
449,-21.5386,-23.0426,40
450,-21.5386,-22.4424,40
451,-21.5386,-21.8423,41
452,-21.5386,-21.2422,36
453,-21.5386,-20.6420,39
454,-21.5386,-20.0419,24
455,-21.5386,-19.4418,33
456,-21.5386,-18.8416,36
457,-21.5386,-18.2415,34
458,-21.5386,-17.6414,34
459,-21.5386,-17.0412,30
460,-21.5386,-16.4411,38
461,-21.5386,-15.8410,13
462,-21.5386,-15.2408,6
463,-21.5386,5.1637,5
464,-21.5386,5.7638,6
465,-21.5386,6.3639,7
466,-21.5386,6.9641,19
467,-21.5386,7.5642,13
468,-21.5386,8.1643,1
469,-21.5386,8.7645,19
470,-21.5386,9.3646,10
471,-21.5386,9.9647,2
472,-21.5386,10.5648,6
473,-21.5386,11.1650,6
474,-21.5386,11.7651,9
475,-21.5386,12.3652,4
476,-21.5386,12.9654,4
477,-21.5386,14.1656,2
478,-21.5386,15.9660,1
479,-21.5386,16.5662,2
480,-21.5386,17.1663,5
481,-21.5386,17.7664,11
482,-21.5386,18.3666,20
483,-21.5386,18.9667,31
484,-21.5386,19.5668,24
485,-21.5386,20.1670,43
486,-21.5386,20.7671,12
487,-20.9546,-28.4438,11
488,-20.9546,-27.8436,15
489,-20.9546,-27.2435,6
490,-20.9546,-26.6434,1
491,-20.9546,-26.0432,2
492,-20.9546,-25.4431,10
493,-20.9546,-24.8430,42
494,-20.9546,-24.2428,35
495,-20.9546,-23.6427,48
496,-20.9546,-23.0426,36
497,-20.9546,-22.4424,40
498,-20.9546,-21.8423,46
499,-20.9546,-21.2422,46
500,-20.9546,-20.6420,45
501,-20.9546,-20.0419,29
502,-20.9546,-19.4418,37
503,-20.9546,-18.8416,30
504,-20.9546,-18.2415,23
505,-20.9546,-17.6414,34
506,-20.9546,-17.0412,36
507,-20.9546,-16.4411,40
508,-20.9546,-15.8410,49
509,-20.9546,-15.2408,24
510,-20.9546,-14.6407,1
511,-20.9546,-8.6394,1
512,-20.9546,-8.0393,3
513,-20.9546,0.3626,1
514,-20.9546,0.9627,1
515,-20.9546,2.1630,1
516,-20.9546,2.7631,1
517,-20.9546,3.3633,2
518,-20.9546,3.9634,3
519,-20.9546,4.5635,4
520,-20.9546,5.1637,2
521,-20.9546,5.7638,4
522,-20.9546,6.3639,6
523,-20.9546,6.9641,2
524,-20.9546,7.5642,2
525,-20.9546,8.1643,5
526,-20.9546,8.7645,13
527,-20.9546,9.3646,15
528,-20.9546,9.9647,28
529,-20.9546,10.5648,21
