Mixture,AML_16,AML_19,AML_6,AML_15,AML_1,AML_8,AML_24,AML_2,AML_9,AML_10,AML_13,AML_4,AML_12,AML_5,AML_11,AML_20,AML_26,AML_7,AML_18,AML_23,AML_14,AML_17,AML_21,AML_3,AML_22,Myeloid_Pro,AML_27,AML_25,0_HSPC,P-value,Correlation,RMSE
TARGET.20.PAWJGZ.09A,0.177880501818423,0.0013759565579573,0,0,0,0.00991766033453248,0.0539104303064079,0,0,0.00121587113900191,0.00885970708904178,0,0,0.0157977544580297,0,0.101624142593917,0,0.0468718467068901,0.00630607197019304,0,0.290151522951929,0.0116320615376674,0.133445580050648,0.0661865797256245,0.0413148061661713,0.0296261852774118,0,0.00388332131615442,0,0,0.777275911117775,0.62910767270586
TARGET.20.PAXJZX.09A,0.0960332580469234,0,0,0.0142923871206955,0,0,0,0,0,0.0741942088437893,0,0,0.183492284111838,0.161465107215629,0.0305582742100626,0.0112639188956619,0,0,0.0617902300053414,0,0,0.0391567078430886,0.176943185616728,0.0151818265363573,0.0136671272301085,0.0642507048445972,0.00533172219092087,0.00784652077510791,0.0445325365131497,0,0.926339595342303,0.385149554258265
TARGET.20.PARERV.09A,0,0.00365054170548202,0,0.0522192590810537,0,0.00473941180136671,0,0,0.0134609601448153,0,0,0.0523402819836662,0,0.172091442439531,0.205988266657763,0,0.0521514631418962,0,0.0176833231606545,0,0.00258657544836527,0.0596319079949845,0.145552100389621,0,0.0588828142687008,0,0.126359649682922,0.000502067823509649,0.0321599342756685,0,0.917660844823009,0.397218781321753
TARGET.20.PAWTBX.09A,0.0205510969232139,0,0,0.00576656688646088,0,0,0,0,0.00903743290811415,0.00990826213063769,0,0.0200902522393753,0.157686475235518,0.145014833850667,0.0741628057143244,0.115289130341538,0,0.079496790738669,0.0500089488512958,0,0.0286239494177345,0,0.139983038157086,0.0807714987822776,0,0.0390366757295369,0.00739688073975977,0,0.0171753613537903,0,0.789448825979201,0.615402806774244
TARGET.20.PAXJTM.09A,0.0777625721913073,0,0,0.00713652330789468,0,0,0.0633027669171168,0,0.00599036274264256,0,0,0.138718309327298,0.163024973505388,0.0618374945138473,0,0.0245255842762388,0,0,0.056700619074379,0,0.0298396200676959,0,0.181421140937965,0.101287724717236,0.0424087648233069,0.046043543597684,0,0,0,0,0.939260387816197,0.353708229313027
TARGET.20.PAUYIB.09A,0.190378987537426,0.0368003558832917,0,0,0,0.00341725186477315,0,0.101850059481606,0.00927049355204912,0.0457318647199411,0.133261102434252,0,0,0,0.0373306921872771,0,0.0231719742154227,0.0125357259205656,0.0210529437865041,0,0.0135530470706212,0,0.361563166018352,0,0,0,0,0.00395992565738231,0.00612240967053653,0,0.962736919401369,0.367561514619271
TARGET.20.PASTHA.09A,0,0.00785472156809648,0,0.00539272415803238,0,0.0650080034578846,0,0.0575255017160024,0,0.037648097726158,0.0138941396564333,0,0.0157736686781423,0,0.0164114584302825,0.199230843026921,0,0.0643540998140675,0,0.00138377542957586,0.0644725936827729,0.00145118668375278,0.256018613341776,0,0.00749361654386111,0.129410568935331,0.0552735620450798,0.00140282510582975,0,0,0.97016899519873,0.243325436499598
TARGET.20.PAWRUF.09A,0.0438917728974026,0,0,0.00674106810496356,0,0,0,0.0101032770452905,0,0,0,0.0436786162907773,0.290198105167899,0.0207028551965986,0.0605867301003812,0.0174573942605241,0,0,0.0929699245748501,0,0,0.0373817236083539,0.247751325682013,0.0556501885519279,0,0.0728870185190182,0,0,0,0,0.943592760987144,0.332106647666704
TARGET.20.PANKEF.09A,0.0331382199393452,0.0169418723603871,0.101698655850969,0.0429944922902592,0,0.101759688946621,0,0.149240219473857,0,0.0442310359876408,0.05168299731565,0.0466218675248653,0,0,0.164857572028386,0.00035961003749383,0.18387125016323,0,0,0,0,0,0.0274336192266597,0,0,0.00707042305726345,0.020617187011156,0.0074812887862164,0,0,0.942062253782996,0.395656336369779
TARGET.20.PARFAL.09A,0.0504434005878831,0,0,0.0027003870635238,0,0,0,0.0728143938204953,0.0181758370876194,0.067969741528562,0,0,0.0206720903178309,0.0990018610363401,0,0.0375799179532615,0,0,0.0911534805160169,0,0.00418974199225019,0.11162478253529,0.268952645113624,0,0.0974401533956196,0,0.0269551262250392,0,0.0303264408266448,0,0.942620878286676,0.340929060829954
TARGET.20.PAURJK.09A,0.141798707259119,0,0,0,0,0,0,0,0.0110777641008211,0.0334509349497374,0.0102671335036078,0,0,0.0801627610413675,0,0.0683474241320395,0,0,0.0404553096238238,0,0.23325113536802,0.0240448044104791,0.268726325228493,0.0258939290363546,0.0370102732587138,0,0.00475992338788885,0.00588907191295187,0.0148645027865828,0,0.902747170758083,0.436201488605586
TARGET.20.PAUZJJ.09A,0.076991720109785,0.0449446037117032,0,0,0,0,0,0.0287473041606501,0.0107410791631039,0,0.0608600171262317,0,0.0168758118880363,0.0979166040621289,0,0,0.0378940663887787,0,0.182653287055193,0.0200784096684399,0,0.0745231116682684,0.297652079680629,0,0.006366266279238,0,0,0.00235591435221406,0.0413997246856009,0,0.911153851804357,0.440221854323401
TARGET.20.PATAML.09A,0,0,0,0.0750735437356196,0,0,0,0.023745789966329,0.013034528162205,0.0260961431665394,0,0.130420060079915,0.0205190453924622,0.3098923699018,0.0735170350191938,0,0.00482270156698116,0,0.0182392009294173,0.0264321844175902,0.0132893012711672,0.0248427559249438,0.12004939054944,0,0,0,0.0601406988740757,0,0.0598852510423206,0,0.887943004453968,0.459804139339313
TARGET.20.PAWIUS.09A,0.0792058302438964,0,0,0.00723400599739392,0,0,0.108732835027868,0.0129911165530172,0,0,0,0.0592860979450227,0.145678661904205,0.0234403168868114,0.025744895010241,0.0276491421483909,0,0.00750377855889658,0.0206900250164254,0.0808995256845385,0.00281863506307852,0.0369028748796617,0.168896328580914,0.0850184937660798,0,0.0665415522583224,0,0.030186229724615,0.0105796547506221,0,0.855571053022113,0.518530705452079
TARGET.20.PAVSCL.09A,0.041533058005093,0.00596299605364839,0,0.0160032480172099,0,0,0,0,0,0.0323007151345634,0,0.0249944351654685,0.105370892349296,0.0471374359096935,0.216084071066006,0.0111139361029747,0.00838106222979535,0.0450910552363424,0.0125037683415042,0.0977010456465602,0,0.0315910485342325,0.297798024162518,0.00643320804509354,0,0,0,0,0,0,0.958611271065217,0.320059158836953
TARGET.20.PAVHFP.09A,0.0233967690937832,0,0,0,0,0.0180574878781613,0.24023618250713,0,0.00329924389201731,0,0.0889531548537194,0.042082323166578,0.024928108203536,0,0,0.00206442876892286,0,0,0.0103487571514536,0.000613995935382623,0.061055182766769,0.0791089400743684,0.114033494469964,0.111514763599296,0.127618744286666,0.0526884233522527,0,0,0,0,0.782717692724228,0.622682080816126
TARGET.20.PANTRL.09A,0,0,0,0,0.00546143904919114,0.0164367716658465,0,0,0,0.0888299895558164,0.0247098288068722,0,0.229617789133515,0.0463763500976967,0,0.270091962336994,0.0511781233629336,0.0342111538094461,0,0.00113088439841981,0.129286121249883,0.0111028543699907,0,0.0214037526183845,0,0.00555721266812628,0,0,0.0646057668768837,0,0.657992539286979,0.752831133354474
