names,scores,logfoldchanges,pvals,pvals_adj
SAT1,16.050905,1.0081339,5.6336534739514974e-58,1.3280852405058418e-55
PSMA6,16.027395,0.8012887,8.225975047572033e-58,1.922628321802605e-55
COMMD7,16.002872,0.93622243,1.22012991238096e-57,2.827599371522859e-55
NPM1,15.916345,0.7776201,4.880729822270834e-57,1.1215835102505733e-54
SSBP2,15.898166,1.0098816,6.524700269901915e-57,1.486870446506148e-54
LDHA,15.84044,0.8048775,1.6367288999766032e-56,3.6694413773639314e-54
PSMB8,15.840426,0.81946427,1.637065194318729e-56,3.6694413773639314e-54
PEBP1,15.80391,0.78682977,2.9240475097896116e-56,6.50089456932575e-54
CEBPA,15.775348,1.044693,4.598597242896766e-56,1.0141390339052819e-53
PGK1,15.762082,0.7419481,5.673291888496756e-56,1.2411347198626583e-53
LGALS3BP,15.758796,1.6808387,5.976048434591073e-56,1.2969922261295834e-53
HLA-DRB5,15.707147,1.0549402,1.3512547724715752e-55,2.909560079370685e-53
MYC,15.6918745,1.1286749,1.7190441104240447e-55,3.6725765815356194e-53
BTF3,15.642193,0.5908576,3.7556652067278324e-55,7.900186211013793e-53
PRKACB,15.629148,1.0848786,4.6093087703171216e-55,9.621844094129161e-53
IRF1,15.59914,0.99700433,7.3781642959198e-55,1.5285097033047185e-52
SHISA5,15.560496,1.0572716,1.3504706148663848e-54,2.776689431138057e-52
EIF3G,15.538242,0.70492905,1.9115543667154424e-54,3.900997441208992e-52
CD99,15.263017,0.8800632,1.3486566170177457e-52,2.7318788036272057e-50
AC125603.2,15.256573,1.2807512,1.4886540011432276e-52,2.99328914082814e-50
EEF1B2,15.226157,0.6402339,2.371243252203409e-52,4.733139998157257e-50
AKR1A1,15.197037,0.810933,3.699804031469778e-52,7.331510220621198e-50
PHB,15.173472,0.86258644,5.299705178630385e-52,1.0426312073009101e-49
CD300A,15.1449995,1.3561956,8.175468355237086e-52,1.5969025545879523e-49
PARP1,15.1140995,0.8226621,1.307463982270595e-51,2.535738302068914e-49
PFKP,15.107663,1.0437073,1.4416184111519747e-51,2.7762321881240774e-49
ESYT2,15.074005,0.8732624,2.4010563923120666e-51,4.559672785011512e-49
STAT1,15.054763,1.1644787,3.212477759765148e-51,6.0585115047267396e-49
SPATC1L,15.0523,1.2438731,3.334327218983536e-51,6.245240556871492e-49
MATK,15.021419,1.2681197,5.315793665647108e-51,9.888822692570464e-49
KCNAB2,14.790217,0.85208744,1.6940535308004335e-49,3.130107287383017e-47
WASHC1,14.779845,0.847633,1.976186816793466e-49,3.626899643760679e-47
CAPG,14.772463,0.8676067,2.2050505401485646e-49,4.0199541380601763e-47
PRELID1,14.755672,0.7591166,2.828589209585666e-49,5.122556326180769e-47
C1QBP,14.632247,0.76840186,1.7491476247523666e-48,3.1262869899658964e-46
RHOG,14.591817,0.70866805,3.1664945955467997e-48,5.6227896889495314e-46
PLCB1,14.590572,1.1272953,3.224791753978215e-48,5.689364858341178e-46
PPA1,14.540516,0.9079625,6.708471660955365e-48,1.1759606797467013e-45
SERBP1,14.529774,0.7183308,7.847885512636172e-48,1.3669317020926673e-45
HLA-DMA,14.522584,0.8537,8.716107962804496e-48,1.508548660448429e-45
SUCNR1,14.458869,1.4572811,2.2039032797388543e-47,3.7667461929836695e-45
TSPAN32,14.44714,1.2270898,2.6131522144109823e-47,4.438463382315697e-45
PECAM1,14.381018,0.8338952,6.80861528618884e-47,1.1493110717044446e-44
CALCOCO2,14.3263445,0.7879525,1.4979981297192181e-46,2.5131445923498e-44
FUS,14.3125515,0.6951469,1.8268653690785987e-46,3.0461866087087415e-44
ANKRD28,14.291731,0.78991866,2.464088794413167e-46,4.0838164952740886e-44
EMB,14.217354,0.8360453,7.150624740290978e-46,1.1779577358313078e-43
GSTK1,14.202765,0.6732184,8.806775621584223e-46,1.442096324238576e-43
SEPTIN6,14.169298,0.8089241,1.419120598343007e-45,2.3099566596599922e-43
CNBP,14.145287,0.6402009,1.9970165111264113e-45,3.2313854149859673e-43
EXOSC5,14.143294,0.9528094,2.0543716000331424e-45,3.3046379867356654e-43
PLAAT4,14.135852,1.1420609,2.2835476422569425e-45,3.651806656442009e-43
MIR181A1HG,14.0374365,0.9186916,9.198011575542577e-45,1.4623768868882985e-42
MRPL4,13.978144,0.8007075,2.1194557925217465e-44,3.350210294930618e-42
MDH2,13.977184,0.66828203,2.1482162210240293e-44,3.376156366673742e-42
PROM1,13.933978,1.3188001,3.9379792180830693e-44,6.153598839868549e-42
PSMB10,13.927712,0.70176727,4.2990639249372297e-44,6.679670573371222e-42
OAS2,13.876739,1.9125049,8.764178930933309e-44,1.3540408872615947e-41
XBP1,13.874292,0.7722747,9.068309777940714e-44,1.393157298806555e-41
HNRNPDL,13.848997,0.6740268,1.290004310498802e-43,1.9707518365866054e-41
CORO1A,13.825285,0.7800918,1.7940159496295373e-43,2.7255088976982957e-41
PRMT1,13.817132,0.7402139,2.0091632223138507e-43,3.035501518088097e-41
NOP53,13.786858,0.6648728,3.0579261050854214e-43,4.5695107797631654e-41
POLD2,13.779678,0.9468143,3.3777406852293645e-43,5.019983520558815e-41
IRF9,13.642547,1.3057846,2.2361270236480165e-42,3.3053583561447923e-40
