names,scores,logfoldchanges,pvals,pvals_adj
SF3A3,3.9790535,0.18775094,6.919015578031789e-05,0.0005681903903809528
RTCA,3.9775832,0.1961305,6.96192898127512e-05,0.0005715428097326612
SNX5,3.9765565,0.14470145,6.992041344751259e-05,0.0005736704548861924
NAA20,3.9746249,0.18950653,7.049027694902438e-05,0.0005781724995344993
PDGFC,3.9741201,0.43693098,7.063988252117953e-05,0.0005792258552996029
ZBED5,3.972902,0.32839555,7.100223793916197e-05,0.0005820225415720393
PAN2,3.9723105,0.4409297,7.117887290819255e-05,0.0005832956123906003
FMR1,3.9703875,0.52959365,7.175581168927084e-05,0.0005878473416581189
SMG5,3.9696045,0.25789455,7.199202929632563e-05,0.0005896058799452893
CTR9,3.9694304,0.16324462,7.204462189443965e-05,0.0005898599491992055
LONP1,3.968952,0.19926041,7.21894389909381e-05,0.0005908687215343291
SIGIRR,3.9666202,0.12169133,7.289904150084094e-05,0.0005964982611855166
INPP4B,3.9662025,0.97217315,7.302682909101664e-05,0.0005973651415862822
ATG101,3.9651496,0.22047383,7.33499011667271e-05,0.000599828468093696
PPP1R12A,3.964149,0.17764477,7.365820567717904e-05,0.0006021695941548993
PPFIA1,3.9611473,0.2101971,7.459048935163668e-05,0.0006096089425612243
AP2A2,3.9609647,0.27163884,7.464759584892419e-05,0.0006098223238902833
CSK,3.960921,0.17491984,7.466119872685836e-05,0.0006098223238902833
AKAP17A,3.9603121,0.1395426,7.485188533019475e-05,0.0006111972697042419
GARS-DT,3.960077,0.27972066,7.492555888669438e-05,0.0006116119470924734
NLRP3,3.9600074,0.34277025,7.494740125454832e-05,0.0006116119470924734
ZNF141,3.9597292,0.28163776,7.503483095644008e-05,0.0006121427468182609
ARSB,3.9593027,0.41895294,7.516889462781636e-05,0.0006130535617334525
TPI1,3.9591289,0.25732207,7.522367956245815e-05,0.0006133174541785869
RELCH,3.9584675,0.26655996,7.543220686656979e-05,0.0006148343156403033
RAPGEF6,3.9578757,0.24701463,7.561924716980658e-05,0.000616175188648847
RAB11FIP3,3.957406,0.5291587,7.576809150545783e-05,0.0006172041198415995
PSMC6,3.9570668,0.18411678,7.587576244228356e-05,0.0006178971410800137
CHD8,3.9569883,0.1844623,7.590063012017005e-05,0.0006179156389598601
BIN2,3.9567013,0.16898267,7.599187755785653e-05,0.0006184704612958098
TLNRD1,3.9566317,0.39535728,7.601401376490955e-05,0.0006184704612958098
WDFY1,3.9564402,0.19869798,7.607491977821503e-05,0.0006187819025148925
ZNF410,3.954126,0.24197759,7.681499025813828e-05,0.0006246157370202347
UNC45A,3.9537778,0.16123296,7.692686611595607e-05,0.0006253395008344038
COL24A1,3.9520464,0.48794565,7.748574206135344e-05,0.000629695424193097
EXOSC6,3.951968,0.1777076,7.751110837261433e-05,0.0006297144294585596
NUDCD3,3.9504366,0.26418275,7.800874151783287e-05,0.0006335690660964234
HIF1AN,3.9483397,0.4282359,7.869506126474064e-05,0.0006389534279529684
BAP1,3.9480178,0.29722816,7.88009339920829e-05,0.0006396231347425049
PRPF3,3.9476175,0.26102024,7.893274732267263e-05,0.000640502940144156
SEPTIN7,3.9474435,0.24894936,7.899012245861104e-05,0.0006407783710332773
PRORP,3.946669,0.31763008,7.924592025094807e-05,0.0006426627921656068
CUL1,3.9463038,0.21606952,7.93669056048036e-05,0.0006434531279777525
ATN1,3.9459298,0.26319453,7.949095244954266e-05,0.0006442678084425588
CCDC43,3.9453032,0.25438735,7.969906926394112e-05,0.000645763184619773
EXOSC2,3.941736,0.21086295,8.089403091622424e-05,0.0006552512350222359
HSD17B8,3.9414923,0.23103395,8.097625280046182e-05,0.0006557230112767038
ITPR1,3.9412835,0.20847157,8.104679156831035e-05,0.0006560999296113129
INO80D,3.9411964,0.21530364,8.107619986018845e-05,0.0006561437589158667
LEMD3,3.940709,0.25933766,8.124107278088081e-05,0.0006572835432739546
ATP6V1A,3.9404395,0.25577256,8.133247794077203e-05,0.0006578284358971759
PTGER4,3.9395432,0.18522269,8.163687749322262e-05,0.0006600676427593382
