"source","target","interaction","ligand","receptor","mean_prob","n_assessable","n_sig","frac_sig"
"Myeloid_Pro","Myeloid_Pro","CD96_NECTIN1","CD96","NECTIN1",4.12144300022142e-07,9,0,0
"Myeloid_Pro","HSPC","CD96_PVR","CD96","PVR",3.76814009579977e-07,2,0,0
"Myeloid_Pro","T cells","CD96_NECTIN1","CD96","NECTIN1",3.64359191968726e-07,9,0,0
"Erythroid","T cells","CD96_NECTIN1","CD96","NECTIN1",3.51968694764897e-07,11,0,0
"NK","Myeloid_Pro","CD96_PVR","CD96","PVR",3.39859761698843e-07,7,2,0.285714285714286
"HSPC","HSPC","CD96_PVR","CD96","PVR",2.95019095990899e-07,2,0,0
"Mature myeloid","T cells","CD96_PVR","CD96","PVR",2.73890882717081e-07,17,1,0.0588235294117647
"Erythroid","Myeloid_Pro","CD96_NECTIN1","CD96","NECTIN1",2.73579424320123e-07,5,0,0
"Mature myeloid","HSPC","CD96_PVR","CD96","PVR",2.57530273222606e-07,2,0,0
"Erythroid","NK","CD96_NECTIN1","CD96","NECTIN1",2.44887763135413e-07,9,0,0
"T cells","B-lineage","CD96_PVR","CD96","PVR",2.23727897218862e-07,17,0,0
"Mature myeloid","NK","CD96_NECTIN1","CD96","NECTIN1",2.22321323526074e-07,13,1,0.0769230769230769
"Myeloid_Pro","NK","CD96_NECTIN1","CD96","NECTIN1",2.13586171373316e-07,7,0,0
"B-lineage","Myeloid_Pro","CD96_PVR","CD96","PVR",1.97903594771696e-07,9,0,0
"Erythroid","NK","CD96_PVR","CD96","PVR",1.76666036218618e-07,9,0,0
"HSPC","Erythroid","CD96_PVR","CD96","PVR",1.76316967773511e-07,2,0,0
"NK","NK","CD96_PVR","CD96","PVR",1.68021219266484e-07,14,1,0.0714285714285714
"NK","B-lineage","CD96_NECTIN1","CD96","NECTIN1",1.58084371657079e-07,13,0,0
"Mature myeloid","B-lineage","CD96_NECTIN1","CD96","NECTIN1",1.51455087858108e-07,16,0,0
"HSPC","T cells","CD96_NECTIN1","CD96","NECTIN1",1.23093181733256e-07,2,0,0
"HSPC","HSPC","CD96_NECTIN1","CD96","NECTIN1",1.22080306470114e-07,2,0,0
"Myeloid_Pro","Myeloid_Pro","CD96_PVR","CD96","PVR",1.18360487193549e-07,9,0,0
"Myeloid_Pro","HSPC","CD96_NECTIN1","CD96","NECTIN1",1.08175288750292e-07,2,0,0
"B-lineage","NK","CD96_PVR","CD96","PVR",1.05972010784544e-07,13,0,0
"Mature myeloid","NK","CD96_PVR","CD96","PVR",9.75335694492927e-08,13,0,0
"HSPC","T cells","CD96_PVR","CD96","PVR",9.71174199759599e-08,2,0,0
"Erythroid","Myeloid_Pro","CD96_PVR","CD96","PVR",9.44725827810057e-08,5,0,0
"Mature myeloid","HSPC","CD96_NECTIN1","CD96","NECTIN1",9.24718266029499e-08,2,0,0
"B-lineage","B-lineage","CD96_NECTIN1","CD96","NECTIN1",8.85322277199326e-08,17,0,0
"Myeloid_Pro","T cells","CD96_PVR","CD96","PVR",8.00943830531199e-08,9,0,0
"Myeloid_Pro","B-lineage","CD96_NECTIN1","CD96","NECTIN1",6.31113555063841e-08,9,0,0
"HSPC","Mature myeloid","CD96_NECTIN1","CD96","NECTIN1",5.44243315215552e-08,2,0,0
"Myeloid_Pro","NK","CD96_PVR","CD96","PVR",4.88354636910807e-08,7,0,0
"HSPC","NK","CD96_PVR","CD96","PVR",4.86887532421986e-08,2,0,0
"Mature myeloid","B-lineage","CD96_PVR","CD96","PVR",3.48846459380665e-08,16,0,0
"HSPC","Myeloid_Pro","CD96_PVR","CD96","PVR",2.81344699627274e-08,2,0,0
"NK","B-lineage","CD96_PVR","CD96","PVR",2.12307017596172e-08,13,0,0
"Myeloid_Pro","B-lineage","CD96_PVR","CD96","PVR",1.52319992664187e-08,9,0,0
"Erythroid","B-lineage","CD96_PVR","CD96","PVR",3.96364378608355e-09,10,0,0
"B-lineage","B-lineage","CD96_PVR","CD96","PVR",3.7705332409906e-09,17,0,0
"HSPC","B-lineage","CD96_NECTIN1","CD96","NECTIN1",0,2,0,0
"HSPC","Myeloid_Pro","CD96_NECTIN1","CD96","NECTIN1",0,2,0,0
"HSPC","NK","CD96_NECTIN1","CD96","NECTIN1",0,2,0,0
"HSPC","B-lineage","CD96_PVR","CD96","PVR",0,2,0,0
