group,gene,label,cov_pct,rec_pct,HSPC,Myeloid,n_contrib_patients,clinical
PPAC_1,CD40LG,CD40LG,0.04,0.0,0.56,0.0,13,False
PPAC_1,CD5,CD5,0.2,0.0,0.74,0.12,13,False
PPAC_1,CD6,CD6,0.92,7.69,0.37,0.12,13,False
PPAC_1,CD7,CD7,19.71,38.46,9.09,3.26,13,False
PPAC_1,CD70,CD70,0.88,0.0,0.0,0.6,13,True
PPAC_1,CD79A,CD79A,19.81,23.08,7.24,1.21,13,False
PPAC_1,CD80,CD80,0.55,0.0,0.0,0.0,13,False
PPAC_1,CD86,CD86,14.79,15.38,0.19,9.53,13,False
PPAC_1,CD8A,CD8A,0.04,0.0,0.0,0.0,13,False
PPAC_1,CD8B,CD8B,0.06,0.0,0.19,0.36,13,False
PPAC_1,CD9,CD9,28.85,84.62,7.61,6.51,13,False
PPAC_1,CD96,CD96,33.01,61.54,2.41,3.02,13,True
PPAC_1,CDH1,CDH1,0.02,0.0,0.19,0.0,13,False
PPAC_1,CDH10,CDH10,0.0,0.0,0.0,0.0,13,False
PPAC_1,CDH11,CDH11,0.0,0.0,0.0,0.0,13,False
PPAC_1,CDH12,CDH12,0.0,0.0,0.0,0.0,13,False
PPAC_1,CDH13,CDH13,0.23,0.0,0.0,0.0,13,False
PPAC_1,CDH15,CDH15,0.06,0.0,0.0,0.0,13,False
PPAC_1,CDH18,CDH18,0.0,0.0,0.0,0.0,13,False
PPAC_1,CDH2,CDH2,4.58,7.69,5.19,0.36,13,False
PPAC_1,CDH20,CDH20,0.02,0.0,0.19,0.0,13,False
PPAC_1,CDH22,CDH22,0.04,0.0,0.0,0.12,13,False
PPAC_1,CDH23,CDH23,1.39,0.0,0.93,1.09,13,False
PPAC_1,CDH24,CDH24,0.74,0.0,1.3,0.72,13,False
PPAC_1,CDH26,CDH26,2.39,0.0,8.16,1.81,13,False
PPAC_1,CDH3,CDH3,0.06,0.0,0.0,0.12,13,False
PPAC_1,CDH4,CDH4,1.04,0.0,1.86,0.36,13,False
PPAC_1,CDH5,CDH5,0.0,0.0,0.0,0.12,13,False
PPAC_1,CDH6,CDH6,0.02,0.0,0.0,0.0,13,False
PPAC_1,CDH7,CDH7,0.02,0.0,5.38,0.12,13,False
PPAC_1,CDH8,CDH8,0.06,0.0,0.0,0.0,13,False
PPAC_1,CDH9,CDH9,0.92,0.0,2.23,0.0,13,False
PPAC_1,CDHR1,CDHR1,0.0,0.0,0.0,0.0,13,False
PPAC_1,CDHR2,CDHR2,0.18,0.0,0.0,0.0,13,False
PPAC_1,CDHR3,CDHR3,0.02,0.0,0.0,0.24,13,False
PPAC_1,CDHR4,CDHR4,0.23,0.0,0.0,0.0,13,False
PPAC_1,CDHR5,CDHR5,0.06,0.0,0.0,0.12,13,False
PPAC_1,CDON,CDON,0.02,0.0,0.0,0.0,13,False
PPAC_1,CEACAM1,CEACAM1,1.8,0.0,1.3,0.0,13,False
