group,gene,label,cls,leak,cov_pct,rec_pct,HSPC,Myeloid,in_top5,n_cells,single_patient_flag
LS_20,SUCNR1,SUCNR1,clinical,6.55,12.07,35.29,6.3,6.55,False,1251,False
LS_20,IL1RAP,IL1RAP,clinical,9.94,11.91,23.53,5.74,9.94,False,1251,False
LS_20,FLT3,FLT3,clinical,52.59,36.93,82.35,52.59,25.08,False,1251,False
LS_20,CD33,CD33,clinical,30.62,24.46,52.94,16.67,30.62,False,1251,False
LS_20,IL3RA,CD123,clinical,12.22,14.71,41.18,12.22,7.68,False,1251,False
LS_20,CLEC12A,CLL-1,clinical,31.3,27.98,64.71,9.44,31.3,False,1251,False
LS_20,CD7,CD7,clinical,9.07,6.71,5.88,9.07,3.05,False,1251,False
LS_20,TNFRSF4,TNFRSF4,clinical,0.56,1.2,0.0,0.56,0.23,False,1251,False
LS_20,ABCA7,ABCA7,clinical,10.73,6.79,5.88,5.56,10.73,False,1251,False
LS_20,ITGAX,ITGAX,clinical,6.55,3.84,0.0,0.93,6.55,False,1251,False
LS_21,ITGAX,ITGAX,clinical,6.55,43.75,66.67,0.93,6.55,True,1168,False
LS_21,CD9,CD9,clinical,7.59,33.65,83.33,7.59,6.78,True,1168,False
LS_21,FCGR2A,FCGR2A,discovered,8.25,30.91,66.67,0.74,8.25,True,1168,False
LS_21,LTK,LTK,discovered,2.94,25.43,58.33,1.11,2.94,True,1168,False
LS_21,IL1RAP,IL1RAP,clinical,9.94,24.57,58.33,5.74,9.94,True,1168,False
LS_21,CD96,CD96,clinical,3.28,15.58,58.33,2.41,3.28,False,1168,False
LS_21,SUCNR1,SUCNR1,clinical,6.55,11.13,50.0,6.3,6.55,False,1168,False
LS_21,FLT3,FLT3,clinical,52.59,47.77,91.67,52.59,25.08,False,1168,False
LS_21,CD33,CD33,clinical,30.62,38.53,75.0,16.67,30.62,False,1168,False
LS_21,IL3RA,CD123,clinical,12.22,33.82,83.33,12.22,7.68,False,1168,False
LS_21,CLEC12A,CLL-1,clinical,31.3,32.45,75.0,9.44,31.3,False,1168,False
LS_21,CD7,CD7,clinical,9.07,8.3,25.0,9.07,3.05,False,1168,False
LS_21,TNFRSF4,TNFRSF4,clinical,0.56,6.68,16.67,0.56,0.23,False,1168,False
LS_21,ABCA7,ABCA7,clinical,10.73,38.01,50.0,5.56,10.73,False,1168,False
LS_27,AMN,AMN,discovered,4.63,33.65,58.33,4.63,3.73,True,1064,False
LS_27,SUCNR1,SUCNR1,clinical,6.55,33.65,66.67,6.3,6.55,True,1064,False
LS_27,CD96,CD96,clinical,3.28,30.73,58.33,2.41,3.28,True,1064,False
LS_27,CD9,CD9,clinical,7.59,27.73,50.0,7.59,6.78,True,1064,False
LS_27,IL1RAP,IL1RAP,clinical,9.94,23.68,58.33,5.74,9.94,True,1064,False
LS_27,FLT3,FLT3,clinical,52.59,46.9,91.67,52.59,25.08,False,1064,False
LS_27,CD33,CD33,clinical,30.62,35.24,83.33,16.67,30.62,False,1064,False
LS_27,IL3RA,CD123,clinical,12.22,22.37,50.0,12.22,7.68,False,1064,False
LS_27,CLEC12A,CLL-1,clinical,31.3,47.84,91.67,9.44,31.3,False,1064,False
LS_27,CD7,CD7,clinical,9.07,10.34,33.33,9.07,3.05,False,1064,False
LS_27,TNFRSF4,TNFRSF4,clinical,0.56,1.41,0.0,0.56,0.23,False,1064,False
LS_27,ABCA7,ABCA7,clinical,10.73,9.49,0.0,5.56,10.73,False,1064,False
LS_27,ITGAX,ITGAX,clinical,6.55,4.7,0.0,0.93,6.55,False,1064,False
