res,cluster,n_cells,mean_jaccard,sd_jaccard,top_patient_frac,top_patient,n_patients,top_PAC
2.5,8,2936,0.5795482687941376,0.12329078199025073,0.289850136239782,AML948,25,PPAC_1:87%
2.5,9,3734,0.39636019922485766,0.09305923486321216,0.19228709159078736,AML4304,28,PPAC_3:34%
2.5,10,2353,0.48055380819948634,0.08468692573622391,0.3816404589885253,AML4000,29,PPAC_1:3%
2.5,11,1754,0.45468110413411883,0.060994375215210735,0.3460661345496009,AML647,25,PPAC_2:60%
2.5,12,6400,0.6945935212703522,0.1090351305083421,0.1178125,AML4363,30,PPAC_1:0%
2.5,13,2585,0.5891374822434312,0.17089671156234504,0.11682785299806576,AML4035,30,PPAC_4:36%
2.5,14,3545,0.6577125675467392,0.15885213500423875,0.09365303244005642,AML335,30,FPAC_1:0%
2.5,15,1651,0.845158812407005,0.10146077136632721,0.931556632344034,AML4035,24,-
2.5,16,1212,0.3380373522245959,0.10944723690185501,0.44224422442244227,AML3371,21,PPAC_1:90%
2.5,17,3450,0.41016286719087824,0.07423720230058613,0.3115942028985507,AML4363,28,PPAC_2:55%
2.5,18,761,0.7787698621191022,0.17300863598789126,0.9145860709592641,AML4232,18,PPAC_3:0%
2.5,19,432,0.6657458567390109,0.26277833085736757,0.6736111111111112,AML4116,10,-
2.5,20,2230,0.7563807338670873,0.07165819571979105,0.24708520179372198,AML3082,28,-
2.5,21,1407,0.4096152663706916,0.1746827391162964,0.24662402274342574,AML4000,22,FPAC_1:1%
2.5,22,2758,0.40510722110030695,0.10642084368724475,0.30819434372733867,AML4102,27,FPAC_1:16%
2.5,23,34,0.18139816774113737,0.3490647035426014,0.9705882352941176,AML948,2,-
2.5,24,3802,0.8909477598192446,0.03191333557446218,0.32693319305628615,AML3082,26,PPAC_2:1%
2.5,25,527,0.5764623216624384,0.20097311607471333,0.8406072106261859,AML3210,19,FPAC_1:4%
2.5,26,531,0.9643437367485277,0.020306936245582503,0.975517890772128,AML4127,2,-
2.5,27,903,0.8257602261390484,0.03248514029784124,0.8449612403100775,AML4264,18,FPAC_2:95%
