LS,HSC,LSC_Eppert,LSC17,HSC_z,LSC_Eppert_z,LSC17_z,stem_z
LS_17,-0.026807760938567758,0.07035140182618363,-0.05379218632052079,-0.06755058249996028,-0.6218652053819309,0.31204468346453185,-0.12579036813911978
LS_18,-0.0906762346207442,0.04676518521657948,-0.05032140259417438,-1.1042347852427727,-1.063442454217516,0.4079651982502543,-0.5865706804033448
LS_19,0.0787496862061309,0.2141679132118392,-0.036923475317601005,1.645810198302708,2.0706437495706043,0.7782377887534412,1.4982305788755845
LS_20,-0.05399470496067139,0.06398025122475502,-0.07976143051408888,-0.5088367721280249,-0.7411448338642052,-0.40565583262765537,-0.5518791462066285
LS_21,0.03666744811602814,0.14306337097721805,-0.07611093126365216,0.9627503265236528,0.7394362626143214,-0.3047685993872875,0.4658059965835622
LS_22,-0.027305272509419696,0.0824171189221197,-0.06806602931226269,-0.07562596549330551,-0.395972844235615,-0.08243520225849088,-0.1846780039958038
LS_23,0.0341590996151712,0.13593183494967695,-0.14705200767045257,0.9220359471766217,0.6059208238673052,-2.2653357522005426,-0.24579299371887187
LS_24,0.05023040196034236,0.1419284575185588,-0.01232445445891699,1.1828980642463138,0.7181886004294006,1.458070048562243,1.1197189044126523
LS_25,-0.04318992761049326,0.1197612773525265,-0.06088301882005509,-0.3334585088424116,0.3031783173400191,0.11607848181052069,0.028599430102709388
LS_26,-0.0413217824176688,0.08922329519112292,-0.10350549216500478,-0.30313562028446084,-0.26854873710973165,-1.061859962942996,-0.5445147734457295
LS_27,-0.011289900339760888,0.19503271468911906,-0.13311216182215582,0.18432831824223142,1.712397725655736,-1.8800863978105522,0.005546548695805065
LS_28,-0.13845052520055354,0.0733943847863726,-0.021658182898824253,-1.8796854808048682,-0.5648949813712407,1.2001179237928632,-0.41482084612774867
LS_29,0.03773833754154718,0.1736744069723946,0.0049426251215584655,0.9801325197453725,1.312531018865014,1.9352726900384791,1.4093120762162885
LS_30,-0.016815944557693318,0.056066727638424976,-0.06942983125456348,0.09463206570774324,-0.8893005144333485,-0.12012599335510774,-0.304931480693571
LS_31,0.03830353479654449,0.11277348403643186,-0.10107824294000127,0.9893065461767077,0.1723540058776924,-0.9947791496361212,0.05562713413942629
LS_32,-0.006859105570979527,0.10123700934850745,-0.037025300555821705,0.2562469766596624,-0.04362996638349201,0.775423689680034,0.32934689998540145
LS_33,0.00605904845095266,0.10609711435367421,-0.06966492117699971,0.4659286150494788,0.04736011620396768,-0.12662306956583338,0.12888855389587103
LS_34,-0.05059834744201267,0.09083325606024097,-0.06392465570219197,-0.45370863169396214,-0.23840731582605645,0.0320181085550165,-0.22003261298833401
LS_35,0.0489098846601402,0.12602799661754008,-0.1362073086507219,1.1614640241691951,0.420502799603226,-1.965625601789124,-0.12788625933890096
LS_36,-0.10785467343589485,-0.005925697620838131,-0.00886545147183883,-1.3830674411798822,-2.0499124535047613,1.553664984267198,-0.6264383034724818
LS_37,-0.10071431000617366,0.030633773989271806,-0.02290274498044234,-1.2671682887080395,-1.3654520688790488,1.1657225119884913,-0.4889659485328656
LS_38,-0.06460924612543907,0.11899386796336815,-0.05778852643910421,-0.6811272076194994,0.28881100560011286,0.20159959910980088,-0.0635722009698619
LS_39,0.04786206668757969,0.1429896490729572,-0.07505829406797743,1.1444563163459438,0.7380560533081296,-0.2756773307711334,0.5356116796276467
LS_40,-0.04911965723365578,0.028879454098342444,-0.06258194696358435,-0.4297072004497729,-1.398296155908195,0.06912595611027386,-0.5862924667492313
LS_41,0.04493328397844701,0.1401707337859837,-0.11196988483068518,1.096917638923761,0.6852807872395786,-1.2957866394101665,0.16213726225105765
LS_42,0.08800117262022004,0.21897942837405024,0.01240665366453798,1.7959761450435403,2.160724141149587,2.141552745687923,2.032751010627017
LS_43,-0.11131406278988051,0.05202104573793474,-0.03403193581934047,-1.4392186858809815,-0.9650431022697951,0.8581499869958729,-0.515370600384968
