"LS","Description","p.adjust","term"
"LS_3","GOBP_EMBRYONIC_SKELETAL_JOINT_MORPHOGENESIS",0.0391778325086817,"embryonic skeletal joint morphogenesis"
"LS_3","GOBP_REGULATION_OF_POTASSIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE",0.0391778325086817,"regulation of potassium ion export across plasma membrane"
"LS_3","GOBP_REGULATION_OF_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL",0.0391778325086817,"regulation of ventricular cardiac muscle cell action potential"
"LS_3","GOBP_SINOATRIAL_NODE_DEVELOPMENT",0.0391778325086817,"sinoatrial node development"
"LS_3","GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS",0.0394142703334067,"monocarboxylic acid biosynthetic process"
"LS_3","GOBP_MONONUCLEAR_CELL_MIGRATION",0.0394142703334067,"mononuclear cell migration"
"LS_3","GOBP_LEUKOCYTE_CHEMOTAXIS",0.0394142703334067,"leukocyte chemotaxis"
"LS_3","GOBP_MONOCYTE_ACTIVATION",0.0394142703334067,"monocyte activation"
"LS_3","GOBP_POSITIVE_REGULATION_OF_MEMBRANE_DEPOLARIZATION",0.0394142703334067,"positive regulation of membrane depolarization"
"LS_3","GOBP_MYELOID_LEUKOCYTE_MIGRATION",0.0394142703334067,"myeloid leukocyte migration"
"LS_3","GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE",0.0394142703334067,"production of molecular mediator of immune response"
"LS_3","GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION",0.040394831886248,"av node cell to bundle of his cell communication"
"LS_3","GOBP_NEUTROPHIL_EXTRAVASATION",0.040394831886248,"neutrophil extravasation"
"LS_3","GOBP_PHOSPHOLIPID_EFFLUX",0.040394831886248,"phospholipid efflux"
"LS_3","GOBP_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS",0.040394831886248,"regulation of triglyceride catabolic process"
"LS_3","GOBP_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION",0.0415211058145021,"bundle of his cell to purkinje myocyte communication"
"LS_3","GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS",0.0415211058145021,"induction of positive chemotaxis"
"LS_3","GOBP_LIPOPROTEIN_CATABOLIC_PROCESS",0.0415211058145021,"lipoprotein catabolic process"
"LS_3","GOBP_POSITIVE_REGULATION_OF_MHC_CLASS_II_BIOSYNTHETIC_PROCESS",0.0415211058145021,"positive regulation of mhc class ii biosynthetic process"
"LS_3","GOBP_MYELOID_LEUKOCYTE_ACTIVATION",0.0417479358854867,"myeloid leukocyte activation"
"LS_3","GOBP_EMBRYONIC_SKELETAL_JOINT_DEVELOPMENT",0.0417479358854867,"embryonic skeletal joint development"
"LS_3","GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS",0.0417479358854867,"positive regulation of phospholipid metabolic process"
"LS_3","GOBP_REGULATION_OF_LEUKOCYTE_TETHERING_OR_ROLLING",0.0417479358854867,"regulation of leukocyte tethering or rolling"
"LS_3","GOBP_RESPONSE_TO_YEAST",0.0417479358854867,"response to yeast"
"LS_3","GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_REMODELING",0.0417479358854867,"triglyceride rich lipoprotein particle remodeling"
"LS_3","GOBP_OSTEOBLAST_DIFFERENTIATION",0.0424915767202664,"osteoblast differentiation"
"LS_3","GOBP_CELL_KILLING",0.0424915767202664,"cell killing"
"LS_3","GOBP_EMBRYONIC_DIGESTIVE_TRACT_MORPHOGENESIS",0.0448091921225943,"embryonic digestive tract morphogenesis"
"LS_3","GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE",0.0448091921225943,"high density lipoprotein particle clearance"
"LS_3","GOBP_REGULATION_OF_ADIPOSE_TISSUE_DEVELOPMENT",0.0448091921225943,"regulation of adipose tissue development"
"LS_3","GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM",0.0451719843356461,"vascular process in circulatory system"
"LS_3","GOBP_CELLULAR_RESPONSE_TO_ATP",0.046031374585499,"cellular response to atp"
"LS_3","GOBP_MEMBRANE_REPOLARIZATION_DURING_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL",0.046031374585499,"membrane repolarization during ventricular cardiac muscle cell action potential"
"LS_3","GOBP_MHC_CLASS_II_BIOSYNTHETIC_PROCESS",0.047599505319572,"mhc class ii biosynthetic process"
"LS_3","GOBP_NEGATIVE_REGULATION_OF_BONE_MINERALIZATION",0.047599505319572,"negative regulation of bone mineralization"
"LS_3","GOBP_CELL_CELL_JUNCTION_MAINTENANCE",0.0482874331508224,"cell cell junction maintenance"
"LS_3","GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_SLEEP",0.0482874331508224,"circadian sleep wake cycle sleep"
"LS_3","GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE",0.0482874331508224,"leukocyte migration involved in inflammatory response"
"LS_3","GOBP_REVERSE_CHOLESTEROL_TRANSPORT",0.0482874331508224,"reverse cholesterol transport"
"LS_3","GOBP_NEGATIVE_REGULATION_OF_PHAGOCYTOSIS",0.0493305712165866,"negative regulation of phagocytosis"
"LS_3","GOBP_POSITIVE_REGULATION_OF_MUSCLE_ORGAN_DEVELOPMENT",0.0493305712165866,"positive regulation of muscle organ development"
"LS_3","GOBP_REGULATION_OF_CIRCADIAN_SLEEP_WAKE_CYCLE",0.0493305712165866,"regulation of circadian sleep wake cycle"
"LS_3","GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT",0.0499231635144863,"atrial cardiac muscle tissue development"
"LS_3","GOBP_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL",0.0499231635144863,"membrane depolarization during cardiac muscle cell action potential"
"LS_3","GOBP_NEGATIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE",0.0499231635144863,"negative regulation of lipoprotein particle clearance"
"LS_3","GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS",0.0499231635144863,"positive regulation of triglyceride metabolic process"
"LS_3","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS",0.0508695453393557,"positive regulation of fatty acid biosynthetic process"
"LS_3","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL",0.0508695453393557,"positive regulation of leukocyte adhesion to vascular endothelial cell"
"LS_3","GOBP_POTASSIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE",0.0508695453393557,"potassium ion export across plasma membrane"
"LS_3","GOBP_CELL_CHEMOTAXIS",0.0514889027370016,"cell chemotaxis"
"LS_3","GOBP_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT",0.0514889027370016,"regulation of skeletal muscle tissue development"
"LS_3","GOBP_REGULATION_OF_VENTRICULAR_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION",0.0514889027370016,"regulation of ventricular cardiac muscle cell membrane repolarization"
"LS_3","GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS",0.0514889027370016,"organic acid biosynthetic process"
