subtype,n,LS,mean_pct,pval,fdr,neglog10fdr,label
Normal,296,LS_15,1.3962319044013647,0.011926030323144283,0.06296944010620181,1.2008701682172007,LS15  Erythroid
Normal,296,LS_16,2.389602119888651,0.33499082822542386,0.794658291192507,0.09981958096863583,LS16  B/plasma
Normal,296,LS_17,3.2686132101311527,4.283078672510136e-05,0.0005025478975745226,3.298822539557259,LS17  Megakaryocyte
Normal,296,LS_18,1.246357705149531,0.9765942393212401,1.0,-0.0,LS18  unresolved
Normal,296,LS_19,2.9683023280349863,4.568075963105995e-05,0.0005243356757652099,3.2803905919127154,LS19  unresolved
Normal,296,LS_20,2.779450800001359,0.007119321116329472,0.043206914361171966,1.3644467478930293,LS20  Cell-cycle
Normal,296,LS_21,1.2665480535339229,1.4157884337055125e-06,1.967200771043449e-05,4.706151314047781,LS21  unresolved
Normal,296,LS_22,1.8542941717339663,0.4345715288705885,0.960057603530003,0.017702708476373636,LS22  GMP
Normal,296,LS_23,0.9176582263716813,0.9188970587697016,1.0,-0.0,LS23  unresolved
Normal,296,LS_24,1.0291227858492966,0.0007417748250517403,0.006317050123021272,2.199485677155783,LS24  unresolved
Normal,296,LS_25,0.8086705724975914,0.06565005996582789,0.2530162895033367,0.5968515175053025,LS25  T/NK
Normal,296,LS_26,2.887414401585026,0.029408552988278127,0.13620803489307765,0.8657972726963509,LS26  GMP
Normal,296,LS_27,3.11693011270528,0.0003779987586032014,0.003533234235751655,2.451827570059542,LS27  unresolved
Normal,296,LS_28,1.3946430809080952,0.9539468179958253,1.0,-0.0,LS28  cDC
Normal,296,LS_29,1.9137704724080309,0.4647091958223155,1.0,-0.0,LS29  B/plasma
Normal,296,LS_30,5.678601313919471,0.21240754860280775,0.5727453219188913,0.24203844936354704,LS30  T/NK
Normal,296,LS_31,1.5552116633652244,0.9805998642592602,1.0,-0.0,LS31  unresolved
Normal,296,LS_32,0.9466794599306197,9.376346236675519e-08,1.4560914155778452e-06,5.836811358515606,LS32  HSC/MPP
Normal,296,LS_33,1.179103380067943,0.2567338572291846,0.667760968556697,0.17537896958210478,LS33  unresolved
Normal,296,LS_34,1.3377547602273154,0.9972597015215102,1.0,-0.0,LS34  Cell-cycle
Normal,296,LS_35,1.7819408119238143,0.40866469318206744,0.918191310638858,0.03706682152365923,LS35  unresolved
Normal,296,LS_36,2.113693303101427,0.6136947928675316,1.0,-0.0,LS36  Neutrophil
Normal,296,LS_37,0.43917892521369695,0.8670601148565559,1.0,-0.0,LS37  Cell-cycle
Normal,296,LS_38,2.4475878082159475,0.9388029717006972,1.0,-0.0,LS38  B/plasma
Normal,296,LS_39,1.777371358085596,0.9637683026677866,1.0,-0.0,LS39  unresolved
Normal,296,LS_40,1.0030593827819219,0.04867311505858824,0.2007765996166765,0.6972869053196199,LS40  unresolved
Normal,296,LS_41,1.509160531115168,0.9993778668130405,1.0,-0.0,LS41  unresolved
Normal,296,LS_42,1.8173261648503765,0.7787580571982208,1.0,-0.0,LS42  HSC/MPP
Normal,296,LS_43,3.5581939404104155,0.9183233784391898,1.0,-0.0,LS43  Monocyte
Normal,296,LS_44,7.606398134340332,6.386929039192272e-05,0.0007175103261050041,3.14417184436658,LS44  unresolved
Normal,296,LS_45,0.24166390204924085,0.9925678431038958,1.0,-0.0,LS45  Macrophage
Normal,296,LS_46,1.6657484711875332,0.9999999999994781,1.0,-0.0,LS46  GMP
Normal,296,LS_47,1.8623541879271441,0.9999186306292327,1.0,-0.0,LS47  Macrophage
Normal,296,LS_48,2.345489541591286,0.9999968619390018,1.0,-0.0,LS48  unresolved
Other,184,LS_1,3.3590132927400833,0.08954086570413106,0.32161617069238907,0.49266212327583214,LS1  Erythroid
Other,184,LS_2,1.4607175759203948,0.9145606323324247,1.0,-0.0,LS2  unresolved
Other,184,LS_3,1.9111246369054393,0.997202477422395,1.0,-0.0,LS3  unresolved
Other,184,LS_4,1.4954148193516905,0.8326536411850327,1.0,-0.0,LS4  Cell-cycle
Other,184,LS_5,0.27915753693815404,0.9642771270999649,1.0,-0.0,LS5  Macrophage
Other,184,LS_6,4.418331612320759,1.948045184140527e-09,3.809510582319253e-08,7.419130815676356,LS6  B/plasma
Other,184,LS_7,2.0255446533960715,0.8220639360223605,1.0,-0.0,LS7  B/plasma
Other,184,LS_8,2.981346554270805,0.9998640270913085,1.0,-0.0,LS8  GMP
Other,184,LS_9,6.548909102601312,0.30780824739522894,0.748952786288852,0.12554555920375268,LS9  unresolved
Other,184,LS_10,0.25552901289709257,0.5256631410932744,1.0,-0.0,LS10  GMP
Other,184,LS_11,1.1290353693263242,0.34939119695078824,0.8221184189775422,0.08506562162735443,LS11  Cell-cycle
Other,184,LS_12,1.7364828966022205,0.8327802908635102,1.0,-0.0,LS12  HSC/MPP
