LS,LSn,LSC_Eppert,HSC,prognosis
LS42,42,0.22103352700510331,0.13855579544519142,ns
LS42,42,0.14901487183761492,0.042484662815787166,ns
LS3,3,0.07357795237837528,-0.0447810225160715,ns
LS37,37,-0.02620929300472824,-0.01189633970461143,ns
LS42,42,0.5247889356505355,0.24578419748955527,ns
LS2,2,0.054710886187220795,-0.03339609451247477,favorable
LS42,42,0.2670251905737352,0.1149822832334535,ns
LS42,42,0.06381037007161725,0.0014477262834858284,ns
LS3,3,0.0005433858509132083,-0.08860039491533735,ns
LS1,1,0.15654113491869248,-0.010647599251743446,favorable
LS1,1,0.12159168841853957,0.08799928415946097,favorable
LS42,42,0.09161450154925299,0.15347511952575324,ns
LS24,24,0.03578785059371206,0.06835732424412608,ns
LS34,34,0.061318276833659646,-0.017935471418304066,ns
LS1,1,0.03845993191340688,-0.021082803267466865,favorable
LS13,13,0.041472869633247866,-0.1180864022865455,ns
LS42,42,0.3110098301098963,0.194779645080227,ns
LS11,11,0.0971192285513004,-0.10592136632574736,ns
LS3,3,0.07394240636749308,-0.07755458943514644,ns
LS13,13,0.05516512176370636,-0.16856766279190377,ns
LS42,42,0.17782525145912226,0.0939257030447663,ns
LS3,3,0.14626473594310033,-0.06379817374006026,ns
LS37,37,0.15744488371414425,0.05740848587930761,ns
LS37,37,0.09282604182821547,-0.08702238420391795,ns
LS17,17,-0.018647814704131432,-0.02292984750372999,ns
LS37,37,0.013718480146190898,-0.12276515285378196,ns
LS42,42,0.19372309328998977,0.09754173267090335,ns
LS13,13,-0.04224519490341132,-0.06393250022473196,ns
LS5,5,-0.044516383303339124,-0.14011950632518305,ns
LS37,37,0.06420790685712058,0.02825892034093931,ns
LS20,20,0.08710822080954525,-0.08794680742330771,poor
LS30,30,0.02727503075821852,-0.014156726962220312,ns
LS3,3,0.11099827989652394,-0.09243316011947568,ns
LS3,3,0.08662696630132406,0.03897569855481448,ns
LS42,42,0.3520615385490441,0.030920353161064423,ns
LS37,37,0.011920724389702292,-0.08258622939616567,ns
LS37,37,0.04191256792117387,-0.08365653546380136,ns
LS1,1,0.1802316344339788,-0.09140011456222215,favorable
LS42,42,0.38047363306492005,0.1660198147623577,ns
LS3,3,0.15971152907992844,-0.09912275370194822,ns
LS37,37,0.010609054880954677,-0.07333312479092607,ns
LS42,42,0.08460292390203358,0.12604495924816353,ns
LS37,37,0.07214147432599147,-0.12280602805424175,ns
LS37,37,-0.033163726444838615,-0.03383816525653399,ns
LS42,42,0.30676877127227486,0.10126154770140716,ns
LS42,42,0.45237151367591366,0.16401749002713156,ns
LS34,34,0.10829368004432091,-0.11162638645051907,ns
LS3,3,-0.0026529499871164874,-0.040122874604778695,ns
LS42,42,0.2113688026935166,0.1707788920883632,ns
LS11,11,0.0047717960800452985,-0.07406618241681417,ns
LS37,37,0.009846568206206538,-0.045910109312413995,ns
LS34,34,0.24297179102996247,-0.09681521507840207,ns
LS42,42,0.2313604446886524,0.10745902850677022,ns
LS37,37,0.04935363767427747,0.030557795794773746,ns
LS13,13,0.05025402139559046,-0.1608498610718309,ns
LS42,42,0.31781074012775273,0.19956100695807893,ns
LS3,3,0.1275566149454719,0.008415822627704642,ns
LS42,42,0.16879174437837097,0.09438534388065617,ns
LS17,17,-0.023905642866792504,0.04525112805998645,ns
LS34,34,0.10555842956761735,-0.18367590821904972,ns
LS42,42,0.3368926404559123,0.22219420281969815,ns
LS3,3,0.03147615149292632,-0.005002398617432645,ns
LS37,37,0.013630488111455452,-0.13839535134354233,ns
LS42,42,0.21409415725442968,0.09871076672052304,ns
LS37,37,-0.03011933088236879,-0.13206505687312173,ns
LS30,30,0.007542201037705351,-0.045798297706508236,ns
LS37,37,-0.08381688407475146,-0.0701860667979728,ns
LS37,37,0.1527339902698484,-0.04524538555764514,ns
LS37,37,0.040666674331820724,-0.10608197455625654,ns
LS42,42,0.2819732979437126,0.07052767646368904,ns
LS17,17,-0.03873134573070608,-0.032487987071602456,ns
LS30,30,0.0007370606183939865,-0.033278432550789425,ns
LS42,42,0.23189659423659847,0.19500061832401916,ns
LS3,3,0.025844462489108933,-0.11083686860535434,ns
LS42,42,0.24250571011905336,0.05406117612770958,ns
LS42,42,0.16068858695418048,-0.02760842994426077,ns
LS3,3,-0.02342335028131705,0.046208147873572136,ns
LS37,37,0.026976737103121706,-0.0612345781917763,ns
LS11,11,0.024991941806991963,-0.13858079622625377,ns
LS42,42,0.22452521501640527,0.0784015642385047,ns
LS3,3,0.032226535680374896,-0.06900650088258369,ns
LS42,42,0.24950176498795926,0.14988910179447304,ns
LS42,42,0.1712604866627329,0.13772592933985728,ns
LS37,37,-0.0073495451530412315,-0.06509483050102968,ns
LS17,17,0.06104417395453693,-0.04841643281864619,ns
LS37,37,0.1097398147393693,-0.11887112541677562,ns
LS38,38,0.1280011244637926,-0.16497728341616133,ns
LS37,37,0.09096548555309464,-0.08919271684590743,ns
LS42,42,0.3237056558638984,0.1395323108297101,ns
LS38,38,0.25061030318199984,-0.05122395307291275,ns
LS3,3,0.053734741757847496,-0.10936560211820083,ns
LS38,38,0.1475461155775989,-0.12203568394460274,ns
LS42,42,0.10980844090127534,-0.07511911367462146,ns
LS37,37,0.10761725018430027,-0.09351341614663353,ns
LS42,42,0.1371428534647371,0.06780257327318837,ns
LS24,24,-0.002240295084113761,0.03072647735493067,ns
LS3,3,0.03173379763973164,-0.06705092426124477,ns
LS27,27,0.20695025788741825,-0.06908292251650758,favorable
LS1,1,0.06524042613847479,-0.07325883809492678,favorable
LS17,17,-0.033572259539574476,0.055505853936515755,ns
LS37,37,0.05057858671404489,-0.08075075668271117,ns
LS37,37,0.03903071085611978,-0.14117169878971628,ns
LS24,24,0.20106863416782714,-0.017275699635480368,ns
LS42,42,0.13020066817930193,0.17214616474777733,ns
LS42,42,0.2708044280879649,0.2211424964810635,ns
LS13,13,-0.003358358189130828,-0.18710881317010983,ns
LS37,37,-0.02416130383546472,-0.07008829829513658,ns
LS11,11,0.07404259659877846,-0.18770399540891639,ns
LS1,1,0.0756358847921796,-0.014835176808331123,favorable
LS42,42,0.3518302208600965,0.021294411460787976,ns
LS30,30,0.05899733802915311,-0.05612538311038379,ns
LS42,42,0.04961868866698815,-0.04753566443127763,ns
LS37,37,0.05621087258598975,-0.12940612537591528,ns
LS24,24,0.006784756452477864,-0.016689459157882808,ns
LS37,37,0.040005626315613,0.006084099521033864,ns
LS9,9,0.06399325572461637,-0.08428781421613493,poor
LS3,3,-0.0072602544699880145,-0.10400528528700313,ns
LS37,37,0.02353808358578699,-0.09330375384087343,ns
LS42,42,0.23887588946918564,0.09515164869643958,ns
