LS,program,z,lab,group,dir,HR,p
LS_25,T/NK,1.1621927,LS25  T/NK,Poor,poor,1.122,0.0056392944510229
LS_21,T/NK,-0.33605185,LS21,Poor,poor,1.112,0.0091750470408152
LS_9,T/NK,0.29151088,LS9,Poor,poor,1.115,0.0146850369765446
LS_20,T/NK,0.8203298,LS20  Cell-cycle,Poor,poor,1.102,0.0253272100154547
LS_35,B/plasma,0.3300058,LS35,Favorable,favorable,0.685,3.38477648497878e-10
LS_8,B/plasma,-0.1470249,LS8  GMP,Favorable,favorable,0.723,3.97117003041978e-07
LS_1,B/plasma,0.6245896,LS1  Erythroid,Favorable,favorable,0.863,0.0038578431012638
LS_27,B/plasma,-0.2981913,LS27,Favorable,favorable,0.868,0.0039019047326213
LS_46,B/plasma,0.2217284,LS46  GMP,Favorable,favorable,0.889,0.0211755567844702
LS_2,B/plasma,0.014633402,LS2,Favorable,favorable,0.896,0.0286140270493451
LS_40,B/plasma,-0.7725868,LS40,Poor,poor,1.167,2.94831253999638e-05
LS_18,B/plasma,-0.7843505,LS18,Poor,poor,1.175,0.0001041946247685
LS_19,B/plasma,0.6613159,LS19,Poor,poor,1.144,0.001073258976889
LS_28,B/plasma,0.052153707,LS28  cDC,Poor,poor,1.137,0.0015005865258544
LS_25,B/plasma,-0.6087298,LS25  T/NK,Poor,poor,1.122,0.0056392944510229
LS_21,B/plasma,0.5517703,LS21,Poor,poor,1.112,0.0091750470408152
LS_9,B/plasma,-0.1813583,LS9,Poor,poor,1.115,0.0146850369765446
LS_20,B/plasma,0.16858622,LS20  Cell-cycle,Poor,poor,1.102,0.0253272100154547
LS_35,Erythroid,-0.31246555,LS35,Favorable,favorable,0.685,3.38477648497878e-10
LS_8,Erythroid,-0.28850922,LS8  GMP,Favorable,favorable,0.723,3.97117003041978e-07
LS_1,Erythroid,1.6457418,LS1  Erythroid,Favorable,favorable,0.863,0.0038578431012638
LS_27,Erythroid,0.79041284,LS27,Favorable,favorable,0.868,0.0039019047326213
LS_46,Erythroid,-0.2740629,LS46  GMP,Favorable,favorable,0.889,0.0211755567844702
LS_2,Erythroid,-0.3607323,LS2,Favorable,favorable,0.896,0.0286140270493451
LS_40,Erythroid,-0.45869556,LS40,Poor,poor,1.167,2.94831253999638e-05
LS_18,Erythroid,-0.7058019,LS18,Poor,poor,1.175,0.0001041946247685
LS_19,Erythroid,-0.6244498,LS19,Poor,poor,1.144,0.001073258976889
LS_28,Erythroid,-0.8060189,LS28  cDC,Poor,poor,1.137,0.0015005865258544
LS_25,Erythroid,-0.6986514,LS25  T/NK,Poor,poor,1.122,0.0056392944510229
LS_21,Erythroid,-0.3472253,LS21,Poor,poor,1.112,0.0091750470408152
LS_9,Erythroid,-0.14124815,LS9,Poor,poor,1.115,0.0146850369765446
LS_20,Erythroid,0.8197263,LS20  Cell-cycle,Poor,poor,1.102,0.0253272100154547
LS_35,Megakaryocyte,-0.5902448,LS35,Favorable,favorable,0.685,3.38477648497878e-10
LS_8,Megakaryocyte,-0.20774649,LS8  GMP,Favorable,favorable,0.723,3.97117003041978e-07
LS_1,Megakaryocyte,0.26799357,LS1  Erythroid,Favorable,favorable,0.863,0.0038578431012638
