gene,log2FC,padj
EPCAM,3.0250714,2.571158571370282e-19
LINC00958,2.5756624,2.850691017954972e-19
MAST4,0.65537757,3.009190553322733e-19
CLN6,0.477215,5.205177481214499e-19
PDGFC,0.76927435,5.9920722577852605e-19
FLI1,0.4280789,7.894910109219175e-19
RAB7B,0.5166171,8.044979878430158e-19
ZAP70,0.72202677,8.440764722546489e-19
NR1H3,0.77951133,9.01167531597527e-19
MIR222HG,0.8137942,1.0063608540084527e-18
OAF,0.52494085,1.0984620174727029e-18
TRAF3IP2,0.76854897,1.3867229693781e-18
AC125603.2,0.4771552,1.4695841873580208e-18
CDK17,0.6721007,2.129930007183164e-18
TFEC,0.48647547,2.6000697853179882e-18
JAK3,0.47990665,2.8456341148259267e-18
FTX,0.66819936,3.0909825490685785e-18
ESYT1,0.41220325,3.678276401735307e-18
CD200,0.66110206,4.1892729000098255e-18
DISC1,0.8344368,5.596332990502046e-18
MATR3-1,0.88406,5.778833881010925e-18
CHD7,1.1797678,6.704484687153243e-18
RIMKLB,0.70956415,7.925498449956088e-18
NCOA7,0.5344786,1.0478294431500716e-17
PLEKHA5,0.6286754,1.1760724658387809e-17
TTC17,0.41063505,1.2568384484389223e-17
C2CD2,0.8352802,1.413434251922164e-17
SDE2,0.5755222,1.5932521837414377e-17
NAT14,0.8775582,1.640829125396287e-17
RRP12,0.46188638,1.7255629278112255e-17
PLIN2,0.39200374,1.990903040781039e-17
TNFRSF1A,0.37030497,2.0440965395112754e-17
ARHGAP15,0.46618885,2.0624897024741567e-17
MICALL2,0.6000173,2.2986395046064898e-17
MED13L,0.41548574,2.5301580485130113e-17
ACSS1,0.53074235,3.293070054645891e-17
PNN,0.30828696,3.345832916945349e-17
TSC2,0.501278,3.4857476554733195e-17
ZNF467,0.6150134,3.687780440184971e-17
KIF9,0.45565522,4.1398600770863676e-17
CD19,2.2030957,4.2814740906260815e-17
SSBP2,0.41120857,4.32595325954817e-17
SLC39A3,0.33746365,5.157639500712371e-17
PRKCH,0.94604564,5.701464616287126e-17
RREB1,0.47054112,5.978648765973014e-17
NBL1,1.670542,6.217575086089368e-17
CDS2,0.5555052,7.064491664660875e-17
DEPTOR,0.6197859,7.703088889996999e-17
TLE4,0.49688873,8.470938884437611e-17
GNAQ,0.3670979,9.723938107983323e-17
DOK3,0.46729967,1.0526347474122553e-16
STAR,0.9034067,1.162261880539804e-16
PRELID2,0.883038,1.3015396969180748e-16
SERPINB9,1.0707968,1.4209669225689184e-16
ORAI2,0.41510892,1.5821147592159976e-16
RASGEF1B,1.3007896,1.6623928101600393e-16
RALGAPA2,0.58288103,1.7949506802836738e-16
BLVRA,0.46363232,1.9010427820528895e-16
SLC38A1,0.50009656,1.9796278669802081e-16
PIEZO1,0.35823265,2.5827699381987733e-16
ECPAS,0.51196617,3.092023571756068e-16
SCML2,1.0303649,3.1824566845820196e-16
NUTM2B-AS1,0.49207747,3.3733769999053746e-16
CSNK1E,0.46517035,3.4473918462983314e-16
TM7SF3,0.3494913,3.5077280456447533e-16
MTSS1,1.1723397,3.7984960379169117e-16
NREP,0.33345327,3.954344228560186e-16
SH3PXD2A,1.080091,3.994369082361111e-16
SLC27A2,1.4049007,4.009679392397931e-16
TUT4,0.43454912,6.685472796780287e-16
KLF6,0.10754984,8.156561429952663e-16
ANGPT1,0.5147218,8.290404560439779e-16
CASS4,1.209463,8.439930412835879e-16
SRBD1,0.6422061,8.468134249061099e-16
FAM171A1,2.7721028,8.468134249061099e-16
EIF2A,0.340795,1.014944958817913e-15
SLC24A3,1.2814256,1.080860907051392e-15
DENND11,0.6468978,1.090489309463922e-15
KIF26B,1.8260236,1.3661707546890296e-15
HSPA8,0.1336206,1.7622842898698162e-15
UXS1,0.50125957,1.9882695002887578e-15
S100A16,1.5342771,2.0024912557494345e-15
MYO18A,0.41144627,2.0558936402879477e-15
NR4A2,0.67864144,2.121393465287601e-15
ETF1,0.44877258,2.277627820069941e-15
EPS15,0.40563515,2.39553474614632e-15
ACCS,0.45772588,2.474431573589536e-15
TTC14,0.48094833,2.9269251439340703e-15
HNRNPU,0.09708453,3.4992752180993004e-15
ALS2,0.8648927,3.9039658189156675e-15
TAOK3,0.36938068,3.9173788191640236e-15
ZCCHC7,0.42717722,4.216869871484651e-15
LDB1,0.4998829,4.40994066888514e-15
TCF4,0.4469158,4.802102065259234e-15
IMMP2L,0.7085263,5.643068606784199e-15
IRAK3,0.39887035,5.947244360342004e-15
AC253572.2,0.6775682,5.968814897041606e-15
C1orf21,0.8077317,6.216977048869596e-15
HIST1H1E,0.32828072,6.6768342857610876e-15
JPX,0.43394792,6.984027444373486e-15
LYL1,0.26528794,8.381425430452574e-15
ODF2L,0.48605397,8.60891810090249e-15
PHC1,0.74270916,9.72496172319641e-15
PPP1R10,0.3962855,1.0239498767666869e-14
ESAM,1.9696791,1.0251661411926882e-14
TNFAIP8L1,0.7276816,1.0889434905060954e-14
KLF3,0.43031922,1.1156130566653877e-14
BIK,0.67067295,1.2229620721776437e-14
HNRNPDL,0.14322744,1.4667002431957856e-14
AL031123.5,2.43241,1.7242813890699433e-14
NFAT5,0.5416004,1.7912072448866395e-14
N4BP2L1,0.43935108,1.808561230185934e-14
GABPB1-AS1,0.38250664,2.0074544967699922e-14
ARHGEF6,0.39090598,2.049756604331369e-14
WIPF1,0.3762432,2.161889450929565e-14
GNA15,0.29806092,2.2086746821900412e-14
IVNS1ABP,0.5379369,3.2552694793917187e-14
CAV1,1.5457697,3.4430279794842066e-14
RERE,0.42858064,3.4945244240453623e-14
HIF1A,0.38172504,3.688745124569464e-14
WHRN,1.6435124,4.156803021433566e-14
SLC35D2,0.6198922,4.3708337648581576e-14
CNOT2,0.40828326,4.379854725411028e-14
PCNX1,0.49247214,4.852569045747939e-14
TPSD1,1.7278024,4.8585549986390203e-14
RRAGD,0.48508227,5.12186630525128e-14
CHD1,0.3851428,5.294338175016864e-14
TPSB2,1.2980164,5.44445214437008e-14
TBC1D5,0.4258149,5.63714369499105e-14
POLR2J3,0.43203974,5.66136723989972e-14
RCN1,0.37681016,5.97132038182917e-14
SOCS3,0.8164457,6.038483525207649e-14
VPS37A,0.46522877,6.105167167615248e-14
DYM,0.43728206,6.624422883301127e-14
SNHG29,-0.27016786,6.658519865965871e-14
MEGF10,3.027073,7.40894690851016e-14
ADGRB1,2.2556264,7.747780810053992e-14
RANBP9,0.48104668,8.154519082383743e-14
ITPR2,0.40323097,1.0667143183657003e-13
WRNIP1,0.3792294,1.0774221637360967e-13
GOLIM4,0.429015,1.197543224818497e-13
GPR12,2.2518084,1.428900770551986e-13
PTPN14,1.6568375,1.455473689721433e-13
ELMSAN1,0.47305283,1.6049792710051698e-13
SLC18A2,2.087819,1.8451154271210875e-13
PIK3R1,0.35099772,1.94231054107726e-13
TMEM263,0.58973867,2.0111948207296757e-13
KIAA1549,1.6520443,2.3347371245557846e-13
ZNF721,0.7650204,2.3485693750110195e-13
RAB11FIP3,0.95157105,2.4430025386373466e-13
LDHB,0.01929759,2.544263921933992e-13
STK32B,1.7415808,2.745897802929683e-13
ARID1B,0.38250047,2.9161613960613635e-13
ZNF496,0.5412722,3.0377464063350165e-13
FCHSD2,0.46346936,3.0761210912589317e-13
PER1,0.42119992,3.203193751151436e-13
MSRA,0.4279295,3.5390050109492755e-13
DGKG,0.6394973,3.615344158627789e-13
FARSA,0.31134194,3.659199234391978e-13
CDKN1C,0.8645782,3.9291522524029266e-13
MLC1,0.4470394,4.817913778892944e-13
LHFPL2,1.0249537,4.84500228280667e-13
MMP25-AS1,0.968063,4.880956430924842e-13
PPP1R15A,0.17628027,5.035046125369468e-13
LINC00539,0.4279604,5.250014266429848e-13
SHD,2.5155208,5.884624329583681e-13
BRAF,0.5945455,5.993022865089445e-13
MMP14,1.675015,5.993022865089445e-13
KMT2A,0.3216886,6.731254211584048e-13
NFKB1,0.46780828,6.857264397823375e-13
PYGL,0.30774134,7.016938542412669e-13
PAICS,0.37482688,7.288384361773995e-13
ADNP,0.42904136,8.13703347858589e-13
MRPS27,0.4022845,8.861339160317691e-13
PKD2,0.590579,9.16112526971644e-13
ACOT11,1.0357586,9.50709798514391e-13
CLEC11A,0.12556525,1.0220712315134502e-12
TPM4,0.2381163,1.0892845703245765e-12
HK2,0.5858879,1.1927767277321255e-12
CRACR2B,1.2269456,1.260720082130095e-12
ARID2,0.5473454,1.2788477497957937e-12
PIM2,0.5901119,1.4266610345147913e-12
NR4A3,1.6984564,1.433091276328813e-12
ROBO3,0.83910346,1.5883428070381435e-12
CAPN11,1.3851756,1.6390201361681644e-12
SLC5A3,0.6381643,1.768149954673413e-12
LMAN1,0.32766694,1.9056562190991916e-12
MYB,0.29446402,1.928056201643898e-12
CCNL1,0.25144005,2.018748309779751e-12
TRIM58,0.4759979,2.0826182871526614e-12
RGCC,0.38400692,2.1456713736509032e-12
FHL3,0.3523741,2.439434376580478e-12
NOB1,0.3442979,2.4697635770647218e-12
LAMA5,0.7523088,2.5689035940762803e-12
STRBP,0.48571995,2.655279013722627e-12
RAD23B,0.33523092,2.8119668766893908e-12
PIKFYVE,0.41251755,3.1287786996351568e-12
HPGDS,0.5917125,3.390090475174859e-12
GPSM2,0.6075068,3.4834055785093213e-12
STEAP3,1.0489762,3.545846618952768e-12
IGKV2-24,2.210044,3.6631878273476955e-12
IKBKE,0.53586376,3.823642882011932e-12
CPNE2,0.38215706,4.0080159517923285e-12
AKAP9,0.31402558,4.165367337529274e-12
USP24,0.45828718,4.629118085849611e-12
MAT2A,0.32273594,4.865761213110439e-12
EXOC4,0.46056738,4.865761213110439e-12
LAMB2,0.8806776,4.939365672353805e-12
GNL1,0.47806263,5.09241818650374e-12
APEX1,0.12754102,5.345598521780628e-12
CASC15,0.8591277,5.4583533877452595e-12
CHST11,0.3555548,5.7128387061782316e-12
ZG16B,0.86793274,6.436059106327869e-12
CDCA7L,0.34130943,6.65024121056973e-12
ZBTB10,0.5887539,6.946082540730834e-12
TRAP1,0.4363659,7.1085449264249514e-12
MRPL45,0.34299687,7.334094361305466e-12
MYO5C,0.7775285,8.353443830012552e-12
KIF2A,0.35533097,9.079104240143262e-12
KDM5C,0.35204056,9.734831678951054e-12
THRA,0.63329244,1.0000182291182574e-11
CUL3,0.39842597,1.0800147927841139e-11
AL021155.5,0.63532436,1.1781806987670336e-11
MTF2,0.33607867,1.2395538341503863e-11
CACNA1C-AS1,1.0964568,1.2856139868050337e-11
CCDC14,0.55149066,1.38062949985501e-11
MARC2,2.1734393,1.3809352310019225e-11
CD47,0.31412688,1.4055491797928591e-11
ZNF644,0.40063354,1.4604502552960618e-11
AC119396.1,0.4237332,1.4739352691430024e-11
PTK7,0.7528952,1.4810095760107563e-11
LMBR1,0.5488965,1.7288828427018024e-11
ERF,0.5494598,1.7840070662199932e-11
KCNK17,0.7116968,1.8133945908429923e-11
BMP2K,0.600125,1.900197993668469e-11
ABRAXAS1,0.41826493,1.923802126300669e-11
NT5E,1.5275215,2.0388980260997626e-11
RPH3AL,1.7905796,2.0719057714753338e-11
IARS,0.3721648,2.2709693440636168e-11
MED12,0.43299553,2.4543368681252526e-11
SEPTIN5,1.045385,2.9252783532181446e-11
SNX9,0.9905506,2.9720798716157837e-11
SREK1,0.3693888,3.056085484996377e-11
MEF2A,0.4443838,3.0780452212777496e-11
IPO7,0.3608682,3.181145274602983e-11
KIAA1211,1.64107,3.234071787015492e-11
TFAP4,0.50221336,3.472138555511593e-11
STMN1,0.24438363,3.6117859418590954e-11
