marker,cd96,val,subtype
CD9,2.2203762883427762,6.841715486489335,KMT2Ar
CD9,6.376221596096537,3.9569932709080695,Other
CD9,5.700777909589986,4.1479232828347445,inv(16)
CD9,7.759354995919278,4.131301097937427,CN
CD9,7.496740571612701,3.5778982809967252,t(8;21)
CD9,1.8892017315985015,7.7239594229757085,KMT2Ar
CD9,7.348342630837619,3.54182944075154,Other
CD9,5.591952603009504,3.7056370770780473,t(8;21)
CD9,3.9663261394272515,4.57722613101357,KMT2Ar
CD9,4.058060437864339,3.9368745040276076,CN
CD9,5.935058437348345,6.723232451325175,inv(16)
CD9,8.21391909247856,3.161536188915502,CN
CD9,4.711294964472639,4.248518117226782,KMT2Ar
CD9,3.017206874917324,4.893145398960632,KMT2Ar
CD9,5.870037753842901,3.496118249509293,KMT2Ar
CD9,6.072307064307203,3.937687828110611,CN
CD9,7.228409728173266,6.106708967320067,PML-RARA
CD9,5.972527460919052,4.288199287304098,Other
CD9,8.366061242817105,1.7740476189154177,CN
CD9,4.9448330440131,2.077777242444782,CN
CD9,9.03197761350627,2.4392943208438376,CN
CD9,4.768159482734677,3.9051076037688075,CN
CD9,6.98097447189516,4.541279551545336,t(8;21)
CD9,4.387842291683821,3.5684497127035315,CN
CD9,6.1420005838469205,5.376251914601039,Other
CD9,7.128833249913895,2.5802044157329886,t(8;21)
CD9,4.273686231207104,3.336250686539918,KMT2Ar
CD9,6.296928271931177,3.9384522674618787,Other
CD9,5.136400623903454,5.165758207894023,Other
CD9,7.185014321745152,6.294176036130323,t(8;21)
CD9,4.896511195417236,3.6075966813972666,KMT2Ar
CD9,7.030514450275223,4.554282046235809,t(8;21)
CD9,8.953591144670638,4.287842521650212,CN
CD9,7.833751684779337,6.039387548932536,Other
CD9,2.978576014466494,4.541214194076842,KMT2Ar
CD9,7.46000863551373,3.2451159194657486,KMT2Ar
CD9,6.930893998508153,7.033050503687377,inv(16)
CD9,5.6641460338869605,3.550605427582326,Other
CD9,0.9720023151183372,4.9736249760601305,KMT2Ar
CD9,1.568511446413028,4.570531272789396,KMT2Ar
CD9,2.509366040003786,4.999333095670231,CN
CD9,6.246545520575017,3.359689188647237,t(8;21)
CD9,7.628837416903503,6.37181533543448,Other
CD9,7.41537339315129,3.7283714228459597,CN
CD9,5.300913111168246,4.027299114336485,PML-RARA
CD9,7.865009287468424,4.087273734980085,Other
CD9,6.654796313198887,1.13916393498965,t(8;21)
CD9,6.487064265920763,3.5096635282964805,Other
CD9,3.320060228952388,7.1608793690168175,KMT2Ar
CD9,1.5333963247302331,6.799049572043721,Other
CD9,4.1032405523938085,4.960033838072088,inv(16)
CD9,5.819934666663552,1.7171722382978554,t(8;21)
CD9,5.228540450858912,3.5906757194688765,CN
CD9,7.100431911254146,0.5694934942706992,t(8;21)
CD9,6.47869564449182,6.776892491054099,PML-RARA
CD9,4.234760219188151,7.936816243601366,inv(16)
CD9,2.0001109329446995,3.7967922990502774,Other
CD9,2.911149335118535,7.183700558079262,inv(16)
CD9,6.908270116634182,3.6629115191057995,NUP98r
CD9,6.408295309057908,1.9076531825002914,Other
CD9,5.42098221153518,1.3071148753022055,t(8;21)
CD9,3.7611702443400286,8.077017925149745,inv(16)
CD9,5.727589095908568,1.8784085018381547,Other
CD9,5.87201308190157,5.0349579511596145,PML-RARA
CD9,7.654624088164382,5.948806387929332,PML-RARA
CD9,1.5139463278707357,6.325736548130844,Other
CD9,2.84197461385744,3.5050508588856313,Other
CD9,7.194908843242448,3.58520007107513,t(8;21)
CD9,3.478185295181353,3.595108571978814,CN
CD9,6.1927171536243115,3.5362998172645255,CN
CD9,0.5496857952888381,3.52507273175435,CN
CD9,3.9056371046683465,4.5332888796602475,inv(16)
CD9,3.687027503419399,2.09348226223066,KMT2Ar
CD9,3.631498411921527,2.8629545998176567,Other
CD9,7.831735084652512,1.3545085194139987,CN
CD9,8.643592714911565,1.3310762274278842,CN
CD9,2.3360390556988517,4.074970451548509,CN
CD9,7.160920692280691,3.9584792984328314,Other
CD9,4.083991422629066,3.8628131893104123,CN
CD9,2.7364436641108463,8.16650175192913,inv(16)
CD9,3.2345163119163467,3.7555800100328143,CN
CD9,5.006271620156476,3.382325328071373,Other
CD9,7.233067783777768,2.163151915121529,t(8;21)
CD9,8.181254427194284,4.86604223582396,KMT2Ar
CD9,8.134540800810354,2.071023226407208,CN
CD9,8.09336139855612,2.6401659598228644,t(8;21)
CD9,3.2756834841951266,5.817784919166976,CN
CD9,8.278975535364768,1.7611055628133632,t(8;21)
CD9,8.587794970505703,3.7803282093290864,CN
CD9,4.047786930305308,5.87870202505633,KMT2Ar
CD9,7.782252338701816,4.089757643718769,CN
CD9,8.83939129016111,1.9446448296213217,CN
CD9,1.3789888483023225,4.908675593816713,KMT2Ar
CD9,6.78439168875814,2.5722050161491876,t(8;21)
CD9,2.6651884775550982,2.3872107860394887,KMT2Ar
CD9,2.2980184294854302,4.047022719932715,KMT2Ar
CD9,5.933113762504965,7.759626509168814,inv(16)
CD9,6.176968920503164,3.9077939531621326,Other
CD9,3.3892937214839853,6.082854598248944,KMT2Ar
CD9,6.13837209917013,6.299405956032057,inv(16)
CD9,7.026713981029044,4.594450355814343,Other
CD9,4.5093241218980635,4.29745125040192,KMT2Ar
CD9,6.035490449752545,3.7584761101831328,CN
CD9,6.19901479703798,5.030264748542084,KMT2Ar
CD9,8.825602894097049,2.482031900190867,t(8;21)
CD9,4.3352837863068965,2.6306318305918546,KMT2Ar
CD9,6.7208239146839395,6.345336847894668,PML-RARA
CD9,7.219702620514109,7.4448968690356345,inv(16)
CD9,4.6910106138777765,4.264141250658349,CN
CD9,2.6563403305598894,5.135947923156974,KMT2Ar
CD9,7.7542880724359575,0.0,CN
CD9,8.181594495029556,4.74876032346534,Other
CD9,5.5623334786682035,6.336953334971789,inv(16)
CD9,4.003966113171564,4.357196377768678,inv(16)
CD9,7.560531265500244,0.607518527205368,CN
CD9,3.3111104319448126,5.055434899183267,KMT2Ar
CD9,6.226322522107103,4.756640782311619,KMT2Ar
CD9,0.6840306536295039,4.407402901978389,KMT2Ar
CD9,6.366440449678972,6.192904746270609,inv(16)
CD9,1.4319709314227689,2.7681763070612977,KMT2Ar
CD9,8.283833456941359,1.9943498255353822,CN
CD9,4.018014401338163,1.1004153906589167,t(8;21)
CD9,5.5807954577321555,3.5909401350233465,inv(16)
CD9,8.247978820410585,5.75334805839224,Other
CD9,5.502731424441746,4.997600158603397,PML-RARA
CD9,6.301971858316955,6.6421574166887085,inv(16)
CD9,4.289067141920658,3.407241965711651,Other
CD9,4.842492205960117,3.643051811066767,CN
CD9,5.467678061385697,7.1105481031837146,inv(16)
CD9,2.047431026957879,7.677705798388826,Other
CD9,6.594519497258274,2.4357150467216555,CN
CD9,5.282841864750243,6.210032565520548,KMT2Ar
CD9,6.332104215062305,4.184357936121255,Other
CD9,2.4385602235835244,2.161451245178323,Other
CD9,1.778590864340844,4.747322652721016,CN
CD9,2.688342200371438,3.627712464576839,KMT2Ar
CD9,4.530819100129387,6.856644091099028,inv(16)
CD9,9.0091092627168,1.918268689433095,Other
CD9,6.5529651394569735,4.60372516494455,CN
CD9,4.012289872426155,6.751309695669373,inv(16)
CD9,7.003982234408036,3.0931553772682054,Other
CD9,5.956309945860695,7.093000828298529,inv(16)
CD9,3.1159831873684416,1.0071973162403596,Other
CD9,5.372514617938091,2.6512583939152936,CN
CD9,6.734475902529725,4.239042238993683,t(8;21)
CD9,6.584540248062868,2.417603090440433,t(8;21)
CD9,5.9782843012191815,3.0707933590710943,Other
CD9,3.4137875946390848,7.564682053140191,inv(16)
CD9,2.6137455720654006,5.887476208070609,KMT2Ar
CD9,4.717295733451688,3.121295867440981,Other
CD9,2.829867736573592,1.5407231441681954,Other
CD9,3.0927284963964587,4.193634033458156,KMT2Ar
CD9,3.1629220543346275,8.248888370001188,KMT2Ar
CD9,6.96411933800649,3.0377087254829,t(8;21)
CD9,4.299871080588142,0.975511745079768,KMT2Ar
CD9,3.092648507148609,1.688881038354875,KMT2Ar
